UnityTS,Heart,Breath,GSR
63780004950232,32855,8620,645
63780004950242,32848,8642,629
63780004950214,32855,8620,645
63780004950224,32848,8642,629
63780004950234,32868,8772,626
63780004950244,32873,8932,659
63780004950254,32864,9016,630
63780004950264,32856,9288,650
63780004950274,32864,9370,632
63780004950284,32868,9540,646
63780004950294,32869,9587,670
63780004950304,32852,9548,647
63780004950314,32844,9220,629
63780004950324,32822,9454,649
63780004950334,32824,9404,639
63780004950344,32820,9123,680
63780004950354,32812,9070,658
63780004950364,32812,8987,643
63780004950374,32804,8904,696
63780004950384,32797,9030,648
63780004950394,32781,9095,633
63780004950404,32788,9099,688
63780004950414,32790,9011,631
63780004950424,32784,9181,683
63780004950434,32776,9131,688
63780004950444,32789,9052,637
63780004950454,32782,8912,650
63780004950464,32782,9150,678
63780004950474,32776,9169,643
63780004950484,32770,8971,647
63780004950494,32780,9217,631
63780004950504,32784,8982,631
63780004950514,32772,9230,656
63780004950524,32768,9001,632
63780004950534,32771,9247,633
63780004950544,32776,9268,631
63780004950554,32780,9227,649
63780004950564,32773,9396,664
63780004950574,32776,9289,627
63780004950584,32782,9415,668
63780004950594,32776,9558,643
63780004950604,32774,9608,658
63780004950614,32778,9647,685
63780004950624,32768,9704,625
63780004950634,32764,9790,647
63780004950644,32761,9804,663
63780004950654,32773,10000,711
63780004950664,32767,9846,623
63780004950674,32778,9897,625
63780004950684,32769,10226,690
63780004950694,32788,10112,624
63780004950704,32792,10481,682
63780004950714,32780,10148,673
63780004950724,32789,10538,676
63780004950734,32794,10666,691
63780004950744,32793,10743,621
63780004950754,32789,10870,697
63780004950764,32780,10974,625
63780004950774,32793,10976,647
63780004950784,32792,10781,626
63780004950794,32785,11017,698
63780004950804,32802,11056,645
63780004950814,32774,11404,660
63780004950824,32772,11514,658
63780004950834,32781,11604,624
63780004950844,32788,11662,628
63780004950854,32784,11742,629
63780004950864,32782,11611,624
63780004950874,32767,11928,645
63780004950884,32767,11794,683
63780004950894,32772,12083,705
63780004950904,32773,12232,624
63780004950914,32764,12320,622
63780004950924,32764,12264,624
63780004950934,32763,12652,674
63780004950944,32782,12693,622
63780004950954,32784,12765,624
63780004950964,32773,12754,687
63780004950974,32784,12833,627
63780004950984,32776,12935,686
63780004950994,32760,13163,632
63780004951004,32756,13335,637
63780004951014,32764,13775,684
63780004951024,32776,13956,651
63780004951034,32788,13944,687
63780004951044,32776,14264,628
63780004951054,32796,14468,630
63780004951064,32792,14924,652
63780004951074,32793,15056,629
63780004951084,32788,15512,653
63780004951094,32800,15760,633
63780004951104,32799,15802,657
63780004951114,32793,16000,656
63780004951124,32800,16262,655
63780004951134,32800,16297,628
63780004951144,32788,16404,653
63780004951154,32783,16484,623
63780004951164,32777,16654,624
63780004951174,32760,16541,649
63780004951184,32752,16877,627
63780004951194,32750,16856,623
63780004951204,32752,17052,655
63780004951214,32768,17325,623
63780004951224,32772,17496,638
63780004951234,32768,17469,649
63780004951244,32768,17646,697
63780004950215,32855,8620,645
63780004950225,32848,8642,629
63780004950235,32868,8772,626
63780004950245,32873,8932,659
63780004950255,32864,9016,630
63780004950265,32856,9288,650
63780004950275,32864,9370,632
63780004950285,32868,9540,646
63780004950295,32869,9587,670
63780004950305,32852,9548,647
63780004950315,32844,9220,629
63780004950325,32822,9454,649
63780004950335,32824,9404,639
63780004950345,32820,9123,680
63780004950355,32812,9070,658
63780004950365,32812,8987,643
63780004950375,32804,8904,696
63780004950385,32797,9030,648
63780004950395,32781,9095,633
63780004950405,32788,9099,688
63780004950415,32790,9011,631
63780004950425,32784,9181,683
63780004950435,32776,9131,688
63780004950445,32789,9052,637
63780004950455,32782,8912,650
63780004950465,32782,9150,678
63780004950475,32776,9169,643
63780004950485,32770,8971,647
63780004950495,32780,9217,631
63780004950505,32784,8982,631
63780004950515,32772,9230,656
63780004950525,32768,9001,632
63780004950535,32771,9247,633
63780004950545,32776,9268,631
63780004950555,32780,9227,649
63780004950565,32773,9396,664
63780004950575,32776,9289,627
63780004950585,32782,9415,668
63780004950595,32776,9558,643
63780004950605,32774,9608,658
63780004950615,32778,9647,685
63780004950625,32768,9704,625
63780004950635,32764,9790,647
63780004950645,32761,9804,663
63780004950655,32773,10000,711
63780004950665,32767,9846,623
63780004950675,32778,9897,625
63780004950685,32769,10226,690
63780004950695,32788,10112,624
63780004950705,32792,10481,682
63780004950715,32780,10148,673
63780004950725,32789,10538,676
63780004950735,32794,10666,691
63780004950745,32793,10743,621
63780004950755,32789,10870,697
63780004950765,32780,10974,625
63780004950775,32793,10976,647
63780004950785,32792,10781,626
63780004950795,32785,11017,698
63780004950805,32802,11056,645
63780004950815,32774,11404,660
63780004950825,32772,11514,658
63780004950835,32781,11604,624
63780004950845,32788,11662,628
63780004950855,32784,11742,629
63780004950865,32782,11611,624
63780004950875,32767,11928,645
63780004950885,32767,11794,683
63780004950895,32772,12083,705
63780004950905,32773,12232,624
63780004950915,32764,12320,622
63780004950925,32764,12264,624
63780004950935,32763,12652,674
63780004950945,32782,12693,622
63780004950955,32784,12765,624
63780004950965,32773,12754,687
63780004950975,32784,12833,627
63780004950985,32776,12935,686
63780004950995,32760,13163,632
63780004951005,32756,13335,637
63780004951015,32764,13775,684
63780004951025,32776,13956,651
63780004951035,32788,13944,687
63780004951045,32776,14264,628
63780004951055,32796,14468,630
63780004951065,32792,14924,652
63780004951075,32793,15056,629
63780004951085,32788,15512,653
63780004951095,32800,15760,633
63780004951105,32799,15802,657
63780004951115,32793,16000,656
63780004951125,32800,16262,655
63780004951135,32800,16297,628
63780004951145,32788,16404,653
63780004951155,32783,16484,623
63780004951165,32777,16654,624
63780004951175,32760,16541,649
63780004951185,32752,16877,627
63780004951195,32750,16856,623
63780004951205,32752,17052,655
63780004951215,32768,17325,623
63780004951225,32772,17496,638
63780004951235,32768,17469,649
63780004951245,32768,17646,697
63780004951255,32770,18032,626
63780004951265,32765,18140,623
63780004951275,32764,18385,623
63780004951285,32764,18737,654
63780004951295,32776,19076,663
63780004951305,32780,19366,704
63780004951315,32789,19728,654
63780004951325,32783,19932,628
63780004951335,32792,20306,706
63780004951345,32780,20744,664
63780004951355,32788,21098,711
63780004951365,32788,21372,653
63780004951375,32788,21733,625
63780004951385,32788,22053,626
63780004951395,32784,22453,655
63780004951405,32772,22862,629
