OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
5659300901,63780005192531,None,None
5659309233,63780005192541,None,None
5659317564,63780005192553,None,None
5659334227,63780005192564,None,99_Bahnsteig_PF
5659342559,63780005192576,None,None
5659350891,63780005192587,None,None
5659367554,63780005192604,None,None
5659384217,63780005192614,None,None
5659384217,63780005192620,None,None
5659400880,63780005192630,None,None
5659409211,63780005192641,None,None
5659417543,63780005192653,None,None
5659434206,63780005192664,None,None
5659442537,63780005192675,None,None
5659450869,63780005192687,None,99_Bahnsteig_PF
5659467532,63780005192698,None,None
5659475863,63780005192709,None,None
5659484195,63780005192720,None,None
5659500858,63780005192736,None,None
5659509190,63780005192742,None,None
5659517521,63780005192752,None,None
5659525853,63780005192761,None,None
5659542516,63780005192772,None,None
5659550847,63780005192783,None,None
5659559179,63780005192794,None,None
5659575842,63780005192805,None,None
5659584173,63780005192816,None,None
5659592505,63780005192828,None,None
5659609168,63780005192839,None,None
5659617499,63780005192850,None,None
5659625831,63780005192862,None,None
5659642494,63780005192873,None,None
5659650825,63780005192883,None,None
5659650825,63780005192895,None,None
5659650825,63780005192909,None,None
5659650825,63780005192917,None,None
5659650825,63780005192929,None,None
5659650825,63780005192939,None,None
5659650825,63780005192951,None,None
5659650825,63780005192962,None,None
5659650825,63780005192973,None,None
5659667488,63780005192984,None,None
5659759135,63780005192995,None,None
5659775798,63780005193007,None,None
5659784130,63780005193018,None,None
5659792461,63780005193029,None,None
5659809124,63780005193041,None,None
5659817456,63780005193052,None,None
5659834119,63780005193066,None,None
5659842451,63780005193073,None,None
5659850782,63780005193085,None,None
5659859114,63780005193096,None,None
5659875777,63780005193108,None,None
5659884108,63780005193119,None,None
5659892440,63780005193130,None,None
5659909103,63780005193142,None,None
5659917434,63780005193153,None,None
5659934097,63780005193165,None,None
5659942429,63780005193177,None,None
5659950760,63780005193187,None,None
5659967423,63780005193199,None,None
5659975755,63780005193211,None,None
5659992418,63780005193225,None,None
5660000749,63780005193234,None,None
5660009081,63780005193246,None,99_Bahnsteig_PF
5660025744,63780005193257,None,None
5660034076,63780005193268,None,None
5660042407,63780005193279,None,None
5660059070,63780005193290,None,None
5660067402,63780005193302,None,None
5660084065,63780005193313,None,None
5660092396,63780005193325,None,None
5660100728,63780005193337,None,None
5660117391,63780005193347,None,None
5660125722,63780005193357,None,None
5660134054,63780005193369,None,None
5660150717,63780005193382,None,4_GroßeTreppe_Stairs
5660159048,63780005193391,None,3_Rolltreppe_PF (3)
5660167380,63780005193402,99_Bahnsteig_PF,3_Rolltreppe_PF (3)
5660175712,63780005193413,99_Bahnsteig_PF,99_Bahnsteig_PF
5660192375,63780005193424,99_Bahnsteig_PF,3_Rolltreppe_PF (3)
5660200706,63780005193435,99_Bahnsteig_PF,99_Bahnsteig_PF
5660209038,63780005193446,99_Bahnsteig_PF,99_Bahnsteig_PF
5660225701,63780005193458,99_Bahnsteig_PF,99_Bahnsteig_PF
5660234032,63780005193469,99_Bahnsteig_PF,99_Bahnsteig_PF
5660250695,63780005193487,99_Bahnsteig_PF,99_Bahnsteig_PF
5660259027,63780005193495,99_Bahnsteig_PF,99_Bahnsteig_PF
5660267358,63780005193503,99_Bahnsteig_PF,99_Bahnsteig_PF
5660275690,63780005193511,99_Bahnsteig_PF,99_Bahnsteig_PF
5660284021,63780005193522,99_Bahnsteig_PF,Cube
5660300684,63780005193537,99_Bahnsteig_PF,Cube
5660309016,63780005193546,99_Bahnsteig_PF,99_Bahnsteig_PF
5660317347,63780005193555,99_Bahnsteig_PF,Cube
5660334010,63780005193566,Cube,Cube
5660342342,63780005193576,Cube,99_Bahnsteig_PF
5660350674,63780005193587,Cube,Cube
5660367337,63780005193599,Cube,Cube
5660375668,63780005193610,Cube,Cube
5660384000,63780005193622,Cube,Cube
5660400663,63780005193633,Cube,Cube
5660408994,63780005193645,Cube,Cube
5660417326,63780005193654,Cube,Cube
5660433989,63780005193666,Cube,Cube
5660442320,63780005193677,Cube,Cube
5660458983,63780005193692,Cube,99_Bahnsteig_PF
5660467315,63780005193699,Cube,99_Bahnsteig_PF
5660475646,63780005193710,Cube,Cube
5660483978,63780005193722,Cube,Cube
5660500641,63780005193733,Orientation Highlighting Plane,None
5660508973,63780005193744,None,None
5660517304,63780005193756,None,None
5660533967,63780005193767,None,None
5660542299,63780005193778,None,None
5660550630,63780005193789,None,None
5660567293,63780005193801,None,None
5660575625,63780005193812,None,None
5660592288,63780005193822,None,None
5660600619,63780005193834,None,None
5660617282,63780005193848,None,None
5660617282,63780005193855,None,None
5660633945,63780005193867,None,None
5660642277,63780005193878,None,None
5660658940,63780005193889,None,None
5660667271,63780005193901,None,None
5660675603,63780005193912,None,None
5660692266,63780005193923,None,None
5660700598,63780005193935,None,None
5660708929,63780005193946,None,None
5660725592,63780005193957,None,None
5660733924,63780005193970,None,None
5660742255,63780005193980,None,None
5660758918,63780005193992,None,None
5660775581,63780005194006,None,None
5660783913,63780005194015,None,None
5660792244,63780005194026,None,None
5660800576,63780005194038,None,None
5660817239,63780005194049,None,None
5660825570,63780005194061,Orientation Highlighting Plane,Orientation Highlighting Plane
5660833902,63780005194072,Orientation Highlighting Plane,Orientation Highlighting Plane
5660850565,63780005194084,Orientation Highlighting Plane,Orientation Highlighting Plane
5660858897,63780005194095,Orientation Highlighting Plane,Orientation Highlighting Plane
5660867228,63780005194105,Orientation Highlighting Plane,Orientation Highlighting Plane
5660883891,63780005194117,None,Orientation Highlighting Plane
5660892223,63780005194128,Orientation Highlighting Plane,Orientation Highlighting Plane
5660908886,63780005194140,None,None
5660917217,63780005194151,Orientation Highlighting Plane,Orientation Highlighting Plane
5660933880,63780005194164,None,None
5660942212,63780005194173,None,None
5660950543,63780005194184,None,Orientation Highlighting Plane
5660958875,63780005194195,None,Orientation Highlighting Plane
5660975538,63780005194207,None,Orientation Highlighting Plane
5660983869,63780005194218,None,Orientation Highlighting Plane
5661000532,63780005194238,None,Orientation Highlighting Plane
5661008864,63780005194245,None,Orientation Highlighting Plane
5661017196,63780005194253,None,None
5661025527,63780005194259,None,Orientation Highlighting Plane
5661033859,63780005194269,None,Orientation Highlighting Plane
5661042190,63780005194281,None,Orientation Highlighting Plane
5661058853,63780005194292,Orientation Highlighting Plane,Orientation Highlighting Plane
5661067185,63780005194303,Station Name,Orientation Highlighting Plane
5661083848,63780005194319,None,Orientation Highlighting Plane
5661092179,63780005194326,None,Orientation Highlighting Plane
5661100511,63780005194337,Orientation Highlighting Plane,Orientation Highlighting Plane
5661117174,63780005194347,None,None
5661125505,63780005194359,None,None
5661133837,63780005194370,99_Bahnsteig_PF,None
5661150500,63780005194382,None,None
5661158831,63780005194392,None,None
5661175495,63780005194404,None,None
5661183826,63780005194415,None,None
5661192158,63780005194426,None,None
5661200489,63780005194438,None,None
5661217152,63780005194448,None,None
5661225484,63780005194459,99_Bahnsteig_PF,None
5661242147,63780005194473,99_Bahnsteig_PF,99_Bahnsteig_PF
5661250478,63780005194481,99_Bahnsteig_PF,99_Bahnsteig_PF
5661258810,63780005194493,99_Bahnsteig_PF,99_Bahnsteig_PF
5661267141,63780005194504,99_Bahnsteig_PF,None
5661283804,63780005194515,99_Bahnsteig_PF,None
5661292136,63780005194526,99_Bahnsteig_PF,None
5661300467,63780005194538,99_Bahnsteig_PF,99_Bahnsteig_PF
5661317130,63780005194548,99_Bahnsteig_PF,99_Bahnsteig_PF
5661325462,63780005194560,99_Bahnsteig_PF,99_Bahnsteig_PF
5661333793,63780005194571,99_Bahnsteig_PF,99_Bahnsteig_PF
5661350457,63780005194583,99_Bahnsteig_PF,99_Bahnsteig_PF
5661358788,63780005194593,99_Bahnsteig_PF,99_Bahnsteig_PF
5661367120,63780005194604,99_Bahnsteig_PF,99_Bahnsteig_PF
5661383783,63780005194616,99_Bahnsteig_PF,99_Bahnsteig_PF
5661392114,63780005194629,99_Bahnsteig_PF,99_Bahnsteig_PF
5661400446,63780005194638,99_Bahnsteig_PF,99_Bahnsteig_PF
5661417109,63780005194649,99_Bahnsteig_PF,99_Bahnsteig_PF
5661425440,63780005194660,99_Bahnsteig_PF,99_Bahnsteig_PF
5661433772,63780005194672,99_Bahnsteig_PF,99_Bahnsteig_PF
5661450435,63780005194683,99_Bahnsteig_PF,99_Bahnsteig_PF
5661458766,63780005194694,99_Bahnsteig_PF,99_Bahnsteig_PF
5661475429,63780005194706,99_Bahnsteig_PF,99_Bahnsteig_PF
5661483761,63780005194718,99_Bahnsteig_PF,99_Bahnsteig_PF
5661492092,63780005194729,99_Bahnsteig_PF,99_Bahnsteig_PF
5661508756,63780005194741,99_Bahnsteig_PF,99_Bahnsteig_PF
5661517087,63780005194752,99_Bahnsteig_PF,99_Bahnsteig_PF
5661525419,63780005194763,None,None
5661542082,63780005194775,99_Bahnsteig_PF,99_Bahnsteig_PF
5661558745,63780005194789,99_Bahnsteig_PF,None
5661567076,63780005194797,None,None
5661575408,63780005194809,99_Bahnsteig_PF,99_Bahnsteig_PF
5661583739,63780005194820,None,99_Bahnsteig_PF
5661600402,63780005194831,99_Bahnsteig_PF,None
5661608734,63780005194843,None,None
5661625397,63780005194854,None,None
5661633728,63780005194865,None,None
5661642060,63780005194877,None,None
5661650391,63780005194887,None,None
5661650391,63780005194899,None,None
5661650391,63780005194909,None,None
5661650391,63780005194921,None,None
5661650391,63780005194933,None,None
5661650391,63780005194947,None,None
5661650391,63780005194954,None,None
5661650391,63780005194965,None,None
5661650391,63780005194977,None,None
5661717044,63780005194988,None,None
5661767033,63780005194999,None,None
5661775364,63780005195009,None,None
5661792027,63780005195021,None,None
5661800359,63780005195032,None,None
5661817022,63780005195050,None,None
5661825353,63780005195057,None,None
5661833685,63780005195063,None,None
5661842017,63780005195072,None,None
5661850348,63780005195085,None,None
5661867011,63780005195098,None,None
5661875343,63780005195106,None,None
5661883674,63780005195117,None,None
5661892006,63780005195128,None,None
5661908669,63780005195139,None,None
5661917000,63780005195151,None,None
5661925332,63780005195161,None,None
5661941995,63780005195173,None,None
5661950326,63780005195185,None,None
5661958658,63780005195195,None,None
5661975321,63780005195206,None,None
5661983652,63780005195218,None,None
5662000315,63780005195229,None,None
5662008647,63780005195241,None,None
5662025310,63780005195254,None,None
5662033642,63780005195262,None,None
5662041973,63780005195273,None,None
5662050305,63780005195284,None,None
5662066968,63780005195295,None,None
5662075299,63780005195307,None,None
5662083631,63780005195318,None,None
5662100294,63780005195329,None,None
5662108625,63780005195341,None,None
5662116957,63780005195351,None,None
5662133620,63780005195363,None,None
5662141951,63780005195374,None,None
5662150283,63780005195385,None,None
5662166946,63780005195396,None,None
5662175278,63780005195410,None,None
5662183609,63780005195418,None,None
5662200272,63780005195430,None,None
5662208604,63780005195441,None,None
5662216935,63780005195452,None,None
5662233598,63780005195463,None,None
5662241930,63780005195474,None,None
5662250261,63780005195486,None,None
5662266924,63780005195497,None,None
5662275256,63780005195509,None,None
5662291919,63780005195520,None,None
5662300250,63780005195533,None,None
5662308582,63780005195544,None,None
5662325245,63780005195554,None,None
5662333576,63780005195570,None,None
5662341908,63780005195578,None,None
5662358571,63780005195589,None,None
5662366903,63780005195600,None,None
5662383566,63780005195613,None,None
5662391897,63780005195623,None,None
5662400229,63780005195634,None,None
5662416892,63780005195646,None,None
5662425223,63780005195658,None,None
5662433555,63780005195669,None,None
5662450218,63780005195681,None,None
5662458549,63780005195692,99_Bahnsteig_PF,None
5662466881,63780005195703,None,99_Bahnsteig_PF
5662483544,63780005195714,99_Bahnsteig_PF,None
5662491875,63780005195728,99_Bahnsteig_PF,None
5662500207,63780005195736,99_Bahnsteig_PF,None
5662516870,63780005195747,None,99_Bahnsteig_PF
5662525202,63780005195758,None,None
5662533533,63780005195770,99_Bahnsteig_PF,None
5662550196,63780005195781,99_Bahnsteig_PF,None
5662558528,63780005195792,99_Bahnsteig_PF,None
5662566859,63780005195804,99_Bahnsteig_PF,None
5662583522,63780005195815,99_Bahnsteig_PF,99_Bahnsteig_PF
5662591854,63780005195827,99_Bahnsteig_PF,99_Bahnsteig_PF
5662600185,63780005195837,99_Bahnsteig_PF,99_Bahnsteig_PF
5662616848,63780005195848,99_Bahnsteig_PF,99_Bahnsteig_PF
5662625180,63780005195859,99_Bahnsteig_PF,99_Bahnsteig_PF
5662633511,63780005195871,99_Bahnsteig_PF,99_Bahnsteig_PF
5662650174,63780005195885,99_Bahnsteig_PF,99_Bahnsteig_PF
5662658506,63780005195893,99_Bahnsteig_PF,99_Bahnsteig_PF
5662666837,63780005195904,99_Bahnsteig_PF,99_Bahnsteig_PF
5662683501,63780005195915,99_Bahnsteig_PF,99_Bahnsteig_PF
5662691832,63780005195927,99_Bahnsteig_PF,99_Bahnsteig_PF
5662700164,63780005195937,99_Bahnsteig_PF,None
5662725158,63780005195959,99_Bahnsteig_PF,None
5662733490,63780005195964,99_Bahnsteig_PF,None
5662733490,63780005195970,99_Bahnsteig_PF,None
5662741821,63780005195977,99_Bahnsteig_PF,None
5662758484,63780005195988,99_Bahnsteig_PF,None
5662766816,63780005195999,99_Bahnsteig_PF,None
5662775147,63780005196010,99_Bahnsteig_PF,99_Bahnsteig_PF
5662791810,63780005196021,None,None
5662800142,63780005196036,99_Bahnsteig_PF,99_Bahnsteig_PF
5662808473,63780005196044,99_Bahnsteig_PF,99_Bahnsteig_PF
5662825136,63780005196055,None,None
5662833468,63780005196066,99_Bahnsteig_PF,99_Bahnsteig_PF
5662841800,63780005196077,99_Bahnsteig_PF,99_Bahnsteig_PF
5662858463,63780005196089,99_Bahnsteig_PF,99_Bahnsteig_PF
5662866794,63780005196100,99_Bahnsteig_PF,99_Bahnsteig_PF
5662875126,63780005196111,99_Bahnsteig_PF,None
5662891789,63780005196123,99_Bahnsteig_PF,None
5662900120,63780005196135,None,None
5662908452,63780005196144,None,None
5662925115,63780005196156,None,None
5662933446,63780005196167,None,None
5662941778,63780005196178,None,None
5662958441,63780005196193,None,99_Bahnsteig_PF
5662966772,63780005196200,None,99_Bahnsteig_PF
5662975104,63780005196212,None,99_Bahnsteig_PF
5662991767,63780005196223,None,None
5663000098,63780005196234,None,None
5663016762,63780005196246,None,None
5663025093,63780005196256,None,None
5663033425,63780005196267,None,None
5663050088,63780005196280,None,None
5663058419,63780005196289,None,None
5663066751,63780005196300,99_Bahnsteig_PF,None
5663083414,63780005196312,None,None
5663091745,63780005196323,99_Bahnsteig_PF,None
5663100077,63780005196334,99_Bahnsteig_PF,99_Bahnsteig_PF
5663116740,63780005196350,99_Bahnsteig_PF,99_Bahnsteig_PF
5663125071,63780005196356,99_Bahnsteig_PF,None
5663133403,63780005196368,99_Bahnsteig_PF,99_Bahnsteig_PF
5663141734,63780005196379,99_Bahnsteig_PF,99_Bahnsteig_PF
5663158397,63780005196391,99_Bahnsteig_PF,99_Bahnsteig_PF
5663166729,63780005196401,99_Bahnsteig_PF,99_Bahnsteig_PF
5663183392,63780005196413,None,None
5663191724,63780005196424,99_Bahnsteig_PF,99_Bahnsteig_PF
