UnityTS,Heart,Breath,GSR
63780007268240,32832,35724,2843
63780007268250,32864,35812,2952
63780007268260,32880,35864,2869
63780007268270,32895,36158,2913
63780007268280,32896,36424,2858
63780007268290,32888,36700,2987
63780007268300,32880,36744,3019
63780007268310,32880,37285,2902
63780007268320,32880,37637,2902
63780007268330,32864,38112,2986
63780007268340,32852,38344,2908
63780007268350,32840,38938,2886
63780007268360,32835,38868,3021
63780007268370,32824,39193,3031
63780007268380,32816,39864,3024
63780007268390,32808,40164,2996
63780007268400,32800,40472,2926
63780007268410,32798,40624,3049
63780007268420,32790,41036,2957
63780007268430,32784,41348,2932
63780007268440,32776,41596,3051
63780007268450,32785,41820,2917
63780007268460,32780,42068,2900
63780007268470,32780,42224,2916
63780007268480,32780,42232,2926
63780007268490,32788,42480,2897
63780007268500,32792,42580,2891
63780007268510,32792,42501,3001
63780007268520,32772,42528,2876
63780007268530,32792,42600,2868
63780007268540,32782,42416,2916
63780007268550,32776,42473,2944
63780007268560,32776,42428,2820
63780007268570,32768,41944,2796
63780007268580,32777,41917,2787
63780007268590,32768,41912,2802
63780007268600,32772,41608,2789
63780007268610,32776,41064,2902
63780007268620,32768,41288,2782
63780007268630,32776,40960,2750
63780007268640,32780,40336,2766
63780007268650,32777,40064,2862
63780007268660,32784,39529,2807
63780007268670,32783,39411,2751
63780007268248,32832,35724,2843
63780007268258,32864,35812,2952
63780007268268,32880,35864,2869
63780007268278,32895,36158,2913
63780007268288,32896,36424,2858
63780007268298,32888,36700,2987
63780007268308,32880,36744,3019
63780007268318,32880,37285,2902
63780007268328,32880,37637,2902
63780007268338,32864,38112,2986
63780007268348,32852,38344,2908
63780007268358,32840,38938,2886
63780007268368,32835,38868,3021
63780007268378,32824,39193,3031
63780007268388,32816,39864,3024
63780007268398,32808,40164,2996
63780007268408,32800,40472,2926
63780007268418,32798,40624,3049
63780007268428,32790,41036,2957
63780007268438,32784,41348,2932
63780007268448,32776,41596,3051
63780007268458,32785,41820,2917
63780007268468,32780,42068,2900
63780007268478,32780,42224,2916
63780007268488,32780,42232,2926
63780007268498,32788,42480,2897
63780007268508,32792,42580,2891
63780007268518,32792,42501,3001
63780007268528,32772,42528,2876
63780007268538,32792,42600,2868
63780007268548,32782,42416,2916
63780007268558,32776,42473,2944
63780007268568,32776,42428,2820
63780007268578,32768,41944,2796
63780007268588,32777,41917,2787
63780007268598,32768,41912,2802
63780007268608,32772,41608,2789
63780007268618,32776,41064,2902
63780007268628,32768,41288,2782
63780007268638,32776,40960,2750
63780007268648,32780,40336,2766
63780007268658,32777,40064,2862
63780007268668,32784,39529,2807
63780007268678,32783,39411,2751
63780007268688,32784,38964,2772
63780007268698,32785,38728,2903
63780007268708,32776,38406,2764
63780007268718,32777,38076,2777
63780007268728,32788,37692,2805
63780007268738,32792,37576,2808
63780007268748,32800,37148,2934
63780007268758,32800,36854,2802
63780007268768,32816,36536,2806
63780007268778,32800,36234,2944
63780007268788,32804,35968,2941
63780007268798,32796,35890,2863
63780007268808,32789,35512,2810
63780007268818,32788,35296,2834
63780007268828,32772,35132,2808
63780007268838,32773,34658,2934
63780007268848,32766,34628,2874
63780007268858,32770,34456,2834
63780007268868,32775,34001,2823
63780007268878,32768,33988,2813
63780007268888,32762,33776,2813
63780007268898,32770,33196,2810
63780007268908,32768,33060,2817
63780007268918,32767,32554,2938
63780007268928,32757,32256,2830
63780007268938,32768,32148,2859
63780007268948,32767,31810,2816
63780007268958,32770,31666,2819
63780007268968,32776,31265,2829
63780007268978,32778,31228,2832
63780007268988,32780,31012,2943
63780007268998,32784,30700,2902
63780007269008,32776,30624,2843
63780007269018,32792,30484,2840
63780007269028,32794,30332,2848
63780007269038,32808,30164,2835
63780007269048,32808,30120,2831
63780007269058,32808,30264,2864
63780007269068,32809,30270,2896
63780007269078,32805,30244,2865
63780007269088,32816,30312,2850
63780007269098,32808,30608,2968
63780007269108,32812,30844,2970
63780007269118,32800,30861,2843
63780007269128,32793,31248,2965
63780007269138,32784,31557,2965
63780007269148,32788,31814,2851
63780007269158,32772,32012,2869
63780007269168,32764,32225,2923
63780007269178,32778,32524,2857
63780007269188,32764,32676,2896
63780007269198,32761,32872,2937
63780007269208,32765,32686,2859
63780007269218,32772,32874,2862
63780007269228,32773,32500,2968
63780007269238,32772,32473,2862
63780007269248,32776,32273,2861
63780007269258,32777,31888,2867
63780007269268,32788,31736,3068
63780007269278,32800,31824,2858
63780007269288,32789,31868,2981
63780007269298,32793,31832,2857
63780007269308,32804,31840,2996
63780007269318,32800,31780,2863
63780007269328,32804,31960,2873
63780007269338,32800,32016,2864
63780007269348,32812,31980,2973
63780007269358,32801,32048,2877
63780007269368,32784,32156,2852
63780007269378,32792,32336,2844
63780007269388,32789,32717,2936
63780007269398,32790,32920,2854
63780007269408,32782,33068,3007
63780007269418,32778,33251,2849
63780007269428,32783,33244,2867
63780007269438,32772,33684,2988
63780007269448,32776,33821,2856
63780007269458,32789,34090,2876
63780007269468,32789,34013,2862
63780007269478,32792,34419,2868
63780007269488,32792,34677,2869
63780007269498,32792,35048,2876
63780007269508,32800,35308,2857
63780007269518,32797,35676,2881
63780007269528,32796,35968,2976
63780007269538,32794,36316,2875
63780007269548,32784,36642,2973
63780007269558,32780,36992,2960
63780007269568,32770,37264,2874
63780007269578,32780,37616,2868
63780007269588,32781,37916,2853
63780007269598,32796,38129,2851
63780007269608,32788,38768,2901
63780007269618,32780,39224,2837
63780007269628,32782,39120,2856
63780007269638,32780,39784,2848
63780007269648,32790,40074,2922
63780007269658,32780,40537,2865
63780007269668,32784,40624,2866
63780007269678,32777,41122,2981
63780007268246,32832,35724,2843
63780007268256,32864,35812,2952
63780007268266,32880,35864,2869
63780007268276,32895,36158,2913
63780007268286,32896,36424,2858
63780007268296,32888,36700,2987
63780007268306,32880,36744,3019
63780007268316,32880,37285,2902
63780007268326,32880,37637,2902
63780007268336,32864,38112,2986
63780007268346,32852,38344,2908
63780007268356,32840,38938,2886
63780007268366,32835,38868,3021
63780007268376,32824,39193,3031
63780007268386,32816,39864,3024
63780007268396,32808,40164,2996
63780007268406,32800,40472,2926
63780007268416,32798,40624,3049
63780007268426,32790,41036,2957
63780007268436,32784,41348,2932
63780007268446,32776,41596,3051
63780007268456,32785,41820,2917
63780007268466,32780,42068,2900
63780007268476,32780,42224,2916
63780007268486,32780,42232,2926
63780007268496,32788,42480,2897
63780007268506,32792,42580,2891
63780007268516,32792,42501,3001
63780007268526,32772,42528,2876
63780007268536,32792,42600,2868
63780007268546,32782,42416,2916
63780007268556,32776,42473,2944
63780007268566,32776,42428,2820
63780007268576,32768,41944,2796
63780007268586,32777,41917,2787
63780007268596,32768,41912,2802
63780007268606,32772,41608,2789
63780007268616,32776,41064,2902
63780007268626,32768,41288,2782
63780007268636,32776,40960,2750
63780007268646,32780,40336,2766
63780007268656,32777,40064,2862
63780007268666,32784,39529,2807
63780007268676,32783,39411,2751
63780007268686,32784,38964,2772
63780007268696,32785,38728,2903
63780007268706,32776,38406,2764
63780007268716,32777,38076,2777
63780007268726,32788,37692,2805
63780007268736,32792,37576,2808
63780007268746,32800,37148,2934
63780007268756,32800,36854,2802
63780007268766,32816,36536,2806
63780007268776,32800,36234,2944
63780007268786,32804,35968,2941
63780007268796,32796,35890,2863
63780007268806,32789,35512,2810
63780007268816,32788,35296,2834
63780007268826,32772,35132,2808
63780007268836,32773,34658,2934
63780007268846,32766,34628,2874
63780007268856,32770,34456,2834
63780007268866,32775,34001,2823
63780007268876,32768,33988,2813
63780007268886,32762,33776,2813
63780007268896,32770,33196,2810
63780007268906,32768,33060,2817
63780007268916,32767,32554,2938
63780007268926,32757,32256,2830
63780007268936,32768,32148,2859
63780007268946,32767,31810,2816
63780007268956,32770,31666,2819
63780007268966,32776,31265,2829
63780007268976,32778,31228,2832
63780007268986,32780,31012,2943
63780007268996,32784,30700,2902
63780007269006,32776,30624,2843
63780007269016,32792,30484,2840
63780007269026,32794,30332,2848
63780007269036,32808,30164,2835
63780007269046,32808,30120,2831
63780007269056,32808,30264,2864
63780007269066,32809,30270,2896
63780007269076,32805,30244,2865
63780007269086,32816,30312,2850
63780007269096,32808,30608,2968
63780007269106,32812,30844,2970
63780007269116,32800,30861,2843
63780007269126,32793,31248,2965
63780007269136,32784,31557,2965
63780007269146,32788,31814,2851
63780007269156,32772,32012,2869
63780007269166,32764,32225,2923
63780007269176,32778,32524,2857
63780007269186,32764,32676,2896
63780007269196,32761,32872,2937
63780007269206,32765,32686,2859
63780007269216,32772,32874,2862
63780007269226,32773,32500,2968
63780007269236,32772,32473,2862
63780007269246,32776,32273,2861
63780007269256,32777,31888,2867
63780007269266,32788,31736,3068
63780007269276,32800,31824,2858
63780007269286,32789,31868,2981
63780007269296,32793,31832,2857
63780007269306,32804,31840,2996
63780007269316,32800,31780,2863
63780007269326,32804,31960,2873
63780007269336,32800,32016,2864
63780007269346,32812,31980,2973
63780007269356,32801,32048,2877
63780007269366,32784,32156,2852
63780007269376,32792,32336,2844
63780007269386,32789,32717,2936
63780007269396,32790,32920,2854
63780007269406,32782,33068,3007
63780007269416,32778,33251,2849
63780007269426,32783,33244,2867
63780007269436,32772,33684,2988
63780007269446,32776,33821,2856
63780007269456,32789,34090,2876
63780007269466,32789,34013,2862
63780007269476,32792,34419,2868
63780007269486,32792,34677,2869
63780007269496,32792,35048,2876
63780007269506,32800,35308,2857
63780007269516,32797,35676,2881
63780007269526,32796,35968,2976
63780007269536,32794,36316,2875
63780007269546,32784,36642,2973
63780007269556,32780,36992,2960
63780007269566,32770,37264,2874
63780007269576,32780,37616,2868
63780007269586,32781,37916,2853
63780007269596,32796,38129,2851
63780007269606,32788,38768,2901
63780007269616,32780,39224,2837
63780007269626,32782,39120,2856
63780007269636,32780,39784,2848
63780007269646,32790,40074,2922
63780007269656,32780,40537,2865
63780007269666,32784,40624,2866
63780007269676,32777,41122,2981
63780007269686,32768,41412,2874
63780007269696,32784,41502,2868
63780007269706,32784,41968,2965
63780007269716,32776,42084,2856
63780007269726,32784,42492,2865
63780007269736,32778,43000,2957
63780007269746,32780,43213,2890
63780007269756,32772,43387,2960
63780007269766,32768,43952,2876
63780007269776,32774,44288,2926
63780007269786,32776,44688,2875
63780007269796,32766,44992,2868
63780007269806,32766,45156,2873
63780007269816,32772,45212,2859
63780007269826,32780,45562,2840
63780007269836,32772,45740,2840
63780007269846,32776,45768,2954
63780007269856,32764,45665,2870
63780007269866,32776,45684,2894
63780007269876,32772,45704,2883
63780007269886,32776,45788,2845
63780007269896,32782,45704,2873
63780007269906,32780,45432,2837
63780007269916,32776,45296,2879
63780007269926,32773,45256,2869
63780007269936,32776,44552,2873
63780007269946,32784,44255,2851
63780007269956,32777,44080,2878
63780007269966,32788,43952,2842
63780007269976,32790,43616,2872
63780007269986,32792,42897,2894
63780007269996,32796,42836,2852
63780007270006,32804,42536,2876
63780007270016,32812,42154,2957
63780007270026,32812,41933,2976
63780007270036,32812,41580,2967
63780007270046,32817,41296,2925
63780007270056,32816,41094,2862
63780007270066,32809,41000,2978
63780007270076,32800,40573,2964
63780007270086,32801,40528,2872
63780007270096,32808,40376,2992
63780007270106,32800,40484,2880
63780007270116,32791,40672,2872
63780007270126,32788,40692,2960
63780007270136,32798,40489,2887
63780007270146,32788,41073,2974
63780007270156,32798,41226,2869
63780007270166,32781,41192,2982
63780007270176,32777,41072,2890
63780007270186,32768,41344,2862
63780007270196,32769,41056,2913
63780007270206,32780,41128,2868
63780007270216,32776,40964,3069
63780007270226,32776,40632,2973
63780007270236,32777,40709,2896
63780007270246,32776,40509,2865
63780007270256,32788,40088,2993
63780007270266,32776,40076,2905
63780007270276,32794,40168,2972
63780007270286,32784,39828,2847
63780007270296,32788,39568,2864
63780007270306,32792,39436,2990
63780007270316,32788,39328,2871
