OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valL,valR
41998946211,63779525767130,0.5072744,0.5088245,0.4296734,0.506746,-14.78638,2.777967,-1.359791,-0.08242927,-0.9674646,0.05977441,-0.2316136,0,0,0,0,0,0,0,14.78397,-2.77505,1.335626,-0.05798427,-0.9973783,-0.04329298,-0.03318561,0.002623047,-0.02561542,0.02835942,0.003209488,-0.02271321,-0.05357361,0.02337646,0.9982758,-0.1121674,0.01501465,0.9935608,0.002679245,0.002778427,True,True
41998946369,63779525767130,0.5072744,0.5088245,0.4296734,0.506746,-14.78638,2.777967,-1.359791,-0.08242927,-0.9674646,0.05977441,-0.2316136,0,0,0,0,0,0,0,14.78397,-2.77505,1.335626,-0.05798427,-0.9973783,-0.04329298,-0.03318561,0.002623047,-0.02561542,0.02835942,0.003209488,-0.02271321,-0.05357361,0.02337646,0.9982758,-0.1121674,0.01501465,0.9935608,0.002679245,0.002778427,True,True
41998954637,63779525767141,0.5105287,0.5087589,0.4330133,0.5087871,-14.78566,2.77774,-1.359778,-0.08195899,-0.9661615,0.05998417,-0.2371003,0,0,0,0,0,0,0,14.78327,-2.774823,1.335614,-0.0585285,-0.9973693,-0.04276525,-0.03316747,0.002602035,-0.02556415,0.02838708,0.003231506,-0.02276402,-0.04498291,0.02319336,0.998703,-0.1034698,0.02099609,0.9944,0.002671188,0.002858246,True,True
41998954728,63779525767141,0.5105287,0.5087589,0.4330133,0.5087871,-14.78566,2.77774,-1.359778,-0.08195899,-0.9661615,0.05998417,-0.2371003,0,0,0,0,0,0,0,14.78327,-2.774823,1.335614,-0.0585285,-0.9973693,-0.04276525,-0.03316747,0.002602035,-0.02556415,0.02838708,0.003231506,-0.02276402,-0.04498291,0.02319336,0.998703,-0.1034698,0.02099609,0.9944,0.002671188,0.002858246,True,True
41998962724,63779525767141,0.5120987,0.5097124,0.4342734,0.5082524,-14.78566,2.77774,-1.359778,-0.08195899,-0.9661615,0.05998417,-0.2371003,0,0,0,0,0,0,0,14.78329,-2.774851,1.335704,-0.0585046,-0.9973708,-0.04276383,-0.0331387,0.002580521,-0.02548575,0.02840903,0.003198013,-0.02266255,-0.04083252,0.02600098,0.9988251,-0.1001892,0.0194397,0.9947662,0.002652405,0.002754288,True,True
41998962880,63779525767141,0.5120987,0.5097124,0.4342734,0.5082524,-14.78566,2.77774,-1.359778,-0.08195899,-0.9661615,0.05998417,-0.2371003,0,0,0,0,0,0,0,14.78329,-2.774851,1.335704,-0.0585046,-0.9973708,-0.04276383,-0.0331387,0.002580521,-0.02548575,0.02840903,0.003198013,-0.02266255,-0.04083252,0.02600098,0.9988251,-0.1001892,0.0194397,0.9947662,0.002652405,0.002754288,True,True
41998971092,63779525767155,0.5121028,0.5109948,0.4351563,0.5086369,-14.78488,2.777633,-1.359638,-0.08175387,-0.9648426,0.06012874,-0.2424454,0,0,0,0,0,0,0,14.78255,-2.774748,1.335583,-0.05908196,-0.9973505,-0.04244246,-0.0331001,0.002586685,-0.02549448,0.02843973,0.003184402,-0.02261568,-0.04081726,0.0297699,0.9987183,-0.09788513,0.02056885,0.9949799,0.002758072,0.002922165,True,True
41998971192,63779525767155,0.5121028,0.5109948,0.4351563,0.5086369,-14.78488,2.777633,-1.359638,-0.08175387,-0.9648426,0.06012874,-0.2424454,0,0,0,0,0,0,0,14.78255,-2.774748,1.335583,-0.05908196,-0.9973505,-0.04244246,-0.0331001,0.002586685,-0.02549448,0.02843973,0.003184402,-0.02261568,-0.04081726,0.0297699,0.9987183,-0.09788513,0.02056885,0.9949799,0.002758072,0.002922165,True,True
41998979335,63779525767163,0.5140205,0.5099754,0.438311,0.5085532,-14.78427,2.777513,-1.359482,-0.08166264,-0.9634942,0.06018219,-0.2477664,0,0,0,0,0,0,0,14.78198,-2.774607,1.33537,-0.05957533,-0.9973309,-0.04221282,-0.03305086,0.002616257,-0.02557564,0.02847641,0.003194061,-0.02264841,-0.03575134,0.02677917,0.9989929,-0.08964539,0.02033997,0.9957581,0.002639053,0.002812729,True,True
41998979492,63779525767163,0.5140205,0.5099754,0.438311,0.5085532,-14.78427,2.777513,-1.359482,-0.08166264,-0.9634942,0.06018219,-0.2477664,0,0,0,0,0,0,0,14.78198,-2.774607,1.33537,-0.05957533,-0.9973309,-0.04221282,-0.03305086,0.002616257,-0.02557564,0.02847641,0.003194061,-0.02264841,-0.03575134,0.02677917,0.9989929,-0.08964539,0.02033997,0.9957581,0.002639053,0.002812729,True,True
