OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
8756003771,63780008289268,None,None
8756003771,63780008289283,None,None
8756003771,63780008289289,None,None
8756003771,63780008289296,None,None
8756003771,63780008289301,None,None
8756003771,63780008289311,None,None
8756003771,63780008289323,None,None
8756003771,63780008289334,None,None
8756003771,63780008289345,None,None
8756003771,63780008289356,None,None
8756020434,63780008289368,None,None
8756078755,63780008289379,None,None
8756128744,63780008289397,None,None
8756145407,63780008289403,None,None
8756153738,63780008289412,None,None
8756162070,63780008289424,None,None
8756178733,63780008289437,None,None
8756187065,63780008289446,None,None
8756195396,63780008289457,None,None
8756212059,63780008289469,None,None
8756220391,63780008289479,None,None
8756228722,63780008289490,None,None
8756245385,63780008289502,None,None
8756253717,63780008289513,None,None
8756262048,63780008289524,None,None
8756278711,63780008289535,None,None
8756287043,63780008289547,None,None
8756295374,63780008289558,None,None
8756312037,63780008289569,None,None
8756320369,63780008289580,None,None
8756337032,63780008289595,None,None
8756345364,63780008289602,None,None
8756353695,63780008289614,None,None
8756370358,63780008289628,None,None
8756378690,63780008289636,None,None
8756387021,63780008289647,None,None
8756395353,63780008289658,None,None
8756412016,63780008289670,None,None
8756420347,63780008289680,None,None
8756428679,63780008289692,None,None
8756445342,63780008289703,None,None
8756453673,63780008289714,None,None
8756462005,63780008289725,None,None
8756478668,63780008289737,None,None
8756486999,63780008289751,None,None
8756495331,63780008289759,None,None
8756511994,63780008289770,None,None
8756520326,63780008289780,None,None
8756528657,63780008289791,None,None
8756545320,63780008289803,None,None
8756553652,63780008289814,None,None
8756561983,63780008289825,None,None
8756578646,63780008289836,None,None
8756586978,63780008289848,None,None
8756595309,63780008289858,None,None
8756611972,63780008289872,None,None
8756620304,63780008289880,None,None
8756628635,63780008289892,None,None
8756645298,63780008289908,None,None
8756653630,63780008289915,None,None
8756670293,63780008289926,None,None
8756678625,63780008289937,None,None
8756686956,63780008289948,None,None
8756695288,63780008289960,None,None
8756711951,63780008289971,None,None
8756728614,63780008289985,None,None
8756736945,63780008289996,None,None
8756745277,63780008290008,None,None
8756761940,63780008290019,None,None
8756770271,63780008290030,None,None
8756778603,63780008290042,None,None
8756795266,63780008290053,None,None
8756803597,63780008290067,None,None
8756811929,63780008290075,None,None
8756828592,63780008290087,None,None
8756836924,63780008290099,None,None
8756853587,63780008290112,None,None
8756861918,63780008290120,None,None
8756870250,63780008290131,None,None
8756878581,63780008290142,None,None
8756895244,63780008290153,None,None
8756903576,63780008290165,None,None
8756911907,63780008290176,None,None
8756928570,63780008290187,None,None
8756936902,63780008290198,None,None
8756953565,63780008290210,None,None
8756961896,63780008290224,None,None
8756970228,63780008290232,None,None
8756978559,63780008290243,None,None
8756995222,63780008290254,None,None
8757003554,63780008290265,None,None
8757020217,63780008290276,None,None
8757028549,63780008290287,None,None
8757036880,63780008290298,None,None
8757053543,63780008290310,None,None
8757061875,63780008290321,None,None
8757070206,63780008290332,None,None
8757086869,63780008290343,None,None
8757095201,63780008290355,None,None
8757103532,63780008290366,None,None
8757120195,63780008290380,None,None
8757128527,63780008290388,None,None
8757136858,63780008290399,None,None
8757153521,63780008290411,None,None
8757161853,63780008290421,None,None
8757170185,63780008290432,None,None
8757186848,63780008290443,None,None
8757195179,63780008290455,None,None
8757203511,63780008290466,None,None
8757220174,63780008290477,None,None
8757228505,63780008290489,None,None
8757236837,63780008290500,None,None
8757253500,63780008290511,None,None
8757261831,63780008290523,None,None
8757278494,63780008290538,None,None
8757286826,63780008290545,None,None
8757295157,63780008290557,None,None
8757311820,63780008290568,None,None
8757320152,63780008290580,None,None
8757336815,63780008290596,None,None
8757345147,63780008290603,None,None
8757345147,63780008290608,None,None
8757361810,63780008290620,None,None
8757370141,63780008290631,None,None
8757378473,63780008290642,None,None
8757395136,63780008290653,None,None
8757403467,63780008290664,None,None
8757411799,63780008290676,None,None
8757428462,63780008290691,None,None
8757436793,63780008290698,None,None
8757445125,63780008290709,None,None
8757461788,63780008290720,None,None
8757470119,63780008290731,None,None
8757478451,63780008290742,None,None
8757495114,63780008290753,None,None
8757503446,63780008290765,None,None
8757520109,63780008290776,None,None
8757528440,63780008290788,None,None
8757536772,63780008290798,None,None
8757545103,63780008290809,None,None
8757561766,63780008290821,None,None
8757578429,63780008290837,None,None
8757586761,63780008290846,None,None
8757595092,63780008290854,None,None
8757603424,63780008290866,None,None
8757620087,63780008290877,None,None
8757628418,63780008290888,None,None
8757636750,63780008290899,None,None
8757653413,63780008290911,None,None
8757661744,63780008290921,None,None
8757670076,63780008290933,None,None
8757686739,63780008290944,None,None
8757695071,63780008290955,None,None
8757703402,63780008290967,None,None
8757720065,63780008290978,None,None
8757728397,63780008290989,None,None
8757745060,63780008291003,None,None
8757753391,63780008291011,None,None
8757761723,63780008291022,None,None
8757770054,63780008291034,None,None
8757786717,63780008291045,None,None
8757795049,63780008291056,None,None
8757803380,63780008291067,None,None
8757820043,63780008291081,None,None
8757828375,63780008291090,None,None
8757836707,63780008291101,None,None
8757853370,63780008291112,None,None
8757861701,63780008291123,None,None
8757870033,63780008291134,None,None
8757886696,63780008291146,None,None
8757903359,63780008291160,None,None
8757903359,63780008291168,None,None
8757920022,63780008291179,None,None
8757928353,63780008291190,None,None
8757945016,63780008291202,None,None
8757953348,63780008291213,None,None
8757961679,63780008291224,None,None
8757978342,63780008291236,None,None
8757986674,63780008291247,None,None
8757995005,63780008291258,None,None
8758003337,63780008291270,None,None
