OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valL,valR
2837963951,63780002370412,0.5112713,0.5091018,0.4394319,0.5062945,-14.85841,2.194748,-0.1116306,-0.01039622,0.9985749,-0.01944973,0.04860062,0,0,0,0,0,0,0,14.85875,-2.189751,0.09243779,-0.005611469,-0.4382021,-0.898859,-0.02677112,0.003956787,-0.01887291,0.02744836,0.006037262,-0.01951282,-0.04301453,0.02420044,0.9987793,-0.0867157,0.01373291,0.9961243,0.003010529,0.003169388,True,True
2837964031,63780002370412,0.5112713,0.5091018,0.4394319,0.5062945,-14.85841,2.194748,-0.1116306,-0.01039622,0.9985749,-0.01944973,0.04860062,0,0,0,0,0,0,0,14.85875,-2.189751,0.09243779,-0.005611469,-0.4382021,-0.898859,-0.02677112,0.003956787,-0.01887291,0.02744836,0.006037262,-0.01951282,-0.04301453,0.02420044,0.9987793,-0.0867157,0.01373291,0.9961243,0.003010529,0.003169388,True,True
2837964081,63780002370412,0.5112713,0.5091018,0.4394319,0.5062945,-14.85841,2.194748,-0.1116306,-0.01039622,0.9985749,-0.01944973,0.04860062,0,0,0,0,0,0,0,14.85875,-2.189751,0.09243779,-0.005611469,-0.4382021,-0.898859,-0.02677112,0.003956787,-0.01887291,0.02744836,0.006037262,-0.01951282,-0.04301453,0.02420044,0.9987793,-0.0867157,0.01373291,0.9961243,0.003010529,0.003169388,True,True
2837972237,63780002371156,0.5111437,0.5095276,0.4394029,0.5064196,-14.85843,2.19477,-0.1116187,-0.01036048,0.9985762,-0.01938373,0.04860768,0,0,0,0,0,0,0,14.85877,-2.189773,0.09242457,-0.005593436,-0.4381948,-0.8988627,-0.0267712,0.003956513,-0.01887118,0.02744824,0.00603804,-0.01951701,-0.04335022,0.02545166,0.9987335,-0.08679199,0.01409912,0.9961243,0.003011459,0.003171402,True,True
2837972317,63780002371156,0.5111437,0.5095276,0.4394029,0.5064196,-14.85843,2.19477,-0.1116187,-0.01036048,0.9985762,-0.01938373,0.04860768,0,0,0,0,0,0,0,14.85877,-2.189773,0.09242457,-0.005593436,-0.4381948,-0.8988627,-0.0267712,0.003956513,-0.01887118,0.02744824,0.00603804,-0.01951701,-0.04335022,0.02545166,0.9987335,-0.08679199,0.01409912,0.9961243,0.003011459,0.003171402,True,True
2837972365,63780002371156,0.5111437,0.5095276,0.4394029,0.5064196,-14.85843,2.19477,-0.1116187,-0.01036048,0.9985762,-0.01938373,0.04860768,0,0,0,0,0,0,0,14.85877,-2.189773,0.09242457,-0.005593436,-0.4381948,-0.8988627,-0.0267712,0.003956513,-0.01887118,0.02744824,0.00603804,-0.01951701,-0.04335022,0.02545166,0.9987335,-0.08679199,0.01409912,0.9961243,0.003011459,0.003171402,True,True
2837980682,63780002371169,0.511161,0.5095327,0.4394145,0.50643,-14.85869,2.194687,-0.1122399,-0.01099817,0.9986007,-0.01912743,0.04806087,0,0,0,0,0,0,0,14.85903,-2.18969,0.09304667,-0.005513032,-0.4383901,-0.8987679,-0.02677135,0.003956146,-0.01886848,0.02744809,0.006038086,-0.01951799,-0.04330444,0.02546692,0.9987335,-0.08676147,0.01412964,0.9961243,0.003011414,0.00317215,True,True
2837980848,63780002371169,0.511161,0.5095327,0.4394145,0.50643,-14.85869,2.194687,-0.1122399,-0.01099817,0.9986007,-0.01912743,0.04806087,0,0,0,0,0,0,0,14.85903,-2.18969,0.09304667,-0.005513032,-0.4383901,-0.8987679,-0.02677135,0.003956146,-0.01886848,0.02744809,0.006038086,-0.01951799,-0.04330444,0.02546692,0.9987335,-0.08676147,0.01412964,0.9961243,0.003011414,0.00317215,True,True
2837980977,63780002371169,0.511161,0.5095327,0.4394145,0.50643,-14.85869,2.194687,-0.1122399,-0.01099817,0.9986007,-0.01912743,0.04806087,0,0,0,0,0,0,0,14.85903,-2.18969,0.09304667,-0.005513032,-0.4383901,-0.8987679,-0.02677135,0.003956146,-0.01886848,0.02744809,0.006038086,-0.01951799,-0.04330444,0.02546692,0.9987335,-0.08676147,0.01412964,0.9961243,0.003011414,0.00317215,True,True
2837988820,63780002371175,0.5111089,0.5095433,0.4394377,0.5065185,-14.85869,2.194681,-0.1122765,-0.01102009,0.9986109,-0.01914954,0.04783663,0,0,0,0,0,0,0,14.85903,-2.189682,0.09308162,-0.005519825,-0.438444,-0.8987415,-0.02677333,0.003956146,-0.01886848,0.027448,0.006041412,-0.01952133,-0.04344177,0.02549744,0.9987183,-0.08670044,0.01438904,0.9961243,0.003012634,0.003184692,True,True
