OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
4470975491,63780004004197,None,None
4470975491,63780004004202,None,None
4470983822,63780004004208,None,None
4470983822,63780004004212,None,None
4471000485,63780004004222,None,None
4471008817,63780004004238,None,None
4471017148,63780004004245,None,None
4471033811,63780004004255,None,None
4471042143,63780004004267,None,None
4471050474,63780004004278,None,None
4471067137,63780004004290,None,None
4471075469,63780004004300,None,None
4471083800,63780004004312,None,None
4471100464,63780004004323,None,None
4471108795,63780004004334,None,None
4471117127,63780004004346,None,None
4471133790,63780004004357,None,None
4471142121,63780004004368,None,None
4471150453,63780004004380,None,None
4471167116,63780004004393,None,None
4471175447,63780004004402,None,None
4471183779,63780004004412,None,None
4471200442,63780004004423,None,None
4471208773,63780004004434,None,None
4471217105,63780004004445,None,None
4471233768,63780004004457,None,None
4471242099,63780004004468,None,None
4471250431,63780004004479,None,None
4471267094,63780004004490,None,None
4471275426,63780004004501,None,None
4471292089,63780004004516,None,None
4471300420,63780004004524,None,None
4471308752,63780004004535,None,None
4471325415,63780004004549,None,None
4471333746,63780004004557,None,None
4471342078,63780004004568,None,None
4471358741,63780004004580,None,None
4471367072,63780004004591,None,None
4471375404,63780004004602,None,None
4471392067,63780004004613,None,None
4471400398,63780004004624,None,None
4471408730,63780004004635,None,None
4471425393,63780004004647,None,None
4471433725,63780004004658,None,None
4471442056,63780004004669,None,None
4471458719,63780004004680,None,None
4471467051,63780004004692,None,None
4471483714,63780004004706,None,None
4471492045,63780004004714,None,None
4471500377,63780004004725,None,None
4471508708,63780004004737,None,None
4471525371,63780004004748,None,None
4471533703,63780004004758,None,None
4471542034,63780004004769,None,None
4471558697,63780004004780,None,None
4471567029,63780004004792,None,None
4471575360,63780004004803,None,None
4471592023,63780004004814,None,None
4471600355,63780004004825,None,None
4471608687,63780004004836,None,None
4471625350,63780004004848,None,None
4471633681,63780004004861,None,None
4471642013,63780004004870,None,None
4471658676,63780004004883,None,None
4471675339,63780004004897,None,None
4471683670,63780004004908,None,None
4471692002,63780004004919,None,None
4471708665,63780004004931,None,None
4471716996,63780004004942,None,None
4471725328,63780004004952,None,None
4471741991,63780004004965,None,None
4471750322,63780004004975,None,None
4471758654,63780004004987,None,None
4471775317,63780004004999,None,None
4471783649,63780004005012,None,None
4471791980,63780004005020,None,None
4471808643,63780004005031,None,None
4471816975,63780004005043,None,None
4471825306,63780004005054,None,None
4471841969,63780004005066,None,None
4471850301,63780004005076,None,None
4471858632,63780004005087,None,None
4471875295,63780004005098,None,None
4471883627,63780004005109,None,None
4471891958,63780004005121,None,None
4471908621,63780004005133,None,None
4471916953,63780004005143,None,None
4471933616,63780004005155,None,None
4471950279,63780004005176,None,None
4471958611,63780004005181,None,None
4471958611,63780004005186,None,None
4471966942,63780004005194,None,None
4471983605,63780004005206,None,None
4471991937,63780004005217,None,None
4472000268,63780004005228,None,None
4472016931,63780004005239,None,None
4472025263,63780004005250,None,None
4472033594,63780004005261,None,None
4472050257,63780004005272,None,None
4472058589,63780004005284,None,None
4472066920,63780004005294,None,None
4472083583,63780004005306,None,None
4472091915,63780004005319,None,None
4472100247,63780004005328,None,None
4472116910,63780004005339,None,None
4472125241,63780004005350,None,None
4472133573,63780004005361,None,None
4472150236,63780004005373,None,None
4472158567,63780004005384,None,None
4472166899,63780004005395,None,None
4472183562,63780004005406,None,None
4472191893,63780004005418,None,None
4472200225,63780004005428,None,None
4472216888,63780004005440,None,None
4472225219,63780004005451,None,None
4472233551,63780004005462,None,None
4472250214,63780004005477,None,None
4472258545,63780004005485,None,None
4472266877,63780004005496,None,None
4472283540,63780004005507,None,None
4472291872,63780004005517,None,None
4472300203,63780004005529,None,None
4472316866,63780004005540,None,None
4472325198,63780004005551,None,None
4472333529,63780004005562,None,None
4472350192,63780004005574,None,None
4472358524,63780004005585,None,None
4472375187,63780004005597,None,None
4472383518,63780004005608,None,None
4472391850,63780004005620,None,None
4472408513,63780004005635,None,None
4472416844,63780004005643,None,None
4472425176,63780004005655,None,None
4472441839,63780004005666,None,None
4472450171,63780004005677,None,None
4472466834,63780004005690,None,None
4472475165,63780004005701,None,None
4472483497,63780004005712,None,None
4472500160,63780004005723,None,None
4472508491,63780004005735,None,None
4472516823,63780004005746,None,None
4472533486,63780004005757,None,None
4472541817,63780004005769,None,None
4472558480,63780004005780,None,None
4472566812,63780004005794,None,None
4472575143,63780004005802,None,None
4472591806,63780004005813,None,None
4472608470,63780004005831,None,None
4472608470,63780004005836,None,None
4472616801,63780004005842,None,None
4472625133,63780004005854,None,None
4472641796,63780004005864,None,None
4472650127,63780004005875,None,None
4472658459,63780004005886,None,None
4472675122,63780004005898,None,None
4472683453,63780004005909,None,None
4472691785,63780004005920,None,None
4472708448,63780004005932,None,None
4472716779,63780004005946,None,None
4472725111,63780004005954,None,None
4472741774,63780004005965,None,None
4472750105,63780004005976,None,None
4472758437,63780004005988,None,None
4472775100,63780004005998,None,None
4472783432,63780004006009,None,None
4472791763,63780004006020,None,None
4472808426,63780004006032,None,None
4472816758,63780004006043,None,None
4472825089,63780004006054,None,None
4472841752,63780004006065,None,None
4472850084,63780004006076,None,None
4472866747,63780004006088,None,None
4472875078,63780004006101,None,None
4472883410,63780004006110,None,None
4472900073,63780004006121,None,None
4472908404,63780004006133,None,None
4472916736,63780004006143,None,None
4472933399,63780004006155,None,None
4472941731,63780004006166,None,None
4472950062,63780004006177,None,None
4472966725,63780004006189,None,None
4472975057,63780004006199,None,None
