OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
25302194948,63780024835513,None,None
25302194948,63780024835523,None,None
25302219942,63780024835532,None,None
25302311589,63780024835541,None,None
25302319920,63780024835547,None,None
25302319920,63780024835554,None,None
25302328252,63780024835559,None,None
25302336583,63780024835570,None,None
25302353247,63780024835581,None,None
25302369910,63780024835604,None,None
25302394904,63780024835626,None,None
25302419899,63780024835648,None,None
25302444893,63780024835670,None,None
25302461556,63780024835693,None,None
25302486551,63780024835716,None,None
25302511545,63780024835739,None,None
25302528209,63780024835760,None,None
25302553203,63780024835782,None,None
25302578198,63780024835805,None,None
25302594861,63780024835827,None,None
25302619855,63780024835850,None,None
25302644850,63780024835872,None,None
25302661513,63780024835894,None,None
25302686508,63780024835916,None,None
25302711502,63780024835939,None,None
25302728165,63780024835961,None,None
25302753160,63780024835984,None,None
25302778154,63780024836006,None,None
25302803149,63780024836031,None,None
25302819812,63780024836051,None,None
25302844806,63780024836073,None,None
25302861470,63780024836096,None,None
25302878133,63780024836106,None,None
25302886464,63780024836117,None,None
25302894796,63780024836128,None,None
25302911459,63780024836141,None,None
25302919790,63780024836151,None,None
25302936453,63780024836169,None,None
25302944785,63780024836174,None,None
25302953116,63780024836185,None,None
25302961448,63780024836196,None,None
25302978111,63780024836207,None,None
25302986442,63780024836218,None,None
25302994774,63780024836229,None,None
25303011437,63780024836240,None,None
25303019769,63780024836251,None,None
25303028100,63780024836262,None,None
25303044763,63780024836273,None,None
25303053095,63780024836285,None,None
25303061426,63780024836295,None,None
25303078089,63780024836306,None,None
25303086421,63780024836318,None,None
25303094752,63780024836329,None,None
25303111415,63780024836341,None,None
25303119747,63780024836352,None,None
25303128078,63780024836363,None,None
25303144741,63780024836374,None,None
25303153073,63780024836385,None,None
25303161404,63780024836396,None,None
25303178067,63780024836408,None,None
25303186399,63780024836419,None,None
25303194731,63780024836430,None,None
25303211394,63780024836441,None,None
25303219725,63780024836453,None,None
25303228057,63780024836464,None,None
25303244720,63780024836475,None,None
25303253051,63780024836486,None,None
25303261383,63780024836496,None,None
25303278046,63780024836508,None,None
25303286377,63780024836519,None,None
25303294709,63780024836530,None,None
25303311372,63780024836542,None,None
25303319703,63780024836553,None,None
25303328035,63780024836565,None,None
25303344698,63780024836576,None,None
25303353030,63780024836588,None,None
25303369693,63780024836599,None,None
25303378024,63780024836611,None,None
25303386356,63780024836622,None,None
25303403019,63780024836633,None,None
25303411350,63780024836645,None,None
25303419682,63780024836656,None,None
25303436345,63780024836667,None,Notruf_nach-links
25303444676,63780024836679,None,Notruf_nach-links
25303453008,63780024836690,Notruf_nach-links,Notruf_nach-links
25303469671,63780024836701,None,None
25303478002,63780024836713,Notruf_nach-links,None
25303494665,63780024836724,None,None
25303502997,63780024836736,Notruf_nach-links,None
25303511328,63780024836746,Notruf_nach-links,None
25303527992,63780024836760,Notruf_nach-links,None
25303536323,63780024836771,Notruf_nach-links,None
25303544655,63780024836781,Notruf_nach-links,None
25303561318,63780024836792,Notruf_nach-links,None
25303569649,63780024836804,Notruf_nach-links,None
25303577981,63780024836815,Notruf_nach-links,None
25303594644,63780024836827,Notruf_nach-links,None
25303602975,63780024836837,Notruf_nach-links,None
25303611307,63780024836849,Notruf_nach-links,None
25303636301,63780024836871,None,None
25303644633,63780024836876,Notruf_nach-links,None
25303644633,63780024836882,Notruf_nach-links,None
25303652964,63780024836888,None,None
25303669627,63780024836900,None,None
25303677959,63780024836910,None,None
25303686291,63780024836922,None,None
25303702954,63780024836933,None,None
25303711285,63780024836943,None,None
25303719617,63780024836954,None,None
