OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
26889047627,63780026422263,None,None
26889064291,63780026422275,None,None
26889105948,63780026422319,None,None
26889114280,63780026422328,None,None
26889122611,63780026422334,None,None
26889122611,63780026422339,None,None
26889130943,63780026422345,None,None
26889139274,63780026422353,None,None
26889147606,63780026422364,None,None
26889164269,63780026422376,None,None
26889172600,63780026422386,None,None
26889189263,63780026422398,None,None
26889197595,63780026422409,None,None
26889205927,63780026422419,None,None
26889222590,63780026422431,None,None
26889289242,63780026422495,None,None
26889297573,63780026422504,None,None
26889297573,63780026422510,None,None
26889305905,63780026422516,None,None
26889314236,63780026422522,None,None
26889322568,63780026422532,None,None
26889330899,63780026422543,None,None
26889339231,63780026422554,None,None
26889355894,63780026422566,None,None
26889364225,63780026422576,None,None
26889372557,63780026422588,None,None
26889414215,63780026422628,None,None
26889422546,63780026422634,None,None
26889430878,63780026422640,None,None
26889430878,63780026422646,None,None
26889439209,63780026422654,None,None
26889455872,63780026422665,None,None
26889464204,63780026422677,None,None
26889472535,63780026422689,None,None
26889497530,63780026422709,None,None
26889505861,63780026422716,None,None
26889505861,63780026422722,None,None
26889522524,63780026422733,None,None
26889530856,63780026422744,None,None
26889572514,63780026422784,None,None
26889580845,63780026422790,None,None
26889580845,63780026422796,None,None
26889589177,63780026422801,None,None
26889597508,63780026422810,None,None
26889605840,63780026422821,None,None
26889622503,63780026422833,None,None
26889630834,63780026422844,None,None
26889639166,63780026422855,None,None
26889655829,63780026422866,None,None
26889664160,63780026422878,None,None
26889672492,63780026422889,None,None
26889689155,63780026422901,None,None
26889730813,63780026422940,None,None
26889730813,63780026422947,None,None
26889739144,63780026422953,None,None
26889747476,63780026422958,None,None
26889755807,63780026422967,None,None
26889764139,63780026422978,None,None
26889780802,63780026422989,None,None
26889789133,63780026423000,None,None
26889797465,63780026423012,None,None
26889814128,63780026423023,None,None
26889822459,63780026423034,None,None
26889830791,63780026423045,None,None
26889847454,63780026423057,None,None
26889889112,63780026423099,None,None
26889889112,63780026423105,None,None
26889897443,63780026423110,None,None
26889905775,63780026423116,None,None
26889914106,63780026423124,None,None
26889922438,63780026423135,None,None
26889922438,63780026423147,None,None
26889922438,63780026423157,None,None
26889922438,63780026423167,None,None
26889922438,63780026423179,None,None
26889922438,63780026423190,None,None
26889922438,63780026423201,None,None
26889922438,63780026423213,None,None
