OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
22411330735,63780021944542,None,None
22411339066,63780021944552,None,None
22411347398,63780021944558,None,None
22411355729,63780021944564,None,None
22411355729,63780021944570,None,None
22411364061,63780021944578,None,None
22411380724,63780021944590,None,None
22411389055,63780021944601,None,None
22411397387,63780021944612,None,None
22411414050,63780021944623,None,None
22411422381,63780021944634,None,None
22411430713,63780021944645,None,None
22411447376,63780021944657,None,None
22411455707,63780021944668,None,None
22411464039,63780021944679,None,None
22411480702,63780021944690,None,None
22411489034,63780021944702,None,None
22411497365,63780021944712,None,None
22411514028,63780021944724,None,None
22411522360,63780021944735,None,None
22411539023,63780021944746,None,None
22411547354,63780021944757,None,None
22411555686,63780021944769,None,None
22411572349,63780021944780,None,None
22411580680,63780021944791,None,None
22411589012,63780021944802,None,None
22411605675,63780021944813,None,None
22411614006,63780021944824,None,None
22411622338,63780021944836,None,None
22411639001,63780021944847,None,None
22411647333,63780021944858,None,None
22411655664,63780021944870,None,None
22411672327,63780021944881,None,None
22411680659,63780021944891,None,None
22411688990,63780021944902,None,None
22411705653,63780021944914,None,None
22411713985,63780021944925,None,None
22411722316,63780021944936,None,None
22411738979,63780021944947,None,None
22411747311,63780021944958,None,None
22411755642,63780021944969,None,None
22411772305,63780021944980,None,None
22411780637,63780021944991,None,None
22411788968,63780021945003,None,None
22411805631,63780021945014,None,None
22411813963,63780021945025,None,None
22411822295,63780021945036,None,None
22411838958,63780021945047,None,None
22411847289,63780021945059,None,None
22411855621,63780021945070,None,None
22411872284,63780021945081,None,None
22411880615,63780021945092,None,None
22411888947,63780021945104,None,None
22411905610,63780021945115,None,None
22411913941,63780021945127,None,None
22411922273,63780021945137,None,None
22411938936,63780021945148,None,None
22411955599,63780021945168,None,None
22411963930,63780021945173,None,None
22411972262,63780021945181,None,None
22411980594,63780021945192,None,None
22411988925,63780021945204,None,None
22412005588,63780021945215,None,None
22412013920,63780021945226,None,None
22412030583,63780021945238,None,None
22412038914,63780021945249,None,None
22412047246,63780021945260,None,None
22412063909,63780021945271,None,None
22412072240,63780021945282,None,None
22412080572,63780021945293,None,None
22412097235,63780021945304,None,None
22412105566,63780021945316,None,None
22412113898,63780021945327,None,None
22412130561,63780021945338,None,None
22412138892,63780021945349,None,None
22412147224,63780021945360,None,None
22412163887,63780021945372,None,None
22412172219,63780021945383,None,None
22412180550,63780021945394,None,None
22412197213,63780021945405,None,None
22412205545,63780021945416,None,None
22412213876,63780021945428,None,None
22412230539,63780021945439,None,None
22412238871,63780021945451,None,None
22412247202,63780021945462,None,None
22412263865,63780021945473,None,None
22412272197,63780021945484,None,None
22412280528,63780021945495,None,None
22412297191,63780021945505,None,None
22412305523,63780021945516,None,None
22412313855,63780021945528,None,None
22412330518,63780021945539,None,None
22412338849,63780021945550,None,None
22412347181,63780021945561,None,None
22412363844,63780021945572,None,None
22412372175,63780021945583,None,None
22412388838,63780021945596,None,None
22412397170,63780021945607,None,None
22412405501,63780021945618,None,None
22412422164,63780021945629,None,None
22412430496,63780021945641,None,None
22412438827,63780021945653,None,None
22412455490,63780021945664,None,None
22412463822,63780021945675,None,None
22412472153,63780021945687,None,None
22412488817,63780021945699,None,None
22412497148,63780021945710,None,None
22412513811,63780021945722,None,None
22412522143,63780021945733,None,None
22412530474,63780021945744,None,None
22412547137,63780021945756,None,None
22412555469,63780021945767,None,None
22412563800,63780021945778,None,None
22412580463,63780021945790,None,None
22412588795,63780021945802,None,None
22412597126,63780021945812,None,None
22412613789,63780021945823,None,None
22412622121,63780021945835,None,None
22412638784,63780021945847,None,None
22412647116,63780021945858,None,None
22412655447,63780021945868,None,None
22412672110,63780021945880,None,None
22412680442,63780021945890,None,None
22412688773,63780021945901,None,None
22412705436,63780021945912,None,None
22412713768,63780021945923,None,None
22412722099,63780021945935,None,None
22412738762,63780021945946,None,None
22412747094,63780021945958,None,None
22412755425,63780021945968,None,None
22412772088,63780021945979,None,None
22412780420,63780021945991,None,None
22412788751,63780021946002,None,None
22412805414,63780021946014,None,None
22412813746,63780021946024,None,None
22412822078,63780021946036,None,None
22412838741,63780021946048,None,None
22412847072,63780021946058,None,None
22412855404,63780021946069,None,None
22412872067,63780021946081,None,None
22412880398,63780021946091,None,None
22412897061,63780021946104,None,None
22412905393,63780021946115,None,None
22412913724,63780021946125,None,None
22412930387,63780021946138,None,None
22412938719,63780021946148,None,None
22412947050,63780021946159,None,None
22412955382,63780021946171,None,None
22412972045,63780021946181,None,None
22412980377,63780021946193,None,None
22412988708,63780021946204,None,None
22412997040,63780021946214,None,None
22412997040,63780021946226,None,None
22412997040,63780021946237,None,None
22412997040,63780021946249,None,None
22412997040,63780021946259,None,None
22412997040,63780021946271,None,None
22412997040,63780021946282,None,None
22412997040,63780021946293,None,None
22412997040,63780021946304,None,None
22413105349,63780021946315,None,None
22413113681,63780021946326,None,None
22413130344,63780021946338,None,None
22413138675,63780021946349,None,None
22413147007,63780021946360,None,None
22413163670,63780021946371,None,None
22413172002,63780021946381,None,None
22413180333,63780021946392,None,None
22413196996,63780021946404,None,None
22413205328,63780021946415,None,None
22413213659,63780021946427,None,None
22413230322,63780021946438,None,None
22413238654,63780021946449,None,None
22413246985,63780021946460,None,None
22413263648,63780021946471,None,None
22413271980,63780021946482,None,None
22413280311,63780021946493,None,None
22413296974,63780021946504,None,None
22413305306,63780021946517,None,None
22413313638,63780021946528,None,None
22413330301,63780021946539,None,None
