OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
27209428090,63780026742648,None,None
27209478079,63780026742693,None,None
27209486411,63780026742698,None,None
27209486411,63780026742703,None,None
27209494742,63780026742709,None,None
27209503074,63780026742717,None,None
27209511405,63780026742728,None,None
27209519737,63780026742739,None,None
27209536400,63780026742750,None,None
27209544731,63780026742761,None,None
27209553063,63780026742772,None,None
27209569726,63780026742784,None,None
27209578057,63780026742795,None,None
27209594720,63780026742807,None,None
27209628046,63780026742847,None,None
27209636378,63780026742852,None,None
27209644709,63780026742861,None,None
27209653041,63780026742866,None,None
27209661373,63780026742873,None,None
27209669704,63780026742885,None,None
27209678036,63780026742896,None,None
27209694699,63780026742907,None,None
27209711362,63780026742927,None,None
27209719693,63780026742933,None,None
27209728025,63780026742941,None,None
27209736356,63780026742952,None,None
27209744688,63780026742963,None,None
27209786345,63780026743004,None,None
27209794677,63780026743009,None,None
27209794677,63780026743014,None,None
27209803009,63780026743019,None,None
27209811340,63780026743030,None,None
27209828003,63780026743041,None,None
27209836335,63780026743052,None,None
27209844666,63780026743064,None,None
27209861329,63780026743074,None,None
27209869661,63780026743085,None,None
27209877992,63780026743096,None,None
27209894655,63780026743108,None,None
27209902987,63780026743119,None,None
27209944644,63780026743158,None,None
27209944644,63780026743163,None,None
27209952976,63780026743168,None,None
27209961307,63780026743175,None,None
27209969639,63780026743186,None,None
27209977971,63780026743197,None,None
27209994634,63780026743209,None,None
27210002965,63780026743220,None,None
27210019628,63780026743231,None,None
27210027960,63780026743242,None,None
27210036291,63780026743253,None,None
27210044623,63780026743264,None,None
27210061286,63780026743276,None,None
27210102943,63780026743317,None,None
27210102943,63780026743323,None,None
27210111275,63780026743328,None,None
27210119606,63780026743332,None,None
27210127938,63780026743343,None,None
27210136269,63780026743354,None,None
27210152933,63780026743365,None,None
27210161264,63780026743375,None,None
27210169596,63780026743386,None,None
27210186259,63780026743398,None,None
27210194590,63780026743409,None,None
27210194590,63780026743420,None,None
27210194590,63780026743432,None,None
27210194590,63780026743471,None,None
27210194590,63780026743476,None,None
27210194590,63780026743481,None,None
27210194590,63780026743487,None,None
27210194590,63780026743498,None,None
27210194590,63780026743510,None,None
27210302900,63780026743521,None,None
27210319563,63780026743532,None,None
27210336226,63780026743551,None,None
27210344558,63780026743557,None,None
27210352889,63780026743566,None,None
27210361221,63780026743577,None,None
27210369552,63780026743589,None,None
27210411210,63780026743627,None,None
27210419541,63780026743633,None,None
27210419541,63780026743638,None,None
27210427873,63780026743643,None,None
27210436204,63780026743655,None,None
27210452867,63780026743666,None,None
27210461199,63780026743677,None,None
27210469531,63780026743688,None,None
27210486194,63780026743699,None,None
27210494525,63780026743711,None,None
27210502857,63780026743722,None,None
27210519520,63780026743733,None,None
27210527851,63780026743745,None,None
27210569509,63780026743785,None,None
27210577840,63780026743791,None,None
27210577840,63780026743796,None,None
27210586172,63780026743801,None,None
27210594503,63780026743812,None,None
27210602835,63780026743822,None,None
27210619498,63780026743834,None,None
27210627829,63780026743845,None,None
27210644493,63780026743857,None,None
27210652824,63780026743867,None,None
27210661156,63780026743878,None,None
27210677819,63780026743890,None,None
27210686150,63780026743902,None,None
27210727808,63780026743944,None,None
27210736139,63780026743948,None,None
27210736139,63780026743953,None,None
27210744471,63780026743958,None,None
27210752802,63780026743968,None,None
27210761134,63780026743979,None,None
27210777797,63780026743991,None,None
27210786128,63780026744002,None,None
27210794460,63780026744012,None,None
27210811123,63780026744024,None,None
27210819455,63780026744035,None,None
27210827786,63780026744046,None,None
27210844449,63780026744058,None,None
27210886107,63780026744098,None,None
27210886107,63780026744103,None,None
27210894438,63780026744108,None,None
27210894438,63780026744113,None,None
27210911101,63780026744125,None,None
27210919433,63780026744135,None,None
27210927764,63780026744147,None,None
27210944427,63780026744158,None,None
27210952759,63780026744169,None,None
27210961090,63780026744180,None,None
27210977753,63780026744194,None,None
27210986085,63780026744202,None,None
27211002748,63780026744214,None,None
27211044406,63780026744257,None,None
27211044406,63780026744262,None,None
27211052737,63780026744267,None,None
27211052737,63780026744272,None,None
27211069400,63780026744281,None,None
27211077732,63780026744292,None,None
27211086063,63780026744303,None,None
27211102726,63780026744314,None,None
27211111058,63780026744325,None,None
27211119389,63780026744336,None,None
27211136053,63780026744347,None,None
27211144384,63780026744359,None,None
27211152716,63780026744370,None,None
27211194373,63780026744411,None,None
27211202705,63780026744416,None,None
27211202705,63780026744422,None,None
27211211036,63780026744426,None,None
27211219368,63780026744437,None,None
27211236031,63780026744448,None,None
27211244362,63780026744460,None,None
27211252694,63780026744471,None,None
27211269357,63780026744482,None,None
27211277688,63780026744493,None,None
27211286020,63780026744504,None,None
27211302683,63780026744516,None,None
27211311015,63780026744527,None,None
27211352672,63780026744567,None,None
27211352672,63780026744572,None,None
27211361004,63780026744578,None,None
27211369335,63780026744583,None,None
27211377667,63780026744594,None,None
27211385998,63780026744605,None,None
27211402661,63780026744616,None,None
27211410993,63780026744628,None,None
27211419324,63780026744638,None,None
27211435987,63780026744650,None,None
