UnityTS,Heart,Breath,GSR
63780023776612,32800,29290,16797
63780023776622,32876,29318,16786
63780023776632,32957,29360,16780
63780023776642,33018,29300,16786
63780023776652,33048,29321,16798
63780023776662,33048,29289,16779
63780023776672,33024,29373,16782
63780023776682,32976,29396,16783
63780023776692,32918,29316,16798
63780023776702,32848,29313,16779
63780023776712,32786,29336,16785
63780023776722,32700,29464,16810
63780023776592,32800,29290,16797
63780023776602,32876,29318,16786
63780023776612,32957,29360,16780
63780023776622,33018,29300,16786
63780023776632,33048,29321,16798
63780023776642,33048,29289,16779
63780023776652,33024,29373,16782
63780023776662,32976,29396,16783
63780023776672,32918,29316,16798
63780023776682,32848,29313,16779
63780023776692,32786,29336,16785
63780023776702,32700,29464,16810
63780023776712,32600,29336,16775
63780023776722,32496,29476,16794
63780023776732,32416,29486,16779
63780023776742,32324,29520,16798
63780023776752,32240,29516,16786
63780023776762,32181,29511,16786
63780023776772,32115,29421,16782
63780023776782,32064,29620,16776
63780023776792,32017,29642,16795
63780023776802,31980,29632,16788
63780023776812,31936,29681,16781
63780023776822,31900,29696,16794
63780023776832,31868,29640,16797
63780023776842,31857,29816,16789
63780023776852,31840,29796,16797
63780023776862,31812,29896,16792
63780023776872,31776,29892,16816
63780023776882,31764,29988,16782
63780023776892,31753,29984,16775
63780023776902,31724,29868,16788
63780023776912,31713,30036,16798
63780023776922,31690,30148,16804
63780023776932,31666,29978,16776
63780023776942,31644,30232,16776
63780023776952,31612,30046,16793
63780023776962,31592,30072,16797
63780023776972,31568,30260,16803
63780023776982,31556,30303,16798
63780023776992,31524,30364,16818
63780023777002,31504,30406,16798
63780023777012,31483,30414,16789
63780023777022,31472,30228,16780
63780023777032,31432,30288,16776
63780023777042,31424,30340,16812
63780023777052,31400,30457,16785
63780023777062,31380,30486,16809
63780023777072,31362,30484,16787
63780023777082,31341,30513,16773
63780023777092,31340,30314,16776
63780023777102,31341,30376,16784
63780023777112,31336,30474,16778
63780023777122,31326,30609,16802
63780023777132,31300,30395,16809
63780023777142,31288,30622,16804
63780023777152,31272,30456,16784
63780023777162,31280,30636,16808
63780023777172,31274,30461,16792
63780023777182,31256,30636,16820
63780023777192,31242,30572,16792
63780023777202,31224,30488,16795
63780023777212,31218,30452,16780
63780023777222,31229,30362,16805
63780023777232,31284,30352,16800
63780023777242,31436,30289,16776
63780023777252,31736,30346,16776
63780023777262,32196,30198,16799
63780023777272,32769,30256,16804
63780023777282,33404,30224,16783
63780023777292,34036,30378,16780
63780023777302,34609,30378,16774
63780023777312,35099,30360,16794
63780023777322,35464,30392,16784
63780023777332,35706,30524,16804
63780023777342,35840,30502,16784
63780023777352,35861,30600,16776
63780023777362,35792,30684,16798
63780023777372,35656,30713,16792
63780023777382,35485,30776,16786
63780023777392,35276,30848,16769
63780023777402,35050,30925,16797
63780023777412,34831,30946,16769
63780023777422,34613,31044,16802
63780023777432,34418,31088,16796
63780023777442,34228,31104,16770
63780023777452,34084,31208,16776
63780023777462,33945,31274,16772
63780023777472,33832,31344,16781
63780023777482,33738,31264,16792
63780023777492,33634,31320,16781
63780023777502,33521,31417,16782
63780023777512,33402,31493,16789
63780023777522,33284,31620,16770
63780023777532,33158,31684,16818
63780023777542,33059,31718,16799
63780023777552,32978,31791,16800
63780023777562,32908,32008,16769
63780023777572,32872,32064,16800
63780023777582,32848,31824,16789
63780023777592,32869,31902,16780
63780023777602,32892,32142,16776
63780023777612,32918,32113,16780
63780023777622,32940,32076,16767
63780023777632,32968,32272,16784
63780023777642,32996,32260,16789
63780023777652,33024,32286,16773
63780023777662,33016,32273,16796
63780023777672,32992,32122,16782
