OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
7345711240,63784330072941,None,None
7345719572,63784330072952,None,None
7345727903,63784330072963,None,None
7345744566,63784330072975,None,None
7345752898,63784330072985,None,None
7345769561,63784330072997,None,None
7345777893,63784330073008,None,None
7345786224,63784330073019,None,None
7345802887,63784330073030,None,None
7345811219,63784330073041,None,None
7345819550,63784330073052,None,None
7345827882,63784330073064,None,None
7345844545,63784330073075,None,None
7345852876,63784330073086,None,None
7345861208,63784330073097,99_Bahnsteig_PF,None
7345877871,63784330073109,99_Bahnsteig_PF,None
7345886202,63784330073122,None,None
7345894534,63784330073131,None,None
7345911197,63784330073142,None,None
7345919528,63784330073153,None,None
7345927860,63784330073164,None,None
7345944523,63784330073175,None,None
7345952855,63784330073187,None,None
7345961186,63784330073198,None,None
7345977849,63784330073210,None,None
7345986181,63784330073220,None,None
7345994512,63784330073231,None,None
7346002844,63784330073242,None,None
7346002844,63784330073254,None,None
7346002844,63784330073265,None,None
7346002844,63784330073276,None,None
7346002844,63784330073287,None,None
7346002844,63784330073299,None,None
7346002844,63784330073310,None,None
7346002844,63784330073320,None,None
7346002844,63784330073332,None,None
7346111154,63784330073343,None,None
7346119485,63784330073354,None,None
7346127817,63784330073365,None,None
7346144480,63784330073377,None,None
7346152811,63784330073388,None,None
7346169474,63784330073399,None,None
7346177806,63784330073410,None,None
7346186137,63784330073421,None,None
7346194469,63784330073432,None,None
7346211132,63784330073443,None,None
7346219463,63784330073455,None,None
7346236126,63784330073466,99_Bahnsteig_PF,99_Bahnsteig_PF
7346244458,63784330073477,99_Bahnsteig_PF,99_Bahnsteig_PF
7346252789,63784330073488,99_Bahnsteig_PF,99_Bahnsteig_PF
7346269452,63784330073499,99_Bahnsteig_PF,99_Bahnsteig_PF
7346277784,63784330073510,99_Bahnsteig_PF,99_Bahnsteig_PF
7346286116,63784330073522,99_Bahnsteig_PF,99_Bahnsteig_PF
7346302779,63784330073533,99_Bahnsteig_PF,99_Bahnsteig_PF
7346311110,63784330073544,99_Bahnsteig_PF,99_Bahnsteig_PF
7346319442,63784330073555,99_Bahnsteig_PF,99_Bahnsteig_PF
7346336105,63784330073567,99_Bahnsteig_PF,99_Bahnsteig_PF
7346344436,63784330073578,99_Bahnsteig_PF,99_Bahnsteig_PF
7346352768,63784330073589,99_Bahnsteig_PF,99_Bahnsteig_PF
7346369431,63784330073600,99_Bahnsteig_PF,99_Bahnsteig_PF
7346377762,63784330073611,99_Bahnsteig_PF,99_Bahnsteig_PF
7346394425,63784330073624,99_Bahnsteig_PF,99_Bahnsteig_PF
7346402757,63784330073634,99_Bahnsteig_PF,99_Bahnsteig_PF
7346411088,63784330073644,99_Bahnsteig_PF,99_Bahnsteig_PF
7346419420,63784330073655,99_Bahnsteig_PF,99_Bahnsteig_PF
7346436083,63784330073667,99_Bahnsteig_PF,99_Bahnsteig_PF
7346444415,63784330073678,99_Bahnsteig_PF,99_Bahnsteig_PF
7346452746,63784330073690,99_Bahnsteig_PF,99_Bahnsteig_PF
7346469409,63784330073700,99_Bahnsteig_PF,99_Bahnsteig_PF
7346477741,63784330073711,99_Bahnsteig_PF,99_Bahnsteig_PF
7346486072,63784330073723,99_Bahnsteig_PF,99_Bahnsteig_PF
7346502735,63784330073734,99_Bahnsteig_PF,99_Bahnsteig_PF
