UnityTS,Heart,Light
63779525753045,34192,50784
63779525753055,34384,50772
63779525753046,34504,51008
63779525753056,34560,50748
63779525753066,34532,51038
63779525753076,34496,51000
63779525753086,34412,50736
63779525753096,34312,50752
63779525753106,34212,50869
63779525753116,34096,50801
63779525753126,33969,50836
63779525753136,33866,50944
63779525753146,33744,51036
63779525753156,33641,50852
63779525753166,33544,50872
63779525753179,33462,50732
63779525753189,33392,50872
63779525753199,33352,50784
63779525753209,33301,50744
63779525753219,33277,50704
63779525753229,33240,51040
63779525753239,33244,50729
63779525753249,33249,50768
63779525753259,33260,50740
63779525753269,33268,50768
63779525753278,33296,50756
63779525753288,33312,50752
63779525753298,33336,50976
63779525753308,33336,51048
63779525753318,33324,50537
63779525753328,33304,50772
63779525753338,33282,50776
63779525753348,33257,50925
63779525753358,33240,50792
63779525753368,33184,51036
63779525753378,33136,50860
63779525753388,33088,50992
63779525753398,33048,50740
63779525753408,32996,50876
63779525753418,32962,51048
63779525753428,32916,50736
63779525753438,32890,50872
63779525753448,32856,50856
63779525753458,32825,51017
63779525753468,32787,51048
63779525753478,32768,50780
63779525753490,32740,50894
63779525753500,32732,50972
63779525753510,32720,50948
63779525753520,32722,50756
63779525753530,32716,51044
63779525753540,32720,50748
63779525753550,32720,50764
63779525753560,32724,50859
63779525753570,32712,50932
63779525753580,32713,50968
63779525753590,32708,50940
63779525753600,32720,50742
63779525753610,32704,50744
63779525753620,32698,50788
63779525753630,32708,50968
63779525753640,32704,50764
63779525753650,32706,50868
63779525753660,32716,50817
63779525753670,32698,50921
63779525753680,32700,50761
63779525753695,32685,51016
63779525753705,32688,50781
63779525753715,32676,51056
63779525753725,32680,50785
63779525753735,32677,51040
63779525753745,32668,51048
63779525753755,32646,50966
63779525753765,32613,50788
63779525753775,32584,50752
63779525753785,32608,50760
63779525753806,32700,50745
63779525753816,32872,50744
63779525753826,33096,50764
63779525753836,33400,50824
63779525753846,33707,50812
63779525753856,34020,51028
63779525753866,34297,51049
63779525753876,34520,51048
63779525753886,34668,50754
63779525753877,34756,50856
63779525753887,34764,50784
63779525753897,34728,50976
63779525753907,34645,51040
63779525753917,34540,50768
63779525753927,34432,50809
63779525753937,34328,50766
63779525753947,34204,50784
63779525753957,34098,50824
63779525753967,33993,51024
63779525753977,33904,50952
63779525753987,33801,50796
63779525754007,33714,50808
63779525754017,33632,50940
63779525754027,33564,50788
63779525754037,33497,51028
63779525754047,33464,50920
63779525754057,33436,50764
63779525754067,33416,50928
63779525754077,33400,50944
63779525754087,33420,50888
63779525754097,33432,50782
63779525754098,33448,51016
63779525754108,33452,50784
63779525754118,33464,50764
63779525754128,33460,50809
63779525754138,33444,50904
63779525754148,33428,51024
63779525754158,33400,51064
63779525754168,33360,50952
63779525754178,33328,51072
63779525754188,33272,51076
63779525754198,33241,51060
63779525754208,33198,51092
63779525754218,33160,50792
63779525754228,33116,51041
63779525754238,33076,50838
63779525754248,33036,50890
63779525754258,33000,50784
63779525754268,32956,51060
63779525754278,32928,50812
63779525754288,32900,50804
63779525754298,32888,50948
63779525754308,32869,50828
63779525754328,32844,50833
63779525754338,32836,50880
63779525754348,32832,50960
63779525754358,32817,50836
63779525754368,32805,50984
63779525754378,32772,50892
63779525754388,32756,50784
63779525754398,32710,50832
63779525754408,32688,50912
63779525754410,32648,50913
63779525754420,32632,50768
63779525754430,32610,50796
63779525754440,32616,51044
63779525754450,32608,51016
63779525754460,32608,51020
63779525754470,32591,50804
63779525754480,32584,50528
63779525754490,32560,51070
63779525754500,32556,51008
63779525754510,32548,50838
63779525754522,32544,51004
63779525754532,32536,50792
63779525754542,32538,50792
63779525754552,32544,51016
63779525754562,32552,50952
63779525754572,32556,50880
63779525754582,32576,50808
63779525754592,32576,50653
63779525754602,32603,50904
63779525754612,32612,50776
63779525754622,32616,50936
63779525754632,32594,50780
63779525754642,32578,50912
63779525754652,32563,51048
63779525754662,32561,50976
