UnityTS,LabID,ParticipantID,TrialID,Room,Instruction,Duration,Question,Answer
63778221193154,SGL,1,23,Version 9 - kaltes Licht,sglStand,120,Howlongdoyouthinkyouhavebeenwaiting?,165s
63778221193734,SGL,1,23,Version 9 - kaltes Licht,sglStand,120,Whichofthesepicturesrepresentsyouremotionalstatebest?,3
63778221194170,SGL,1,23,Version 9 - kaltes Licht,sglStand,120,Whichofthesepicturesrepresentsyourexcitementbest?,3
63778221195242,SGL,1,23,Version 9 - kaltes Licht,sglStand,120,Howmuchdidyouthinkabout
yourPASTwhilewaiting?,50
63778221196169,SGL,1,23,Version 9 - kaltes Licht,sglStand,120,Howmuchdidyouthinkabout
yourPRESENTwhilewaiting?,50
63778221196817,SGL,1,23,Version 9 - kaltes Licht,sglStand,120,Howmuchdidyouthinkabout
yourFUTUREwhilewaiting?,50
63778221197744,SGL,1,23,Version 9 - kaltes Licht,sglStand,120,Howintensivelydidyouexperience
YOURBODYmostofthetime?,50
63778221198504,SGL,1,23,Version 9 - kaltes Licht,sglStand,120,Howintensivelydidyouexperience
THESURROUNDINGSPACEmostofthetime?,50
63778221199486,SGL,1,23,Version 9 - kaltes Licht,sglStand,120,Howoftendidyouthinkabouttime?,50
63778221200484,SGL,1,23,Version 9 - kaltes Licht,sglStand,120,Howfastdidtimepassforyou?,50
