OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valL,valR
3405710149,63785015028893,0.6734325,0.5249593,0.6025777,0.5228961,-14.55981,2.909468,-1.183062,-0.04265075,0.2990795,-0.01930065,-0.9530792,0,0,0,0,0,0,0,14.55962,-2.903864,1.161102,-0.01532931,-0.9998821,0.0008867565,-0.03259908,0.003818848,-0.0223436,0.03221877,0.007388061,-0.02157672,0.3599091,0.06600952,0.9306335,0.3254242,0.05908203,0.9437103,0.002542786,0.002690338,True,True
3405718600,63785015028893,0.6702536,0.5246798,0.5983611,0.5245016,-14.55981,2.909468,-1.183062,-0.04265075,0.2990795,-0.01930065,-0.9530792,0,0,0,0,0,0,0,14.5596,-2.903865,1.161065,-0.01535459,-0.9998817,0.0008954229,-0.03261839,0.003814224,-0.02236865,0.03219487,0.007390487,-0.02162614,0.3530731,0.06542969,0.9332886,0.3158722,0.06373596,0.9466553,0.00245285,0.002717621,True,True
3405726876,63785015028893,0.6712906,0.5229721,0.6017222,0.522815,-14.55981,2.909468,-1.183062,-0.04265075,0.2990795,-0.01930065,-0.9530792,0,0,0,0,0,0,0,14.55958,-2.903866,1.16098,-0.01533905,-0.9998819,0.0008908901,-0.03264514,0.003765976,-0.02227501,0.03219583,0.007437302,-0.0218895,0.355423,0.06069946,0.932724,0.3235168,0.05889893,0.9443817,0.002514587,0.002661331,True,True
3405735313,63785015028893,0.6675114,0.5238333,0.5939344,0.5230572,-14.55981,2.909468,-1.183062,-0.04265075,0.2990795,-0.01930065,-0.9530792,0,0,0,0,0,0,0,14.55956,-2.903911,1.161086,-0.0153788,-0.9998814,0.000904581,-0.03265687,0.003749405,-0.02228812,0.03216232,0.00736322,-0.02166324,0.347168,0.06326294,0.9356537,0.3059082,0.05993652,0.9501648,0.002475571,0.002615707,True,True
3405743498,63785015028893,0.6644756,0.5239455,0.5947217,0.5249357,-14.55981,2.909468,-1.183062,-0.04265075,0.2990795,-0.01930065,-0.9530792,0,0,0,0,0,0,0,14.55954,-2.9039,1.161033,-0.01538665,-0.9998812,0.0009066702,-0.03267546,0.003784363,-0.02242833,0.03213475,0.007351242,-0.0216301,0.3405151,0.06373596,0.9380646,0.3076019,0.06512451,0.9492798,0.002493881,0.002787689,True,True
3405751880,63785015028938,0.6637757,0.5215499,0.5967098,0.5210121,-14.56416,2.911046,-1.181438,-0.03756587,0.2907804,-0.0163022,-0.9559131,0,0,0,0,0,0,0,14.56066,-2.904433,1.160918,-0.01482585,-0.9998896,0.001009424,-0.03269188,0.003762421,-0.02241946,0.03206758,0.00718277,-0.02105716,0.3391113,0.05717468,0.9389954,0.3123169,0.05412292,0.9484253,0.002444595,0.002652649,True,True
3405760302,63785015028949,0.6638926,0.5223604,0.6002176,0.5195977,-14.56516,2.911365,-1.181015,-0.03671185,0.2886804,-0.01574473,-0.9565919,0,0,0,0,0,0,0,14.56484,-2.905906,1.159255,-0.01292875,-0.9999156,0.001315446,-0.03269336,0.003776657,-0.022561,0.03205115,0.007140656,-0.02095895,0.339325,0.05940247,0.9387817,0.3202972,0.05004883,0.9459839,0.002471375,0.002694672,True,True
3405768599,63785015028955,0.6561387,0.5176654,0.5967728,0.5207827,-14.56616,2.911681,-1.180581,-0.0357074,0.2867446,-0.0151226,-0.957222,0,0,0,0,0,0,0,14.56582,-2.906229,1.158805,-0.01255382,-0.9999202,0.00140831,-0.03270241,0.003785996,-0.02266631,0.03201646,0.007116775,-0.02088551,0.3223114,0.04675293,0.9454651,0.3124695,0.05348206,0.94841,0.002498505,0.002674164,True,True
3405777262,63785015028966,0.655664,0.5209938,0.5985011,0.5198749,-14.56695,2.911906,-1.180188,-0.03518509,0.2849557,-0.01459348,-0.9577836,0,0,0,0,0,0,0,14.56659,-2.906448,1.158396,-0.01231025,-0.9999231,0.001506016,-0.03270648,0.003816238,-0.02278258,0.03199776,0.007099701,-0.02080063,0.3210907,0.05601501,0.9453735,0.3164215,0.05088806,0.9472504,0.002532776,0.002668411,True,True
3405785285,63785015028966,0.6586697,0.518845,0.5937551,0.5202231,-14.56695,2.911906,-1.180188,-0.03518509,0.2849557,-0.01459348,-0.9577836,0,0,0,0,0,0,0,14.56658,-2.90648,1.158476,-0.01231614,-0.999923,0.001508428,-0.03270328,0.003869324,-0.02299693,0.03197496,0.006982758,-0.02042673,0.3279266,0.04992676,0.9433746,0.3056335,0.05204773,0.9507141,0.002467117,0.002652344,True,True
