OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
5558693131,63785286607940,None,None
5558701463,63785286607951,None,None
5558701463,63785286607963,None,None
5558701463,63785286607973,None,None
5558701463,63785286607985,None,None
5558701463,63785286607996,None,None
5558701463,63785286608009,None,None
5558701463,63785286608020,None,None
5558701463,63785286608029,None,None
5558701463,63785286608040,None,None
5558809773,63785286608052,None,None
5558818104,63785286608063,None,None
5558826436,63785286608073,None,None
5558843099,63785286608086,None,None
5558851430,63785286608096,None,None
5558859762,63785286608107,None,None
5558876425,63785286608118,None,None
5558884757,63785286608130,None,None
5558893088,63785286608141,None,None
5558909751,63785286608152,None,None
5558918083,63785286608163,None,None
5558926414,63785286608174,None,None
5558943077,63785286608185,None,None
5558951409,63785286608196,None,None
5558959740,63785286608207,None,None
5558976403,63785286608219,None,None
5558984735,63785286608230,None,None
5558993066,63785286608241,None,None
5559009729,63785286608252,None,None
5559018061,63785286608264,None,None
5559026392,63785286608275,None,None
5559043056,63785286608285,None,None
5559051387,63785286608298,None,None
5559068050,63785286608309,None,None
5559076382,63785286608319,None,None
5559084713,63785286608331,None,None
5559101376,63785286608342,None,None
5559109708,63785286608355,None,None
5559118039,63785286608365,None,None
5559134702,63785286608376,None,None
5559143034,63785286608387,None,None
5559151365,63785286608398,None,None
5559168028,63785286608409,None,None
5559176360,63785286608420,None,None
5559184691,63785286608431,None,None
5559201354,63785286608443,None,None
5559209686,63785286608453,None,None
5559218018,63785286608465,None,None
5559234681,63785286608476,None,None
5559243012,63785286608487,None,None
5559251344,63785286608498,None,None
5559268007,63785286608509,None,None
5559276338,63785286608521,None,None
5559284670,63785286608531,None,None
5559301333,63785286608544,None,None
5559309664,63785286608554,None,None
5559317996,63785286608565,None,None
5559334659,63785286608576,None,None
5559342990,63785286608587,None,None
5559351322,63785286608599,None,None
5559367985,63785286608610,None,None
5559376317,63785286608621,None,None
5559384648,63785286608632,None,None
5559401311,63785286608643,None,None
5559409643,63785286608654,None,None
5559417974,63785286608665,None,None
5559434637,63785286608677,None,None
5559442969,63785286608688,None,None
5559451300,63785286608699,None,None
5559467963,63785286608710,None,None
5559476295,63785286608722,None,None
5559484626,63785286608733,None,None
5559501289,63785286608744,None,None
5559509621,63785286608755,None,None
5559517952,63785286608767,None,None
5559534615,63785286608778,None,None
5559542947,63785286608788,None,None
5559551279,63785286608800,None,None
5559567942,63785286608811,None,None
5559576273,63785286608821,None,None
5559592936,63785286608833,None,None
5559601268,63785286608844,None,None
5559609599,63785286608855,None,None
5559626262,63785286608867,None,None
5559634594,63785286608878,None,None
5559642925,63785286608889,None,None
5559659588,63785286608900,None,None
5559667920,63785286608912,None,None
5559676251,63785286608922,None,None
5559692914,63785286608934,None,None
5559701246,63785286608945,None,None
5559709578,63785286608956,None,None
5559726241,63785286608967,None,None
5559734572,63785286608980,None,None
5559742904,63785286608990,None,None
5559759567,63785286609001,None,None
5559767898,63785286609012,None,None
5559776230,63785286609024,None,None
5559792893,63785286609035,None,None
5559801224,63785286609046,None,None
5559809556,63785286609057,None,None
5559826219,63785286609069,None,None
5559834550,63785286609080,None,None
5559842882,63785286609090,None,None
5559859545,63785286609101,None,None
5559867876,63785286609113,None,None
5559876208,63785286609123,None,None
5559892871,63785286609134,None,None
5559901203,63785286609146,None,None
5559909534,63785286609157,None,None
5559926197,63785286609169,None,None
5559934529,63785286609179,None,None
5559942860,63785286609191,None,None
5559959523,63785286609201,None,None
5559967855,63785286609213,None,None
5559976186,63785286609224,None,None
5559992849,63785286609235,None,None
5560001181,63785286609246,None,None
5560009512,63785286609258,None,None
5560026175,63785286609269,None,None
5560034507,63785286609280,None,None
5560042839,63785286609291,None,None
5560059502,63785286609302,None,None
5560067833,63785286609314,None,None
5560076165,63785286609324,None,None
5560092828,63785286609335,None,None
5560101159,63785286609347,None,None
5560117822,63785286609360,None,None
5560126154,63785286609369,None,None
5560134485,63785286609380,None,None
5560142817,63785286609391,None,None
5560159480,63785286609403,None,None
5560167811,63785286609413,None,None
5560176143,63785286609424,None,None
5560192806,63785286609436,None,None
5560201137,63785286609447,None,None
5560209469,63785286609458,None,None
5560226132,63785286609469,None,None
5560234464,63785286609480,None,None
5560242795,63785286609491,None,None
5560259458,63785286609502,None,None
5560267790,63785286609514,None,None
5560276121,63785286609525,None,None
5560292784,63785286609536,None,None
5560301116,63785286609547,None,None
5560309447,63785286609559,None,None
5560326110,63785286609570,None,None
5560334442,63785286609581,None,None
5560351105,63785286609592,None,None
5560359436,63785286609604,None,None
5560367768,63785286609615,None,None
5560384431,63785286609626,None,None
5560392763,63785286609638,None,None
5560401094,63785286609649,None,None
5560417757,63785286609659,None,None
5560426089,63785286609670,None,None
5560434420,63785286609682,None,None
5560451083,63785286609693,None,None
5560459415,63785286609704,None,None
5560467746,63785286609716,None,None
5560484409,63785286609727,None,None
5560492741,63785286609738,None,None
5560501072,63785286609749,None,None
5560517735,63785286609760,None,None
5560526067,63785286609772,None,None
5560542730,63785286609784,None,None
5560551062,63785286609794,None,None
5560559393,63785286609806,None,None
5560576056,63785286609817,None,None
5560584388,63785286609829,None,None
5560592719,63785286609839,None,None
5560601051,63785286609850,None,None
5560626045,63785286609869,None,None
5560626045,63785286609875,None,None
5560634377,63785286609881,None,None
5560642708,63785286609890,None,None
5560659371,63785286609901,None,99_Bahnsteig_PF
5560667703,63785286609912,99_Bahnsteig_PF,99_Bahnsteig_PF
5560676034,63785286609923,None,99_Bahnsteig_PF
5560692697,63785286609934,99_Bahnsteig_PF,None
5560701029,63785286609946,None,None
5560701029,63785286609957,None,None
5560701029,63785286609968,None,None
5560701029,63785286609979,None,None
5560701029,63785286609990,None,None
5560701029,63785286610002,None,None
5560701029,63785286610013,None,None
5560701029,63785286610024,None,None
5560701029,63785286610035,None,None
5560701029,63785286610048,None,None
5560817670,63785286610058,None,99_Bahnsteig_PF
5560826002,63785286610069,None,99_Bahnsteig_PF
5560834333,63785286610081,None,99_Bahnsteig_PF
5560850996,63785286610091,None,99_Bahnsteig_PF
5560859328,63785286610102,None,99_Bahnsteig_PF
5560867659,63785286610114,99_Bahnsteig_PF,99_Bahnsteig_PF
5560884323,63785286610125,99_Bahnsteig_PF,99_Bahnsteig_PF
5560892654,63785286610136,99_Bahnsteig_PF,99_Bahnsteig_PF
5560900986,63785286610147,99_Bahnsteig_PF,99_Bahnsteig_PF
5560917649,63785286610158,99_Bahnsteig_PF,99_Bahnsteig_PF
5560925980,63785286610170,99_Bahnsteig_PF,99_Bahnsteig_PF
5560934312,63785286610181,3_Rolltreppe_PF,99_Bahnsteig_PF
5560950975,63785286610192,99_Bahnsteig_PF,99_Bahnsteig_PF
5560959306,63785286610203,99_Bahnsteig_PF,99_Bahnsteig_PF
5560967638,63785286610215,4_GroßeTreppe_Stairs,99_Bahnsteig_PF
5560984301,63785286610226,4_GroßeTreppe_Stairs,99_Bahnsteig_PF
5560992632,63785286610237,99_Bahnsteig_PF,99_Bahnsteig_PF
5561000964,63785286610248,99_Bahnsteig_PF,99_Bahnsteig_PF
5561017627,63785286610259,99_Bahnsteig_PF,99_Bahnsteig_PF
5561025958,63785286610270,99_Bahnsteig_PF,99_Bahnsteig_PF
5561034290,63785286610281,99_Bahnsteig_PF,99_Bahnsteig_PF
5561050953,63785286610293,99_Bahnsteig_PF,99_Bahnsteig_PF
5561059285,63785286610304,99_Bahnsteig_PF,99_Bahnsteig_PF
5561075948,63785286610316,99_Bahnsteig_PF,99_Bahnsteig_PF
5561084279,63785286610327,99_Bahnsteig_PF,99_Bahnsteig_PF
5561092611,63785286610339,99_Bahnsteig_PF,99_Bahnsteig_PF
5561109274,63785286610351,99_Bahnsteig_PF,99_Bahnsteig_PF
5561117605,63785286610365,99_Bahnsteig_PF,99_Bahnsteig_PF
5561125937,63785286610373,99_Bahnsteig_PF,99_Bahnsteig_PF
5561142600,63785286610385,3_Rolltreppe_PF,99_Bahnsteig_PF
5561150931,63785286610397,4_GroßeTreppe_Stairs,99_Bahnsteig_PF
5561159263,63785286610406,4_GroßeTreppe_Stairs,99_Bahnsteig_PF
5561175926,63785286610418,99_Bahnsteig_PF,99_Bahnsteig_PF
5561184257,63785286610430,99_Bahnsteig_PF,99_Bahnsteig_PF
