OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
19624787637,63785469818030,None,None
19624795969,63785469818035,None,None
19624795969,63785469818040,None,None
19624804301,63785469818046,None,None
19624804301,63785469818050,None,None
19624820964,63785469818060,None,None
19624829295,63785469818071,None,None
19624837627,63785469818082,None,None
19624854290,63785469818094,None,None
19624862621,63785469818105,None,None
19624870953,63785469818116,None,None
19624887616,63785469818127,None,None
19624895947,63785469818139,None,None
19624904279,63785469818150,None,None
19624920942,63785469818162,None,None
19624929273,63785469818173,None,None
19624945936,63785469818187,None,None
19624954268,63785469818195,None,None
19624962600,63785469818207,None,None
19624970931,63785469818217,None,None
19624987594,63785469818228,None,None
19624995926,63785469818240,None,None
19625004257,63785469818250,None,None
19625020920,63785469818262,None,None
19625029252,63785469818273,None,None
19625037583,63785469818284,None,None
19625054246,63785469818295,None,None
19625062578,63785469818307,None,None
19625070909,63785469818317,None,None
19625087572,63785469818329,None,None
19625095904,63785469818340,None,None
19625104235,63785469818351,None,None
19625120898,63785469818363,None,None
19625129230,63785469818374,None,None
19625137562,63785469818385,None,None
19625154225,63785469818396,None,None
19625162556,63785469818407,None,None
19625170888,63785469818418,None,None
19625187551,63785469818430,None,None
19625195882,63785469818441,None,None
19625212545,63785469818452,None,None
19625220877,63785469818462,None,None
19625229208,63785469818474,None,None
19625245871,63785469818485,None,None
19625254203,63785469818497,None,None
19625262534,63785469818508,None,None
19625279197,63785469818519,None,None
19625287529,63785469818531,None,None
19625295861,63785469818541,None,None
19625312524,63785469818552,None,None
19625320855,63785469818563,None,None
19625329187,63785469818574,None,None
19625345850,63785469818586,None,None
19625354181,63785469818597,None,None
19625362513,63785469818608,None,None
19625379176,63785469818618,None,None
19625387507,63785469818630,None,None
19625395839,63785469818641,None,None
19625412502,63785469818654,None,None
19625420833,63785469818666,None,None
19625437496,63785469818679,None,None
19625445828,63785469818690,None,None
19625454159,63785469818701,None,None
19625470823,63785469818714,None,None
19625479154,63785469818725,None,None
19625495817,63785469818736,None,None
19625504149,63785469818747,None,None
19625512480,63785469818759,None,None
19625529143,63785469818770,None,None
19625537475,63785469818781,None,None
19625545806,63785469818791,None,None
19625562469,63785469818803,None,None
19625570801,63785469818815,None,None
19625579132,63785469818825,None,None
19625595795,63785469818836,None,None
19625612458,63785469818853,None,None
19625612458,63785469818858,None,None
19625620790,63785469818866,None,None
19625637453,63785469818878,None,None
19625645785,63785469818889,None,None
19625654116,63785469818900,None,None
19625670779,63785469818911,None,None
19625679111,63785469818922,None,None
19625687442,63785469818933,None,None
19625704105,63785469818945,None,None
19625712437,63785469818955,None,None
19625720768,63785469818967,None,None
19625737431,63785469818978,None,None
19625745763,63785469818989,None,None
19625754094,63785469819000,None,None
19625770757,63785469819012,None,None
19625779089,63785469819022,None,None
19625787420,63785469819034,None,None
19625804084,63785469819046,None,None
19625812415,63785469819056,None,None
19625820747,63785469819067,None,None
19625837410,63785469819079,None,None
19625845741,63785469819089,None,None
19625854073,63785469819101,None,None
19625870736,63785469819112,None,None
19625879067,63785469819123,None,None
19625887399,63785469819134,None,None
19625904062,63785469819145,None,None
19625912393,63785469819156,None,None
19625920725,63785469819168,None,None
19625937388,63785469819179,None,None
19625945719,63785469819190,None,None
19625954051,63785469819201,None,None
19625970714,63785469819213,None,None
19625979046,63785469819224,None,None
19625995709,63785469819235,None,None
19626004040,63785469819246,None,None
19626012372,63785469819258,None,None
19626029035,63785469819269,None,None
19626037366,63785469819281,None,None
19626045698,63785469819292,None,None
19626062361,63785469819304,None,None
19626070692,63785469819315,None,None
19626079024,63785469819327,None,None
19626095687,63785469819338,None,None
19626104018,63785469819349,None,None
19626120681,63785469819360,None,None
19626129013,63785469819371,None,None
19626137345,63785469819383,None,None
19626154008,63785469819395,None,None
19626162339,63785469819406,None,None
19626170671,63785469819417,None,None
19626187334,63785469819429,None,None
19626195665,63785469819440,None,None
19626203997,63785469819451,None,None
19626220660,63785469819462,None,None
19626228991,63785469819473,None,None
19626237323,63785469819485,None,None
19626253986,63785469819496,None,None
19626262317,63785469819506,None,None
19626270649,63785469819518,None,None
19626287312,63785469819528,None,None
19626303975,63785469819551,None,None
19626312307,63785469819556,None,None
19626320638,63785469819562,None,None
19626328970,63785469819571,None,None
19626337301,63785469819582,None,None
19626345633,63785469819593,None,None
19626362296,63785469819604,None,None
19626370627,63785469819615,None,None
19626387290,63785469819627,None,None
19626395622,63785469819637,None,None
19626403953,63785469819649,None,None
19626420616,63785469819660,None,None
19626428948,63785469819670,None,None
19626437279,63785469819682,None,None
19626453942,63785469819693,None,None
19626462274,63785469819704,None,None
19626470606,63785469819715,None,None
19626487269,63785469819726,None,None
19626495600,63785469819738,None,None
19626503932,63785469819749,None,None
19626520595,63785469819760,None,None
19626528926,63785469819771,None,None
19626537258,63785469819782,None,None
19626553921,63785469819794,None,None
19626562252,63785469819805,None,None
19626570584,63785469819816,None,None
19626587247,63785469819828,None,None
19626595578,63785469819838,None,None
19626603910,63785469819849,None,None
19626620573,63785469819860,None,None
19626628905,63785469819872,None,None
19626637236,63785469819883,None,None
19626653899,63785469819895,None,None
19626662231,63785469819906,None,None
19626670562,63785469819917,None,None
19626687225,63785469819928,None,None
19626695557,63785469819939,None,None
19626703888,63785469819951,None,None
19626720551,63785469819962,None,None
19626728883,63785469819973,None,None
19626745546,63785469819985,None,None
19626753877,63785469819997,None,None
19626762209,63785469820008,None,None
19626778872,63785469820019,None,None
19626787203,63785469820031,None,None
