OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
3936801542,63785698681037,None,None
3936809874,63785698681048,None,None
3936818205,63785698681060,None,None
3936834868,63785698681071,None,None
3936851531,63785698681086,None,None
3936851531,63785698681093,None,None
3936868194,63785698681105,None,None
3936876526,63785698681116,None,None
3936893189,63785698681127,None,None
3936901520,63785698681138,None,None
3936909852,63785698681151,None,None
3936926515,63785698681163,None,None
3936934846,63785698681172,None,None
3936943178,63785698681183,None,None
3936959841,63785698681194,None,None
3936968173,63785698681205,None,None
3936976504,63785698681217,None,None
3936993167,63785698681228,None,None
3937001499,63785698681239,None,None
3937009830,63785698681250,None,None
3937026493,63785698681260,None,None
3937034825,63785698681272,None,None
3937043156,63785698681284,None,None
3937059819,63785698681294,None,None
3937068151,63785698681305,None,None
3937076482,63785698681317,None,None
3937093145,63785698681328,None,None
3937101477,63785698681339,None,None
3937109808,63785698681350,None,None
3937126472,63785698681362,None,None
3937134803,63785698681372,None,None
3937151466,63785698681384,None,None
3937159798,63785698681395,None,None
3937168129,63785698681406,None,None
3937184792,63785698681417,None,None
3937193124,63785698681430,None,None
3937209787,63785698681448,None,None
3937218118,63785698681453,None,None
3937226450,63785698681459,None,None
3937234781,63785698681467,None,None
3937243113,63785698681480,None,None
3937251444,63785698681490,None,None
3937268108,63785698681501,None,None
3937276439,63785698681513,None,None
3937284771,63785698681523,None,None
3937301434,63785698681535,None,None
3937309765,63785698681546,None,99_Bahnsteig_PF
3937318097,63785698681558,None,99_Bahnsteig_PF
3937326428,63785698681568,99_Bahnsteig_PF,99_Bahnsteig_PF
3937343091,63785698681580,99_Bahnsteig_PF,99_Bahnsteig_PF
3937351423,63785698681590,None,99_Bahnsteig_PF
3937368086,63785698681603,None,None
3937376417,63785698681614,None,None
3937384749,63785698681625,None,None
3937393080,63785698681635,None,None
3937393080,63785698681647,None,None
3937393080,63785698681658,None,None
3937393080,63785698681669,None,None
3937393080,63785698681680,None,None
3937393080,63785698681691,None,None
3937393080,63785698681702,None,None
3937393080,63785698681714,None,None
3937393080,63785698681725,None,None
3937501390,63785698681736,None,None
3937509722,63785698681747,None,None
3937526385,63785698681759,None,None
3937534716,63785698681769,None,None
3937543048,63785698681781,None,99_Bahnsteig_PF
3937551379,63785698681792,None,99_Bahnsteig_PF
3937568042,63785698681803,99_Bahnsteig_PF,99_Bahnsteig_PF
3937576374,63785698681814,None,99_Bahnsteig_PF
3937593037,63785698681825,None,None
3937601368,63785698681837,None,None
3937609700,63785698681848,None,None
3937626363,63785698681860,None,None
3937634695,63785698681872,None,None
3937643026,63785698681883,None,None
