UnityTS,Heart,Breath,GSR
63784340984224,24264,44528,44
63784340984236,24308,44194,46
63784340984252,24628,44000,45
63784340984292,25244,43592,43
63784340984295,26148,43188,43
63784340984298,27272,42632,45
63784340984304,28524,42100,43
63784340984308,29832,41444,43
63784340984312,31128,40954,43
63784340984319,32353,40224,46
63784340984329,33440,39220,49
63784340984332,34352,38832,52
63784340984339,35084,38270,58
63784340984354,35665,37504,59
63784340984364,36112,36912,52
63784340984374,36480,36476,69
63784340984381,36748,35929,73
63784340984394,36944,35448,73
63784340984396,37056,34960,74
63784340984224,24264,44528,44
63784340984236,24308,44194,46
63784340984252,24628,44000,45
63784340984292,25244,43592,43
63784340984295,26148,43188,43
63784340984298,27272,42632,45
63784340984304,28524,42100,43
63784340984308,29832,41444,43
63784340984312,31128,40954,43
63784340984319,32353,40224,46
63784340984329,33440,39220,49
63784340984332,34352,38832,52
63784340984339,35084,38270,58
63784340984354,35665,37504,59
63784340984364,36112,36912,52
63784340984374,36480,36476,69
63784340984381,36748,35929,73
63784340984394,36944,35448,73
63784340984396,37056,34960,74
63784340984412,37064,34264,80
63784340984416,36980,34044,77
63784340984430,36812,33392,79
63784340984445,36562,33216,85
63784340984447,36248,32881,82
63784340984464,35898,32360,93
63784340984466,35564,32076,90
63784340984480,35242,31930,91
63784340984491,34976,31770,88
63784340984500,34755,31632,99
63784340984514,34612,31452,104
63784340984516,34516,31213,100
63784340984535,34464,31176,99
63784340984538,34446,31296,99
63784340984553,34464,31114,94
63784340984557,34472,31280,99
63784340984573,34492,31140,94
63784340984579,34512,31404,108
63784340984602,34530,31356,93
63784340984602,34524,31539,99
63784340984605,34480,31643,84
63784340984620,34419,31842,96
63784340984629,34348,31925,92
63784340984643,34268,32300,93
63784340984647,34164,32414,95
63784340984656,34036,32580,93
63784340984669,33876,32757,102
63784340984688,33688,32789,95
63784340984691,33472,33188,100
63784340984704,33256,33524,107
63784340984708,33016,33791,112
63784340984722,32756,34142,98
63784340984728,32500,34270,90
63784340984748,32248,34856,94
63784340984751,32004,35140,86
63784340984762,31772,35484,86
63784340984773,31547,35609,87
63784340984779,31353,35954,89
63784340984793,31148,36304,83
63784340984797,30953,36776,89
63784340984815,30745,37153,81
63784340984819,30548,37392,87
63784340984832,30356,37904,81
63784340984836,30144,37868,84
63784340984853,29937,38577,78
63784340984856,29730,38540,85
63784340984869,29537,38972,79
63784340984883,29356,39368,81
63784340984886,29182,39028,66
63784340984903,29022,39332,82
63784340984905,28880,38712,86
63784340984931,28768,38536,84
63784340984934,28668,37674,82
63784340984938,28568,37328,79
63784340984951,28472,36252,86
63784340984958,28376,35476,83
63784340984970,28236,34596,80
63784340984979,28098,34069,87
63784340984993,28092,33064,99
63784340984999,28074,32744,91
63784340985015,27941,32096,86
63784340985019,27688,31353,95
63784340985035,27326,30700,94
63784340985042,26892,30337,95
63784340985048,26467,29764,103
63784340985062,26056,29324,102
63784340985074,25729,28908,93
63784340985077,25538,28442,100
63784340985093,25513,28008,96
63784340985097,25664,27656,88
63784340985111,26058,27251,99
63784340985119,26720,26896,93
63784340985131,27637,26688,94
63784340985144,28748,26192,96
63784340985150,29980,25892,92
63784340985156,31274,25494,107
63784340985175,32568,25137,93
63784340985177,33837,24784,94
63784340985191,34984,24376,86
63784340985197,35984,24076,87
63784340985214,36792,23792,94
63784340985217,37404,23426,92
63784340985234,37824,22984,83
63784340985238,38036,22808,88
63784340985254,38070,22518,87
63784340985260,37916,22200,92
63784340985269,37648,21896,91
63784340985283,37303,21616,99
63784340985291,36892,21302,101
63784340985298,36464,21196,106
63784340985312,36000,20928,101
63784340985318,35517,20688,105
63784340985344,34989,20512,107
63784340985347,34476,20314,107
63784340985349,33992,19980,102
63784340985358,33601,19886,112
63784340985370,33296,19698,111
63784340985378,33052,19456,105
63784340985392,32844,19242,94
63784340985408,32716,18964,96
63784340985411,32644,19021,84
63784340984224,24264,44528,44
63784340984236,24308,44194,46
63784340984252,24628,44000,45
63784340984292,25244,43592,43
63784340984295,26148,43188,43
63784340984298,27272,42632,45
63784340984304,28524,42100,43
63784340984308,29832,41444,43
63784340984312,31128,40954,43
63784340984319,32353,40224,46
63784340984329,33440,39220,49
63784340984332,34352,38832,52
63784340984339,35084,38270,58
63784340984354,35665,37504,59
63784340984364,36112,36912,52
63784340984374,36480,36476,69
63784340984381,36748,35929,73
63784340984394,36944,35448,73
63784340984396,37056,34960,74
63784340984412,37064,34264,80
63784340984416,36980,34044,77
63784340984430,36812,33392,79
63784340984445,36562,33216,85
63784340984447,36248,32881,82
63784340984464,35898,32360,93
63784340984466,35564,32076,90
63784340984480,35242,31930,91
63784340984491,34976,31770,88
63784340984500,34755,31632,99
63784340984514,34612,31452,104
63784340984516,34516,31213,100
63784340984535,34464,31176,99
63784340984538,34446,31296,99
63784340984553,34464,31114,94
63784340984557,34472,31280,99
63784340984573,34492,31140,94
63784340984579,34512,31404,108
63784340984602,34530,31356,93
63784340984602,34524,31539,99
63784340984605,34480,31643,84
63784340984620,34419,31842,96
63784340984629,34348,31925,92
63784340984643,34268,32300,93
63784340984647,34164,32414,95
63784340984656,34036,32580,93
63784340984669,33876,32757,102
63784340984688,33688,32789,95
63784340984691,33472,33188,100
63784340984704,33256,33524,107
63784340984708,33016,33791,112
63784340984722,32756,34142,98
63784340984728,32500,34270,90
63784340984748,32248,34856,94
63784340984751,32004,35140,86
63784340984762,31772,35484,86
63784340984773,31547,35609,87
63784340984779,31353,35954,89
63784340984793,31148,36304,83
63784340984797,30953,36776,89
63784340984815,30745,37153,81
63784340984819,30548,37392,87
63784340984832,30356,37904,81
63784340984836,30144,37868,84
63784340984853,29937,38577,78
63784340984856,29730,38540,85
63784340984869,29537,38972,79
63784340984883,29356,39368,81
63784340984886,29182,39028,66
63784340984903,29022,39332,82
63784340984905,28880,38712,86
63784340984931,28768,38536,84
63784340984934,28668,37674,82
63784340984938,28568,37328,79
63784340984951,28472,36252,86
63784340984958,28376,35476,83
63784340984970,28236,34596,80
63784340984979,28098,34069,87
63784340984993,28092,33064,99
63784340984999,28074,32744,91
63784340985015,27941,32096,86
63784340985019,27688,31353,95
63784340985035,27326,30700,94
63784340985042,26892,30337,95
63784340985048,26467,29764,103
63784340985062,26056,29324,102
63784340985074,25729,28908,93
63784340985077,25538,28442,100
63784340985093,25513,28008,96
63784340985097,25664,27656,88
63784340985111,26058,27251,99
63784340985119,26720,26896,93
63784340985131,27637,26688,94
63784340985144,28748,26192,96
63784340985150,29980,25892,92
63784340985156,31274,25494,107
63784340985175,32568,25137,93
63784340985177,33837,24784,94
63784340985191,34984,24376,86
63784340985197,35984,24076,87
63784340985214,36792,23792,94
63784340985217,37404,23426,92
63784340985234,37824,22984,83
63784340985238,38036,22808,88
63784340985254,38070,22518,87
63784340985260,37916,22200,92
63784340985269,37648,21896,91
63784340985283,37303,21616,99
63784340985291,36892,21302,101
63784340985298,36464,21196,106
63784340985312,36000,20928,101
63784340985318,35517,20688,105
63784340985344,34989,20512,107
63784340985347,34476,20314,107
63784340985349,33992,19980,102
63784340985358,33601,19886,112
63784340985370,33296,19698,111
63784340985378,33052,19456,105
63784340985392,32844,19242,94
63784340985408,32716,18964,96
63784340985411,32644,19021,84
63784340985419,32584,18874,87
63784340985428,32528,18666,83
63784340985442,32424,18798,82
63784340985447,32256,18723,82
63784340985461,32030,18772,83
63784340985468,31788,18752,84
63784340985486,31536,18818,89
63784340985490,31260,18837,92
63784340985504,30936,18848,104
63784340985513,30498,18881,104
63784340985519,29936,18812,113
63784340985535,29273,18852,112
63784340985539,28565,18841,110
63784340985569,27893,18849,114
63784340985575,27324,18847,113
63784340985580,26860,18771,115
63784340985583,26498,18741,107
63784340985589,26208,18784,107
63784340985599,25980,18756,105
63784340985610,25772,18664,106
63784340985617,25568,18665,107
63784340985630,25362,18684,96
63784340985639,25132,18738,100
63784340985656,24932,18790,96
63784340985657,24768,18920,94
63784340985671,24704,18984,93
63784340985689,24684,19074,92
63784340985689,24752,19148,103
63784340985701,24850,19354,99
63784340985705,24944,19492,98
63784340985719,25077,19784,101
63784340985730,25234,20144,94
63784340985734,25428,20559,100
63784340985748,25656,21005,94
63784340985761,25886,21458,102
63784340985765,26132,21913,103
63784340985779,26396,22344,102
63784340985793,26708,22706,104
63784340985795,27065,22980,97
63784340985804,27444,23238,93
63784340985818,27780,23412,92
63784340985832,28088,23592,83
63784340985835,28417,23754,81
63784340985852,28826,23912,76
63784340985860,29364,24068,78
63784340985864,30064,24256,80
63784340985878,30890,24412,81
63784340985889,31872,24704,86
63784340985904,33060,24996,84
63784340985908,34420,25240,101
63784340985922,35896,25537,92
63784340985926,37412,25849,92
63784340985939,38832,26128,97
63784340985948,40052,26364,94
63784340985967,41002,26590,96
63784340985969,41700,26785,93
63784340985983,42184,26910,89
63784340985987,42462,27264,88
63784340986012,42552,27434,83
63784340986012,42500,27620,75
63784340986016,42300,27800,84
63784340986029,41984,27975,77
63784340986037,41584,28093,80
63784340986049,41104,28384,78
63784340986058,40548,28618,74
63784340986069,39962,28976,70
63784340986077,39328,29192,71
63784340986089,38704,29408,73
63784340986098,38060,29776,77
63784340986110,37372,30184,78
63784340986114,36704,30633,87
63784340986130,36112,31124,79
63784340986144,35614,31657,78
63784340986146,35204,32304,82
63784340986160,34856,32682,76
63784340986187,34600,33552,74
63784340986212,34417,34068,73
63784340986217,34274,34805,64
63784340986219,34136,35420,62
63784340986222,34008,35948,59
63784340986224,33896,36722,55
63784340986227,33832,37212,55
63784340986243,33808,37740,57
63784340986245,33788,38426,59
63784340986260,33764,39100,63
63784340986272,33804,39548,63
63784340986276,33952,39696,67
63784340986292,34220,40296,73
63784340986296,34536,40800,75
63784340986310,34780,41149,75
63784340986328,34915,41332,81
63784340986328,34970,41864,77
63784340986341,35020,42188,77
63784340986348,35124,42428,75
63784340986367,35312,42656,76
63784340986369,35560,42848,76
63784340986378,35820,43106,72
63784340986386,36042,43092,81
63784340986400,36192,43382,74
63784340986406,36260,43633,79
63784340986423,36250,43660,76
63784340986426,36187,43588,77
63784340986440,36117,43720,81
63784340986444,36048,44040,79
63784340986463,35972,43960,81
63784340986467,35869,44008,79
63784340986480,35724,44124,78
63784340986487,35560,44182,78
63784340986500,35368,44469,75
63784340986507,35181,44576,57
63784340986520,34960,44556,74
63784340986529,34764,44832,78
63784340986543,34544,44780,80
63784340986547,34357,45028,76
63784340986560,34225,45040,80
63784340986564,34200,44816,69
63784340986578,34428,45044,83
63784340986586,34928,44912,82
63784340986605,35752,44928,84
63784340986608,36885,45033,85
63784340986625,38272,44836,92
63784340986635,39784,44872,79
63784340986648,41360,44864,82
63784340986648,42900,44724,83
63784340986656,44340,44700,76
63784340986670,45646,44628,79
63784340986676,46772,44506,77
63784340986693,47640,44664,74
63784340986708,48204,44689,79
63784340986708,48426,44708,82
63784340986723,48340,44558,85
63784340986725,47934,44644,84
63784340986739,47234,44548,91
63784340986748,46320,44428,87
63784340986756,45308,44564,87
63784340986773,44288,44536,82
63784340986775,43312,44584,81
63784340986789,42352,44540,84
63784340986798,41420,44376,85
63784340986816,40458,44520,84
63784340986820,39458,44512,96
63784340986826,38440,44552,85
63784340986851,37456,44472,81
63784340986854,36532,44576,86
63784340986856,35732,44376,89
63784340986870,35168,44496,90
63784340986877,34884,44581,70
63784340986888,34816,44392,90
63784340986897,34849,44156,93
63784340986910,34912,44400,75
63784340986917,35000,44436,87
63784340986933,35120,44268,72
63784340986937,35228,44528,77
63784340986952,35358,44596,81
63784340986969,35496,44528,88
63784340986969,35596,44564,88
63784340986978,35642,44378,90
63784340986992,35684,44298,84
63784340986998,35721,44264,85
63784340987014,35768,44268,86
63784340987019,35790,43960,84
63784340987028,35740,43844,88
63784340987042,35644,43592,79
63784340987048,35512,43632,75
63784340987057,35340,43400,68
63784340987071,35172,43470,75
63784340987075,35024,43536,80
63784340987095,34912,43384,71
63784340987097,34864,43368,49
63784340987111,34940,43113,51
63784340987117,35100,42976,55
63784340987134,35320,42992,49
63784340987136,35568,42732,64
63784340987150,35808,42592,72
63784340987154,35975,42448,73
63784340987170,36078,42353,76
63784340987176,36120,42329,89
63784340987190,36111,42224,80
63784340984224,24264,44528,44
63784340984236,24308,44194,46
63784340984252,24628,44000,45
63784340984292,25244,43592,43
63784340984295,26148,43188,43
63784340984298,27272,42632,45
63784340984304,28524,42100,43
63784340984308,29832,41444,43
63784340984312,31128,40954,43
63784340984319,32353,40224,46
63784340984329,33440,39220,49
63784340984332,34352,38832,52
63784340984339,35084,38270,58
63784340984354,35665,37504,59
63784340984364,36112,36912,52
63784340984374,36480,36476,69
63784340984381,36748,35929,73
63784340984394,36944,35448,73
63784340984396,37056,34960,74
63784340984412,37064,34264,80
63784340984416,36980,34044,77
63784340984430,36812,33392,79
63784340984445,36562,33216,85
63784340984447,36248,32881,82
63784340984464,35898,32360,93
63784340984466,35564,32076,90
63784340984480,35242,31930,91
63784340984491,34976,31770,88
63784340984500,34755,31632,99
63784340984514,34612,31452,104
63784340984516,34516,31213,100
63784340984535,34464,31176,99
63784340984538,34446,31296,99
63784340984553,34464,31114,94
63784340984557,34472,31280,99
63784340984573,34492,31140,94
63784340984579,34512,31404,108
63784340984602,34530,31356,93
63784340984602,34524,31539,99
63784340984605,34480,31643,84
63784340984620,34419,31842,96
63784340984629,34348,31925,92
63784340984643,34268,32300,93
63784340984647,34164,32414,95
63784340984656,34036,32580,93
63784340984669,33876,32757,102
63784340984688,33688,32789,95
63784340984691,33472,33188,100
63784340984704,33256,33524,107
63784340984708,33016,33791,112
63784340984722,32756,34142,98
63784340984728,32500,34270,90
63784340984748,32248,34856,94
63784340984751,32004,35140,86
63784340984762,31772,35484,86
63784340984773,31547,35609,87
63784340984779,31353,35954,89
63784340984793,31148,36304,83
63784340984797,30953,36776,89
63784340984815,30745,37153,81
63784340984819,30548,37392,87
63784340984832,30356,37904,81
63784340984836,30144,37868,84
63784340984853,29937,38577,78
63784340984856,29730,38540,85
63784340984869,29537,38972,79
63784340984883,29356,39368,81
63784340984886,29182,39028,66
63784340984903,29022,39332,82
63784340984905,28880,38712,86
63784340984931,28768,38536,84
63784340984934,28668,37674,82
63784340984938,28568,37328,79
63784340984951,28472,36252,86
63784340984958,28376,35476,83
63784340984970,28236,34596,80
63784340984979,28098,34069,87
63784340984993,28092,33064,99
63784340984999,28074,32744,91
63784340985015,27941,32096,86
63784340985019,27688,31353,95
63784340985035,27326,30700,94
63784340985042,26892,30337,95
63784340985048,26467,29764,103
63784340985062,26056,29324,102
63784340985074,25729,28908,93
63784340985077,25538,28442,100
63784340985093,25513,28008,96
63784340985097,25664,27656,88
63784340985111,26058,27251,99
63784340985119,26720,26896,93
63784340985131,27637,26688,94
63784340985144,28748,26192,96
63784340985150,29980,25892,92
63784340985156,31274,25494,107
63784340985175,32568,25137,93
63784340985177,33837,24784,94
63784340985191,34984,24376,86
63784340985197,35984,24076,87
63784340985214,36792,23792,94
63784340985217,37404,23426,92
63784340985234,37824,22984,83
63784340985238,38036,22808,88
63784340985254,38070,22518,87
63784340985260,37916,22200,92
63784340985269,37648,21896,91
63784340985283,37303,21616,99
63784340985291,36892,21302,101
63784340985298,36464,21196,106
63784340985312,36000,20928,101
63784340985318,35517,20688,105
63784340985344,34989,20512,107
63784340985347,34476,20314,107
63784340985349,33992,19980,102
63784340985358,33601,19886,112
63784340985370,33296,19698,111
63784340985378,33052,19456,105
63784340985392,32844,19242,94
63784340985408,32716,18964,96
63784340985411,32644,19021,84
63784340985419,32584,18874,87
63784340985428,32528,18666,83
63784340985442,32424,18798,82
63784340985447,32256,18723,82
63784340985461,32030,18772,83
63784340985468,31788,18752,84
63784340985486,31536,18818,89
63784340985490,31260,18837,92
63784340985504,30936,18848,104
63784340985513,30498,18881,104
63784340985519,29936,18812,113
63784340985535,29273,18852,112
63784340985539,28565,18841,110
63784340985569,27893,18849,114
63784340985575,27324,18847,113
63784340985580,26860,18771,115
63784340985583,26498,18741,107
63784340985589,26208,18784,107
63784340985599,25980,18756,105
63784340985610,25772,18664,106
63784340985617,25568,18665,107
63784340985630,25362,18684,96
63784340985639,25132,18738,100
63784340985656,24932,18790,96
63784340985657,24768,18920,94
63784340985671,24704,18984,93
63784340985689,24684,19074,92
63784340985689,24752,19148,103
63784340985701,24850,19354,99
63784340985705,24944,19492,98
63784340985719,25077,19784,101
63784340985730,25234,20144,94
63784340985734,25428,20559,100
63784340985748,25656,21005,94
63784340985761,25886,21458,102
63784340985765,26132,21913,103
63784340985779,26396,22344,102
63784340985793,26708,22706,104
63784340985795,27065,22980,97
63784340985804,27444,23238,93
63784340985818,27780,23412,92
63784340985832,28088,23592,83
63784340985835,28417,23754,81
63784340985852,28826,23912,76
63784340985860,29364,24068,78
63784340985864,30064,24256,80
63784340985878,30890,24412,81
63784340985889,31872,24704,86
63784340985904,33060,24996,84
63784340985908,34420,25240,101
63784340985922,35896,25537,92
63784340985926,37412,25849,92
63784340985939,38832,26128,97
63784340985948,40052,26364,94
63784340985967,41002,26590,96
63784340985969,41700,26785,93
63784340985983,42184,26910,89
63784340985987,42462,27264,88
63784340986012,42552,27434,83
63784340986012,42500,27620,75
63784340986016,42300,27800,84
63784340986029,41984,27975,77
63784340986037,41584,28093,80
63784340986049,41104,28384,78
63784340986058,40548,28618,74
63784340986069,39962,28976,70
63784340986077,39328,29192,71
63784340986089,38704,29408,73
63784340986098,38060,29776,77
63784340986110,37372,30184,78
63784340986114,36704,30633,87
63784340986130,36112,31124,79
63784340986144,35614,31657,78
63784340986146,35204,32304,82
63784340986160,34856,32682,76
63784340986187,34600,33552,74
63784340986212,34417,34068,73
63784340986217,34274,34805,64
63784340986219,34136,35420,62
63784340986222,34008,35948,59
63784340986224,33896,36722,55
63784340986227,33832,37212,55
63784340986243,33808,37740,57
63784340986245,33788,38426,59
63784340986260,33764,39100,63
63784340986272,33804,39548,63
63784340986276,33952,39696,67
63784340986292,34220,40296,73
63784340986296,34536,40800,75
63784340986310,34780,41149,75
63784340986328,34915,41332,81
63784340986328,34970,41864,77
63784340986341,35020,42188,77
63784340986348,35124,42428,75
63784340986367,35312,42656,76
63784340986369,35560,42848,76
63784340986378,35820,43106,72
63784340986386,36042,43092,81
63784340986400,36192,43382,74
63784340986406,36260,43633,79
63784340986423,36250,43660,76
63784340986426,36187,43588,77
63784340986440,36117,43720,81
63784340986444,36048,44040,79
63784340986463,35972,43960,81
63784340986467,35869,44008,79
63784340986480,35724,44124,78
63784340986487,35560,44182,78
63784340986500,35368,44469,75
63784340986507,35181,44576,57
63784340986520,34960,44556,74
63784340986529,34764,44832,78
63784340986543,34544,44780,80
63784340986547,34357,45028,76
63784340986560,34225,45040,80
63784340986564,34200,44816,69
63784340986578,34428,45044,83
63784340986586,34928,44912,82
63784340986605,35752,44928,84
63784340986608,36885,45033,85
63784340986625,38272,44836,92
63784340986635,39784,44872,79
63784340986648,41360,44864,82
63784340986648,42900,44724,83
63784340986656,44340,44700,76
63784340986670,45646,44628,79
63784340986676,46772,44506,77
63784340986693,47640,44664,74
63784340986708,48204,44689,79
63784340986708,48426,44708,82
63784340986723,48340,44558,85
63784340986725,47934,44644,84
63784340986739,47234,44548,91
63784340986748,46320,44428,87
63784340986756,45308,44564,87
63784340986773,44288,44536,82
63784340986775,43312,44584,81
63784340986789,42352,44540,84
63784340986798,41420,44376,85
63784340986816,40458,44520,84
63784340986820,39458,44512,96
63784340986826,38440,44552,85
63784340986851,37456,44472,81
63784340986854,36532,44576,86
63784340986856,35732,44376,89
63784340986870,35168,44496,90
63784340986877,34884,44581,70
63784340986888,34816,44392,90
63784340986897,34849,44156,93
63784340986910,34912,44400,75
63784340986917,35000,44436,87
63784340986933,35120,44268,72
63784340986937,35228,44528,77
63784340986952,35358,44596,81
63784340986969,35496,44528,88
63784340986969,35596,44564,88
63784340986978,35642,44378,90
63784340986992,35684,44298,84
63784340986998,35721,44264,85
63784340987014,35768,44268,86
63784340987019,35790,43960,84
63784340987028,35740,43844,88
63784340987042,35644,43592,79
63784340987048,35512,43632,75
63784340987057,35340,43400,68
63784340987071,35172,43470,75
63784340987075,35024,43536,80
63784340987095,34912,43384,71
63784340987097,34864,43368,49
63784340987111,34940,43113,51
63784340987117,35100,42976,55
63784340987134,35320,42992,49
63784340987136,35568,42732,64
63784340987150,35808,42592,72
63784340987154,35975,42448,73
63784340987170,36078,42353,76
63784340987176,36120,42329,89
63784340987190,36111,42224,80
63784340987196,36084,42062,81
63784340987207,36072,41890,85
63784340987221,36048,41516,90
63784340987230,36004,41332,90
63784340987236,35904,40896,87
63784340987253,35720,40472,75
63784340987256,35490,40220,99
63784340987271,35296,39424,90
63784340987275,35204,38876,98
63784340987301,35325,38576,95
63784340987304,35717,38200,100
63784340987306,36436,37468,92
63784340987320,37444,37048,87
63784340987332,38680,36668,83
63784340987349,40038,36108,86
63784340987349,41412,35896,85
63784340987358,42768,35517,89
63784340987374,44032,35140,84
63784340987376,45200,34898,72
63784340987390,46200,34344,89
63784340987394,46993,33937,86
63784340987410,47592,33660,90
63784340987416,47962,33252,84
63784340987430,48122,32760,89
63784340987439,48115,32546,88
63784340987450,47936,32081,85
63784340987464,47608,31844,95
63784340987467,47165,31608,84
63784340987494,46624,31058,83
63784340987497,46016,30820,86
63784340987499,45372,30592,102
63784340987513,44701,30286,96
63784340987517,44032,30152,93
63784340987528,43400,29896,112
63784340987537,42793,29594,97
63784340987553,42240,29421,96
63784340987556,41712,29177,98
63784340987572,41232,29049,104
63784340987581,40784,28932,97
63784340987587,40372,28744,114
63784340987601,39976,28540,95
63784340987604,39590,28369,93
63784340987618,39226,28236,98
63784340987632,38888,28176,92
63784340987636,38572,28068,90
63784340987652,38272,27954,89
63784340987654,37940,27776,87
63784340987667,37588,27648,79
63784340987682,37184,27610,82
63784340987685,36760,27488,75
63784340987699,36292,27344,67
63784340987707,35796,27272,61
63784340987716,35244,27174,59
63784340987728,34640,27050,67
63784340987736,34024,26968,85
63784340987750,33360,26900,87
63784340987756,32656,26812,89
63784340987773,31952,26686,89
63784340987776,31272,26544,89
63784340987791,30620,26444,89
63784340987795,30044,26284,92
