OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
13753443581,63786073274675,None,None
13753451913,63786073274687,None,None
13753468576,63786073274698,None,None
13753476907,63786073274711,None,None
13753493570,63786073274722,None,None
13753501902,63786073274732,None,None
13753510233,63786073274743,None,None
13753518565,63786073274754,None,None
13753535228,63786073274765,None,None
13753543559,63786073274776,None,None
13753560222,63786073274788,None,None
13753568554,63786073274799,None,None
13753576886,63786073274810,None,None
13753593549,63786073274821,None,None
13753601880,63786073274835,None,None
13753610212,63786073274843,None,None
13753626875,63786073274854,None,None
13753635206,63786073274865,None,None
13753643538,63786073274876,None,None
13753660201,63786073274887,None,None
13753668532,63786073274898,Wayfinding_S,Wayfinding_S
13753676864,63786073274910,None,Wayfinding_S
13753693527,63786073274921,None,Wayfinding_S
13753701858,63786073274934,Wayfinding_S,None
13753710190,63786073274944,None,None
13753726853,63786073274956,Wayfinding_S,Wayfinding_S
13753735184,63786073274966,Wayfinding_S,Wayfinding_S
13753743516,63786073274978,Wayfinding_S,Wayfinding_S
13753760179,63786073274989,Wayfinding_S,None
13753768511,63786073275000,Wayfinding_S,None
13753776842,63786073275011,Wayfinding_S,None
13753793505,63786073275023,Wayfinding_S,Wayfinding_S
13753801837,63786073275033,Wayfinding_S,Wayfinding_S
13753810168,63786073275044,Wayfinding_S,None
13753826831,63786073275056,Wayfinding_S,Wayfinding_S
13753835163,63786073275067,Wayfinding_S,None
13753843494,63786073275079,Wayfinding_S,Wayfinding_S
13753860157,63786073275089,Wayfinding_S,None
13753868489,63786073275100,Wayfinding_S,Wayfinding_S
13753876820,63786073275112,Wayfinding_S,Wayfinding_S
13753893483,63786073275123,Wayfinding_S,None
13753901815,63786073275134,Wayfinding_S,None
13753910147,63786073275145,Wayfinding_S,Wayfinding_S
13753926810,63786073275156,Wayfinding_S,Wayfinding_S
13753935141,63786073275168,Wayfinding_S,Wayfinding_S
13753943473,63786073275178,Wayfinding_S,None
13753960136,63786073275189,Wayfinding_S,Wayfinding_S
13753968467,63786073275200,Wayfinding_S,Wayfinding_S
13753976799,63786073275212,Wayfinding_S,Wayfinding_S
13753993462,63786073275223,Mittelteil,Mittelteil
13754001793,63786073275234,Wayfinding_S,Wayfinding_S
13754010125,63786073275245,Wayfinding_S,Wayfinding_S
13754026788,63786073275257,Notruf_nach-links,Notruf_nach-links
13754035119,63786073275268,None,Notruf_nach-links
13754035119,63786073275279,None,Notruf_nach-links
13754035119,63786073275290,None,Notruf_nach-links
13754035119,63786073275302,None,Notruf_nach-links
13754035119,63786073275313,None,Notruf_nach-links
13754035119,63786073275324,None,Notruf_nach-links
13754035119,63786073275335,None,Notruf_nach-links
13754035119,63786073275346,None,Notruf_nach-links
13754035119,63786073275357,None,Notruf_nach-links
13754035119,63786073275368,None,Notruf_nach-links
13754143429,63786073275379,None,None
13754160092,63786073275390,None,None
13754168424,63786073275402,None,None
13754176755,63786073275412,None,None
13754193418,63786073275426,None,None
13754201750,63786073275435,None,None
13754218413,63786073275447,None,None
13754226744,63786073275457,None,None
13754235076,63786073275469,None,None
13754251739,63786073275481,None,None
13754260071,63786073275491,None,None
13754268402,63786073275502,None,None
13754285065,63786073275513,None,None
13754293397,63786073275524,None,None
13754301728,63786073275536,None,None
13754318391,63786073275547,None,None
13754326723,63786073275558,None,None
13754335054,63786073275570,None,None
13754351717,63786073275582,None,None
13754360049,63786073275592,None,None
13754368380,63786073275603,None,Notruf_nach-links
13754385043,63786073275614,None,Notruf_nach-links
13754393375,63786073275625,None,Notruf_nach-links
13754401706,63786073275637,None,Notruf_nach-links
13754418370,63786073275648,None,Notruf_nach-links
13754426701,63786073275659,None,None
13754435033,63786073275670,None,None
13754451696,63786073275681,None,Notruf_nach-links
13754460027,63786073275693,None,Notruf_nach-links
13754468359,63786073275704,Wayfinding_S,Wayfinding_S
13754485022,63786073275715,None,Mittelteil
13754493353,63786073275725,None,Wayfinding_S
13754501685,63786073275736,Wayfinding_S,Wayfinding_S
13754518348,63786073275747,Wayfinding_S,Wayfinding_S
13754526679,63786073275758,None,Wayfinding_S
13754535011,63786073275770,Wayfinding_S,Wayfinding_S
13754551674,63786073275781,Wayfinding_S,Wayfinding_S
13754560005,63786073275792,Wayfinding_S,Wayfinding_S
13754568337,63786073275803,Wayfinding_S,Wayfinding_S
13754585000,63786073275814,None,Wayfinding_S
13754593332,63786073275826,None,Wayfinding_S
13754601663,63786073275837,None,Wayfinding_S
13754618326,63786073275848,None,Wayfinding_S
13754626658,63786073275859,None,Wayfinding_S
13754634989,63786073275871,None,Wayfinding_S
13754651652,63786073275882,None,Wayfinding_S
13754659984,63786073275893,None,Wayfinding_S
