OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
28223641447,63786680235403,None,None
28223649778,63786680235408,None,None
28223649778,63786680235414,None,None
28223658110,63786680235419,None,None
28223666441,63786680235424,None,None
28223674773,63786680235435,None,None
28223683104,63786680235447,None,None
28223699767,63786680235458,None,None
28223708099,63786680235470,None,None
28223716430,63786680235481,None,None
28223733093,63786680235492,None,None
28223741425,63786680235503,None,None
28223749757,63786680235514,None,None
28223766420,63786680235525,None,None
28223774751,63786680235536,None,None
28223791414,63786680235549,None,None
28223799746,63786680235558,None,None
28223808077,63786680235569,None,None
28223816409,63786680235581,None,None
28223833072,63786680235592,None,None
28223841403,63786680235603,None,None
28223849735,63786680235614,None,None
28223866398,63786680235625,None,None
28223874729,63786680235637,None,None
28223883061,63786680235648,None,None
28223899724,63786680235659,None,None
28223908055,63786680235670,None,None
28223916387,63786680235681,None,None
28223933050,63786680235692,None,None
28223941382,63786680235704,None,None
28223958045,63786680235715,None,None
28223966376,63786680235726,None,None
28223974708,63786680235737,None,None
28223991371,63786680235748,None,None
28223999702,63786680235759,None,None
28224008034,63786680235771,None,None
28224024697,63786680235783,None,None
28224033028,63786680235794,None,None
28224041360,63786680235805,None,None
28224058023,63786680235815,None,None
28224066354,63786680235826,None,None
28224074686,63786680235838,None,None
28224091349,63786680235850,None,None
28224099681,63786680235860,None,None
28224108012,63786680235872,None,None
28224124675,63786680235882,None,None
28224133007,63786680235893,None,None
28224141338,63786680235904,None,None
28224158001,63786680235916,None,None
28224166333,63786680235927,None,None
28224174664,63786680235939,None,None
28224191327,63786680235950,None,None
28224199659,63786680235961,None,None
28224207990,63786680235972,None,None
28224224653,63786680235984,None,None
28224232985,63786680235995,None,None
28224241316,63786680236006,None,None
28224257980,63786680236017,None,None
28224266311,63786680236029,None,None
28224274643,63786680236040,None,None
28224291306,63786680236051,None,None
28224299637,63786680236064,None,None
28224316300,63786680236076,None,None
28224324632,63786680236088,None,None
28224341295,63786680236099,None,None
28224349626,63786680236111,None,None
28224357958,63786680236122,None,None
28224374621,63786680236134,None,None
28224382952,63786680236145,None,None
28224391284,63786680236156,None,None
28224407947,63786680236167,None,None
28224416279,63786680236178,None,None
28224424610,63786680236189,None,None
28224441273,63786680236200,None,None
28224449605,63786680236212,None,None
28224457936,63786680236222,None,None
28224474599,63786680236234,None,None
28224482931,63786680236245,None,None
28224499594,63786680236257,None,None
28224507925,63786680236268,None,None
28224516257,63786680236278,None,None
28224532920,63786680236290,None,None
28224541251,63786680236301,None,None
28224549583,63786680236313,None,None
28224566246,63786680236324,None,None
28224574577,63786680236335,None,None
28224582909,63786680236346,None,None
28224599572,63786680236358,None,None
28224607904,63786680236368,None,None
28224616235,63786680236380,None,None
28224632898,63786680236391,None,None
28224641230,63786680236403,None,None
28224649561,63786680236412,None,None
28224666224,63786680236423,None,None
28224674556,63786680236435,None,None
28224682887,63786680236447,None,None
28224699550,63786680236457,None,None
28224707882,63786680236469,None,None
28224716213,63786680236480,None,None
28224732876,63786680236491,None,None
28224741208,63786680236502,None,None
28224749539,63786680236514,None,None
28224766203,63786680236524,None,None
28224774534,63786680236535,None,None
28224782866,63786680236548,None,None
28224799529,63786680236557,None,None
28224807860,63786680236569,None,None
28224816192,63786680236580,None,None
28224832855,63786680236592,None,None
28224841186,63786680236602,None,None
28224849518,63786680236613,None,None
28224866181,63786680236624,None,None
28224874512,63786680236636,None,None
28224891175,63786680236648,None,None
28224899507,63786680236658,None,None
28224907838,63786680236669,None,None
28224916170,63786680236680,None,None
28224932833,63786680236691,None,None
28224941165,63786680236703,None,None
28224949496,63786680236714,None,None
28224966159,63786680236725,None,None
28224974491,63786680236736,None,None
28224982822,63786680236748,None,None
28224999485,63786680236759,None,None
28225007817,63786680236770,None,None
28225024480,63786680236782,None,None
28225032811,63786680236793,None,None
28225041143,63786680236804,None,None
28225057806,63786680236815,None,None
28225066137,63786680236825,None,None
28225074469,63786680236837,None,None
28225091132,63786680236849,None,None
28225099464,63786680236859,None,None
28225107795,63786680236870,None,None
28225124458,63786680236882,None,None
28225132790,63786680236893,None,None
28225141121,63786680236904,None,None
28225157784,63786680236915,None,None
28225166116,63786680236927,None,None
28225174447,63786680236937,None,None
28225191110,63786680236950,None,None
28225199442,63786680236962,None,None
28225207773,63786680236972,None,None
28225224436,63786680236982,None,None
28225232768,63786680236993,None,None
28225249431,63786680237006,None,None
28225257763,63786680237016,None,None
28225266094,63786680237027,None,None
28225274426,63786680237038,None,None
28225291089,63786680237050,None,None
28225299420,63786680237062,None,None
28225307752,63786680237072,None,None
28225324415,63786680237083,None,None
28225332746,63786680237094,None,None
28225341078,63786680237106,None,None
28225357741,63786680237117,None,None
28225366072,63786680237127,None,None
28225374404,63786680237139,None,None
28225391067,63786680237151,None,None
28225399398,63786680237162,None,None
28225407730,63786680237172,None,None
28225424393,63786680237184,None,None
28225432725,63786680237195,None,None
28225441056,63786680237207,None,None
28225457719,63786680237218,None,None
28225466051,63786680237228,None,None
28225474382,63786680237240,None,None
28225491045,63786680237250,None,None
28225499377,63786680237262,None,None
28225507708,63786680237273,None,None
28225524371,63786680237284,None,None
28225532703,63786680237294,None,None
28225549366,63786680237306,None,None
28225557697,63786680237318,None,None
28225566029,63786680237328,None,None
28225574360,63786680237340,None,None
28225591024,63786680237351,None,None
28225599355,63786680237362,None,None
28225616018,63786680237373,None,None
28225624350,63786680237385,None,None
28225632681,63786680237396,None,None
28225649344,63786680237407,None,None
