OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valL,valR
3092190813,63786145602373,0.5470475,0.4924559,0.4812973,0.4952365,-14.89167,2.554796,-0.7346572,0.01379437,0.9974594,-0.007109469,-0.06952684,0,0,0,0,0,0,0,14.89012,-2.551752,0.7091434,-0.003537108,-0.9999881,-0.003375578,-0.02887871,0.002598129,-0.02767857,0.02578011,0.003489609,-0.02334911,0.05166626,-0.02474976,0.9983521,0.02377319,-0.01872253,0.999527,0.002716721,0.002946152,True,True
3092199115,63786145602384,0.5485514,0.4925683,0.4809569,0.4949408,-14.89145,2.554897,-0.7346619,0.01434388,0.9975359,-0.006404398,-0.06837745,0,0,0,0,0,0,0,14.8899,-2.551852,0.7091561,-0.003089505,-0.9999885,-0.003678894,-0.02887254,0.002597671,-0.02766254,0.02579208,0.003493225,-0.02334911,0.05563354,-0.02441406,0.9981384,0.02287292,-0.01959229,0.9995422,0.002719681,0.002940842,True,True
3092207566,63786145602396,0.5490084,0.4925418,0.4806225,0.494785,-14.89133,2.55505,-0.734628,0.01491679,0.9976102,-0.005568756,-0.06723414,0,0,0,0,0,0,0,14.8898,-2.552007,0.7091363,-0.002568763,-0.9999887,-0.003992288,-0.02886687,0.002590424,-0.02763425,0.02580434,0.003496414,-0.02334911,0.05683899,-0.02449036,0.9980774,0.02198792,-0.02005005,0.9995422,0.002730286,0.002939743,True,True
3092215855,63786145602407,0.5494312,0.4924269,0.4830122,0.4935685,-14.89114,2.555188,-0.7344998,0.01541343,0.9976804,-0.004840447,-0.06612727,0,0,0,0,0,0,0,14.88962,-2.55214,0.7090223,-0.002097144,-0.9999887,-0.004266148,-0.02886119,0.002583176,-0.02760596,0.02581857,0.003511948,-0.02334911,0.05795288,-0.02482605,0.9980011,0.02830505,-0.02362061,0.9993134,0.002725204,0.002940231,True,True
3092224044,63786145602407,0.5502318,0.4914022,0.4831862,0.4925603,-14.89114,2.555188,-0.7344998,0.01541343,0.9976804,-0.004840447,-0.06612727,0,0,0,0,0,0,0,14.88965,-2.552168,0.7091017,-0.002090276,-0.9999887,-0.00426679,-0.02882344,0.00251535,-0.02744704,0.02583411,0.003525055,-0.02334911,0.06005859,-0.02783203,0.9978027,0.02876282,-0.02658081,0.9992218,0.002812637,0.002939697,True,True
3092232448,63786145602418,0.5515378,0.4932866,0.4837634,0.4926276,-14.89093,2.555286,-0.7345006,0.01592371,0.99774,-0.004222117,-0.06514235,0,0,0,0,0,0,0,14.88945,-2.552271,0.7091073,-0.001690404,-0.9999882,-0.004553904,-0.0288152,0.002504929,-0.02743742,0.02585106,0.003525055,-0.02334911,0.06350708,-0.02229309,0.9977264,0.0302887,-0.02638245,0.9991913,0.002784912,0.002941589,True,True
3092240801,63786145602431,0.5547739,0.4929599,0.4842657,0.4927258,-14.8908,2.555369,-0.7343948,0.01635448,0.9978012,-0.003740858,-0.06411934,0,0,0,0,0,0,0,14.88933,-2.552361,0.7090075,-0.00136475,-0.9999875,-0.004800119,-0.02880592,0.002492249,-0.02741638,0.02586606,0.003525055,-0.02335816,0.07202148,-0.02323914,0.9971313,0.03161621,-0.02609253,0.9991455,0.00278801,0.002942306,True,True
3092249050,63786145602440,0.5562227,0.4916729,0.4859463,0.4928129,-14.89061,2.555472,-0.7341626,0.01679121,0.9978566,-0.003185114,-0.06316789,0,0,0,0,0,0,0,14.88915,-2.552469,0.7087863,-0.0009969815,-0.9999868,-0.005047961,-0.02879663,0.002480621,-0.0273918,0.02588062,0.003525055,-0.02336069,0.07582092,-0.02700806,0.9967499,0.03605652,-0.02583313,0.9990082,0.002753708,0.002943222,True,True
3092257428,63786145602440,0.5567456,0.4917031,0.4863798,0.4924955,-14.89061,2.555472,-0.7341626,0.01679121,0.9978566,-0.003185114,-0.06316789,0,0,0,0,0,0,0,14.88916,-2.552469,0.7087961,-0.0009902556,-0.9999868,-0.00504839,-0.02878734,0.002477905,-0.02737195,0.02588675,0.003527283,-0.02336107,0.07719421,-0.0269165,0.9966431,0.03720093,-0.02676392,0.9989471,0.002809723,0.002945419,True,True
3092265789,63786145602452,0.5548519,0.4917274,0.4871432,0.4919749,-14.89053,2.555535,-0.7339863,0.0171744,0.9979066,-0.002763767,-0.06228884,0,0,0,0,0,0,0,14.8891,-2.552533,0.708638,-0.0007358242,-0.9999858,-0.005267689,-0.0287764,0.002472778,-0.02733247,0.02590154,0.003532074,-0.02336418,0.07221985,-0.02685547,0.9970245,0.03921509,-0.02828979,0.9988251,0.002767425,0.002967316,True,True
