OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
3092154522,63786145602384,None,None
3092162854,63786145602396,None,None
3092171185,63786145602407,None,None
3092187848,63786145602418,None,None
3092196180,63786145602431,None,None
3092204511,63786145602440,None,None
3092221174,63786145602452,None,None
3092229506,63786145602462,None,None
3092246169,63786145602474,None,None
3092254500,63786145602485,None,None
3092262832,63786145602497,None,None
3092271163,63786145602507,None,None
3092287826,63786145602519,None,None
3092296158,63786145602531,None,None
3092304489,63786145602541,None,None
3092321153,63786145602551,None,None
3092329484,63786145602563,None,None
3092346147,63786145602575,None,None
3092354479,63786145602585,None,None
3092362810,63786145602596,None,None
3092379473,63786145602608,None,None
3092387805,63786145602619,None,None
3092396136,63786145602630,None,None
3092412799,63786145602641,None,None
3092421131,63786145602652,None,None
3092429462,63786145602664,None,None
3092446125,63786145602675,None,None
3092454457,63786145602686,None,None
3092462788,63786145602698,None,None
3092479452,63786145602707,None,None
3092487783,63786145602720,None,None
3092496115,63786145602730,None,None
3092512778,63786145602742,None,None
3092521109,63786145602752,None,None
3092529441,63786145602764,None,None
3092546104,63786145602775,None,None
3092554435,63786145602786,None,None
3092562767,63786145602798,None,None
3092579430,63786145602809,None,None
3092587761,63786145602820,None,None
3092596093,63786145602832,None,None
3092612756,63786145602843,None,None
3092621087,63786145602853,None,None
3092629419,63786145602865,None,None
3092646082,63786145602876,None,None
3092654414,63786145602888,None,None
3092654414,63786145602897,None,None
3092654414,63786145602908,None,None
3092654414,63786145602921,None,None
3092654414,63786145602932,None,None
3092654414,63786145602942,None,None
3092654414,63786145602954,None,None
3092654414,63786145602965,None,None
3092654414,63786145602975,None,None
3092654414,63786145602988,None,None
3092762723,63786145602998,None,None
3092779386,63786145603010,None,None
3092787718,63786145603021,None,None
3092796049,63786145603032,None,None
3092812713,63786145603043,None,None
3092821044,63786145603054,None,None
3092837707,63786145603066,None,None
3092846039,63786145603076,None,None
3092854370,63786145603087,None,None
3092871033,63786145603099,None,None
3092879365,63786145603110,None,None
3092887696,63786145603121,None,None
3092904359,63786145603132,None,None
3092912691,63786145603143,None,None
3092921022,63786145603156,None,None
3092937685,63786145603166,None,None
3092946017,63786145603178,None,None
3092954348,63786145603189,None,None
3092971011,63786145603200,None,None
3092979343,63786145603212,None,None
3092987675,63786145603221,None,None
3093004338,63786145603232,None,None
3093012669,63786145603243,None,None
3093021001,63786145603256,None,None
3093037664,63786145603267,None,None
3093045995,63786145603278,None,None
3093054327,63786145603289,None,None
3093070990,63786145603301,None,None
3093079321,63786145603312,None,None
3093087653,63786145603323,None,None
3093104316,63786145603333,None,None
3093112647,63786145603344,None,None
3093120979,63786145603356,None,None
3093137642,63786145603367,None,None
3093145974,63786145603378,None,None
3093154305,63786145603389,None,None
3093170968,63786145603400,None,None
3093179300,63786145603412,None,None
3093195963,63786145603424,None,None
3093204294,63786145603434,None,None
3093212626,63786145603444,None,None
3093220957,63786145603456,None,None
3093237620,63786145603467,None,None
3093245952,63786145603478,None,None
3093254283,63786145603489,None,None
3093270946,63786145603501,None,None
3093279278,63786145603512,None,None
3093287609,63786145603523,None,None
3093304272,63786145603534,None,None
3093312604,63786145603546,None,None
3093320936,63786145603557,None,None
3093337599,63786145603568,None,None
3093345930,63786145603579,None,None
3093354262,63786145603590,None,None
3093370925,63786145603601,None,None
3093379256,63786145603612,None,None
3093387588,63786145603623,None,None
3093404251,63786145603635,None,None
3093412582,63786145603646,None,None
3093429245,63786145603658,None,None
3093437577,63786145603669,None,None
3093445908,63786145603680,None,None
3093462571,63786145603691,None,None
3093470903,63786145603702,None,None
3093479235,63786145603713,None,None
3093495898,63786145603725,None,None
3093504229,63786145603736,None,None
3093512561,63786145603747,None,None
3093529224,63786145603757,None,None
3093537555,63786145603770,None,None
3093545887,63786145603780,None,None
3093562550,63786145603791,None,None
3093570881,63786145603802,None,None
3093587544,63786145603814,None,None
3093595876,63786145603825,None,None
3093604207,63786145603836,None,None
3093620870,63786145603847,None,None
3093629202,63786145603858,None,None
3093637533,63786145603870,None,None
3093654197,63786145603881,None,None
3093662528,63786145603892,None,None
3093670860,63786145603903,None,None
3093679191,63786145603915,None,None
3093695854,63786145603926,None,None
3093704186,63786145603937,None,None
3093720849,63786145603948,None,None
3093729180,63786145603959,None,None
3093737512,63786145603970,None,None
3093754175,63786145603983,None,None
3093762506,63786145603992,None,None
3093770838,63786145604004,None,None
3093779169,63786145604015,None,None
3093795832,63786145604026,None,None
3093804164,63786145604038,None,None
3093820827,63786145604049,None,None
3093829159,63786145604060,None,None
3093837490,63786145604071,None,None
3093854153,63786145604082,None,None
3093862485,63786145604093,None,None
3093870816,63786145604105,None,None
3093887479,63786145604116,None,None
3093895811,63786145604127,None,None
3093904142,63786145604138,None,None
3093920805,63786145604150,None,None
3093929137,63786145604160,None,None
3093945800,63786145604175,None,None
3093954131,63786145604183,None,None
3093962463,63786145604192,None,None
3093970794,63786145604203,None,None
3093979126,63786145604215,None,None
3093995789,63786145604226,None,None
3094004121,63786145604236,None,None
3094012452,63786145604247,None,None
3094029115,63786145604258,None,None
3094037447,63786145604269,None,None
3094045778,63786145604280,None,None
3094062441,63786145604292,None,None
3094070773,63786145604303,None,None
3094087436,63786145604315,None,None
3094095767,63786145604326,None,None
3094104099,63786145604337,None,None
3094112430,63786145604349,None,None
3094129093,63786145604360,None,None
3094137425,63786145604371,None,None
3094154088,63786145604382,None,None
