OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
3225550569,63786145735787,None,None
3225567232,63786145735798,None,None
3225583895,63786145735812,None,None
3225592226,63786145735821,None,None
3225600558,63786145735832,None,None
3225608889,63786145735842,None,None
3225625553,63786145735853,None,None
3225633884,63786145735865,None,None
3225642216,63786145735876,None,None
3225658879,63786145735887,None,None
3225667210,63786145735898,None,None
3225675542,63786145735909,None,None
3225692205,63786145735921,None,None
3225700536,63786145735932,None,None
3225708868,63786145735943,None,None
3225725531,63786145735954,None,None
3225733862,63786145735965,None,None
3225742194,63786145735976,None,None
3225758857,63786145735988,None,None
3225767188,63786145735999,None,None
3225775520,63786145736010,None,None
3225792183,63786145736021,None,None
3225800515,63786145736033,None,None
3225808846,63786145736044,None,None
3225825509,63786145736055,None,None
3225833841,63786145736066,None,None
3225842172,63786145736077,None,None
3225858835,63786145736089,None,None
3225867167,63786145736099,None,None
3225883830,63786145736111,None,None
3225892161,63786145736122,None,None
3225900493,63786145736134,None,None
3225908824,63786145736145,None,None
3225925487,63786145736155,None,None
3225933819,63786145736167,None,None
3225950482,63786145736179,None,None
3225958814,63786145736189,None,None
3225967145,63786145736199,None,None
3225975477,63786145736210,None,None
3226000471,63786145736229,None,None
3226000471,63786145736234,None,None
3226008803,63786145736239,None,None
3226017134,63786145736250,None,None
3226025466,63786145736261,None,None
3226042129,63786145736274,None,None
3226050460,63786145736284,None,None
3226067123,63786145736296,None,None
3226075455,63786145736307,None,None
3226083786,63786145736318,None,None
3226100449,63786145736329,None,None
3226108781,63786145736341,None,None
3226117113,63786145736352,None,None
3226133776,63786145736362,None,None
3226142107,63786145736374,None,None
3226150439,63786145736385,None,None
3226167102,63786145736396,None,None
3226175433,63786145736408,None,None
3226183765,63786145736419,None,None
3226200428,63786145736430,None,None
3226208759,63786145736441,None,None
3226217091,63786145736452,None,None
3226233754,63786145736464,None,None
3226242085,63786145736475,None,None
3226250417,63786145736485,None,None
3226267080,63786145736496,None,None
3226275411,63786145736507,None,None
3226283743,63786145736519,None,None
3226300406,63786145736530,None,None
3226308738,63786145736541,None,None
3226317069,63786145736552,None,None
3226333732,63786145736563,None,None
3226342064,63786145736575,None,None
3226350395,63786145736586,None,None
3226367058,63786145736597,None,None
3226375390,63786145736608,None,None
3226383721,63786145736620,None,None
3226400384,63786145736631,None,None
3226408716,63786145736643,None,None
3226417047,63786145736654,None,None
3226433710,63786145736666,None,None
3226442042,63786145736677,None,None
3226458705,63786145736688,None,None
3226467037,63786145736700,None,None
3226475368,63786145736711,None,None
3226492031,63786145736723,None,None
3226500363,63786145736734,None,None
3226517026,63786145736746,None,None
3226525357,63786145736757,None,None
3226533689,63786145736769,None,None
3226550352,63786145736780,None,None
3226558683,63786145736792,None,None
3226567015,63786145736803,None,None
3226583678,63786145736815,None,None
3226592009,63786145736826,None,None
3226600341,63786145736837,None,None
3226617004,63786145736848,None,None
3226625336,63786145736860,None,None
3226633667,63786145736871,None,None
3226650330,63786145736881,None,None
3226658662,63786145736892,None,None
3226666993,63786145736904,None,None
3226675325,63786145736915,None,None
3226675325,63786145736926,None,None
3226675325,63786145736937,None,None
3226675325,63786145736949,None,None
3226675325,63786145736960,None,None
3226675325,63786145736971,None,None
3226675325,63786145736982,None,None
3226675325,63786145736993,None,None
3226675325,63786145737004,None,None
3226783635,63786145737016,None,None
3226791966,63786145737027,None,None
3226808629,63786145737038,None,None
3226816961,63786145737049,None,None
3226825292,63786145737061,None,None
3226841955,63786145737071,None,None
3226850287,63786145737083,None,None
3226858618,63786145737095,None,None
3226875281,63786145737105,None,None
3226883613,63786145737116,None,None
3226891944,63786145737127,None,None
3226908607,63786145737138,None,None
3226916939,63786145737150,None,None
3226925270,63786145737161,None,None
3226941933,63786145737171,None,None
3226950265,63786145737183,None,None
3226958597,63786145737194,None,None
3226975260,63786145737206,None,None
3226983591,63786145737218,None,None
3226991923,63786145737228,None,None
3227008586,63786145737239,None,None
3227016917,63786145737250,None,None
3227025249,63786145737262,None,None
3227041912,63786145737273,None,None
3227050243,63786145737284,None,None
3227058575,63786145737295,None,None
3227075238,63786145737306,None,None
3227083569,63786145737317,None,None
3227091901,63786145737329,None,None
3227108564,63786145737339,None,None
3227116896,63786145737351,None,None
3227125227,63786145737362,None,None
3227141890,63786145737373,None,None
3227150222,63786145737384,None,None
3227166885,63786145737395,None,None
3227175216,63786145737406,None,None
3227183548,63786145737417,None,None
3227200211,63786145737429,None,None
3227208542,63786145737440,None,None
3227216874,63786145737451,None,None
3227233537,63786145737462,None,None
3227241868,63786145737473,None,None
3227250200,63786145737484,None,None
3227266863,63786145737495,None,None
3227275194,63786145737507,None,None
3227283526,63786145737518,None,None
3227300189,63786145737530,None,None
3227308521,63786145737541,None,None
3227316852,63786145737552,None,None
3227333515,63786145737563,None,None
3227341847,63786145737574,None,None
3227350178,63786145737585,None,None
3227366841,63786145737597,None,None
3227375173,63786145737607,None,None
3227383504,63786145737619,None,None
3227400167,63786145737630,None,None
3227408499,63786145737641,None,None
3227416830,63786145737652,None,None
3227433493,63786145737664,None,None
3227441825,63786145737675,None,None
3227450157,63786145737686,None,None
3227466820,63786145737698,None,None
3227475151,63786145737708,None,None
3227483483,63786145737720,None,None
3227500146,63786145737731,None,None
3227508477,63786145737742,None,None
3227516809,63786145737752,None,None
3227533472,63786145737764,None,None
3227541803,63786145737774,None,None
3227558466,63786145737786,None,None
