UnityTS,LabID,ParticipantID,TrialID,Room,Instruction,Duration,Question,Answer
63786146567313,SGL,21,16,Version8warmesLicht,sglSit,90,waitEstimation,87
63786146569264,SGL,21,16,Version8warmesLicht,sglSit,90,timePass,33
63786146570698,SGL,21,16,Version8warmesLicht,sglSit,90,comfort,19
63786146573580,SGL,21,16,Version8warmesLicht,sglSit,90,relax,10
63786146575866,SGL,21,16,Version8warmesLicht,sglSit,90,tired,33
63786146580002,SGL,21,16,Version8warmesLicht,sglSit,90,valence,2
63786146581678,SGL,21,16,Version8warmesLicht,sglSit,90,arousal,3
63786146584549,SGL,21,16,Version8warmesLicht,sglSit,90,thinkPast,14
63786146585956,SGL,21,16,Version8warmesLicht,sglSit,90,thinkPresent,68
63786146587430,SGL,21,16,Version8warmesLicht,sglSit,90,thinkFuture,45
63786146589385,SGL,21,16,Version8warmesLicht,sglSit,90,experienceBody,33
63786146590816,SGL,21,16,Version8warmesLicht,sglSit,90,experienceSpace,23
63786146593239,SGL,21,16,Version8warmesLicht,sglSit,90,thinkTime,11
