OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valL,valR
3941173024,63786146451357,0.543259,0.4822592,0.4669648,0.479609,-14.9249,2.554055,-0.7178583,0.0269232,0.9963296,0.07912567,-0.01848404,0,0,0,0,0,0,0,14.92356,-2.550342,0.6926408,-0.8877186,-0.4603602,-0.004925457,-0.02872975,0.003102783,-0.02678143,0.02604482,0.004324051,-0.02365337,0.04161072,-0.0546875,0.9976349,-0.01412964,-0.06454468,0.9978027,0.00314212,0.003330368,True,True
3941181073,63786146451368,0.5425359,0.4781517,0.4634191,0.4695707,-14.92516,2.554036,-0.7180592,0.02701422,0.9963239,0.07905177,-0.018966,0,0,0,0,0,0,0,14.9238,-2.550394,0.6930352,-0.8876468,-0.4604983,-0.004944063,-0.02873544,0.003048477,-0.02660687,0.02600859,0.004235275,-0.02344116,0.03967285,-0.06671143,0.9969788,-0.0234375,-0.09376526,0.9953156,0.003102615,0.003195419,True,True
3941189455,63786146451380,0.5394583,0.4743806,0.4662562,0.4723857,-14.92556,2.553951,-0.7183567,0.02713811,0.9963329,0.07878718,-0.01941448,0,0,0,0,0,0,0,14.92417,-2.550368,0.6935467,-0.8876078,-0.4605734,-0.004970558,-0.02874919,0.002990112,-0.02638554,0.02596408,0.004176331,-0.02323459,0.03152466,-0.07774353,0.99646,-0.01597595,-0.08560181,0.9962006,0.003134049,0.003266724,True,True
3941197963,63786146451380,0.5454522,0.4817905,0.4645754,0.4742604,-14.92556,2.553951,-0.7183567,0.02713811,0.9963329,0.07878718,-0.01941448,0,0,0,0,0,0,0,14.92416,-2.550394,0.69366,-0.8876187,-0.4605522,-0.004968277,-0.02875801,0.002978104,-0.02636697,0.02594821,0.004134811,-0.02302647,0.0473938,-0.05604553,0.9972992,-0.02041626,-0.08013916,0.9965668,0.003173248,0.003315903,True,True
3941206171,63786146451391,0.5393671,0.4760487,0.4639103,0.4690662,-14.92585,2.553937,-0.7185343,0.02720505,0.9963379,0.07858557,-0.01987486,0,0,0,0,0,0,0,14.92443,-2.550381,0.6938478,-0.8875636,-0.4606584,-0.004980117,-0.02878142,0.003001618,-0.0264352,0.02593387,0.004111069,-0.02293777,0.03129578,-0.07287598,0.9968414,-0.0221405,-0.0952301,0.9951935,0.003029404,0.00317926,True,True
3941214442,63786146451404,0.5426642,0.4742992,0.4661463,0.4689441,-14.92615,2.553936,-0.7186871,0.02721518,0.9963415,0.07844374,-0.02023741,0,0,0,0,0,0,0,14.92473,-2.550406,0.6940621,-0.8875213,-0.4607398,-0.00497566,-0.0287765,0.002962082,-0.02635895,0.0259243,0.00409819,-0.02289108,0.03997803,-0.07795715,0.9961395,-0.01625061,-0.09559631,0.995285,0.003041092,0.003228134,True,True
3941222867,63786146451412,0.5432913,0.4722237,0.4643407,0.4648083,-14.92631,2.554011,-0.7188057,0.02720868,0.9963462,0.07828191,-0.02063965,0,0,0,0,0,0,0,14.92487,-2.55048,0.6941714,-0.8874736,-0.4608318,-0.004966654,-0.02878947,0.002989121,-0.02644457,0.02591069,0.004072967,-0.02282396,0.04161072,-0.08399963,0.9955902,-0.02098083,-0.1075592,0.9939728,0.003045609,0.003102844,True,True
3941231194,63786146451412,0.5369896,0.4632229,0.4590797,0.4567355,-14.92631,2.554011,-0.7188057,0.02720868,0.9963462,0.07828191,-0.02063965,0,0,0,0,0,0,0,14.92486,-2.550498,0.6942591,-0.8874562,-0.4608652,-0.004973028,-0.02880041,0.002989395,-0.0264292,0.02590233,0.004037888,-0.02266388,0.02493286,-0.1101685,0.9935913,-0.03471375,-0.1307373,0.990799,0.002849533,0.003075119,True,True
3941239581,63786146451423,0.5389404,0.4658487,0.4592602,0.4591517,-14.92657,2.553973,-0.7189078,0.02712703,0.9963513,0.07815671,-0.02097026,0,0,0,0,0,0,0,14.92511,-2.550453,0.694333,-0.887429,-0.460918,-0.004939565,-0.02880788,0.003003357,-0.02648883,0.02590166,0.004036972,-0.02266081,0.03009033,-0.1025543,0.9942627,-0.03427124,-0.1238098,0.9916992,0.002848602,0.003128891,True,True
3941247851,63786146451434,0.5360121,0.4623594,0.4597234,0.4586539,-14.9268,2.553971,-0.7190606,0.02686937,0.9963565,0.07812484,-0.02117511,0,0,0,0,0,0,0,14.92535,-2.550465,0.6945089,-0.8874001,-0.4609745,-0.004861091,-0.02880369,0.002974243,-0.02643965,0.02590097,0.004037888,-0.02266388,0.02235413,-0.1126709,0.9933777,-0.03305054,-0.1252441,0.9915619,0.002803604,0.00310112,True,True
3941256242,63786146451446,0.5353658,0.4741111,0.4603709,0.4603721,-14.92709,2.55399,-0.7191587,0.02663796,0.9963668,0.07800259,-0.02143176,0,0,0,0,0,0,0,14.92564,-2.550469,0.6945336,-0.8873948,-0.4609855,-0.004782407,-0.02881073,0.002998611,-0.02655425,0.02590083,0.004042206,-0.02269598,0.02072144,-0.07855225,0.9966888,-0.03137207,-0.1203156,0.9922333,0.002928299,0.003131134,True,True
3941264617,63786146451446,0.5368217,0.4631336,0.461052,0.4620971,-14.92709,2.55399,-0.7191587,0.02663796,0.9963668,0.07800259,-0.02143176,0,0,0,0,0,0,0,14.92563,-2.550475,0.6945515,-0.8873794,-0.4610151,-0.004785965,-0.02881706,0.002982712,-0.02648621,0.0259007,0.004046524,-0.0227281,0.02449036,-0.1104279,0.993576,-0.02960205,-0.1153564,0.9928741,0.002813568,0.003160202,True,True
