OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
4259901066,63786146770147,None,None
4259917729,63786146770158,None,None
4259926061,63786146770171,None,None
4259934392,63786146770181,None,None
4259951055,63786146770192,None,None
4259959387,63786146770204,None,None
4259976050,63786146770216,None,None
4259984381,63786146770226,None,None
4259992713,63786146770238,None,None
4260001044,63786146770248,None,None
4260017707,63786146770260,None,None
4260026039,63786146770271,None,None
4260034370,63786146770282,None,None
4260051033,63786146770295,None,None
4260059365,63786146770304,None,None
4260067697,63786146770315,None,None
4260084360,63786146770327,None,None
4260092691,63786146770338,None,None
4260101023,63786146770349,None,None
4260117686,63786146770361,None,None
4260126017,63786146770372,None,None
4260134349,63786146770382,None,None
4260151012,63786146770394,None,None
4260159343,63786146770404,None,None
4260176006,63786146770416,None,None
4260184338,63786146770427,None,None
4260192669,63786146770439,None,None
4260209332,63786146770449,None,None
4260217664,63786146770461,None,None
4260225996,63786146770472,None,None
4260242659,63786146770483,None,None
4260250990,63786146770494,None,None
4260259322,63786146770505,None,None
4260275985,63786146770516,None,None
4260284316,63786146770527,None,None
4260292648,63786146770538,None,None
4260309311,63786146770549,None,None
4260317642,63786146770561,None,None
4260325974,63786146770572,None,None
4260342637,63786146770583,None,None
4260350968,63786146770595,None,None
4260359300,63786146770606,None,None
4260375963,63786146770617,None,None
4260384294,63786146770628,None,None
4260392626,63786146770639,None,None
4260409289,63786146770650,None,None
4260417621,63786146770662,None,None
4260425952,63786146770672,None,None
4260442615,63786146770684,None,None
4260450947,63786146770695,None,None
4260459278,63786146770706,None,None
4260475941,63786146770718,None,None
4260484273,63786146770729,None,None
4260492604,63786146770740,None,None
4260509267,63786146770751,None,None
4260517599,63786146770761,None,None
4260525930,63786146770773,None,None
4260542593,63786146770783,None,None
4260550925,63786146770795,None,None
4260559257,63786146770807,None,None
4260575920,63786146770818,None,None
4260584251,63786146770829,None,None
4260600914,63786146770841,None,None
4260609246,63786146770851,None,None
4260617577,63786146770862,None,None
4260634240,63786146770874,None,None
4260642572,63786146770885,None,None
4260650903,63786146770896,None,None
4260667566,63786146770908,None,None
4260675898,63786146770918,None,None
4260684229,63786146770930,None,None
4260700892,63786146770940,None,None
4260709224,63786146770951,None,None
4260725887,63786146770963,None,None
4260734219,63786146770975,None,None
4260742550,63786146770987,None,None
4260750882,63786146770997,None,None
4260767545,63786146771008,None,None
4260775876,63786146771018,None,None
4260792539,63786146771030,None,None
4260800871,63786146771042,None,None
4260809202,63786146771052,None,None
4260825865,63786146771064,None,None
4260834197,63786146771075,None,None
4260842528,63786146771087,None,None
4260859191,63786146771098,None,None
4260867523,63786146771108,None,None
4260867523,63786146771120,None,None
4260867523,63786146771131,None,None
4260867523,63786146771142,None,None
4260867523,63786146771153,None,None
4260867523,63786146771163,None,None
4260867523,63786146771175,None,None
4260867523,63786146771187,None,None
4260867523,63786146771198,None,None
4260967501,63786146771209,None,None
4260975833,63786146771220,None,None
4260992496,63786146771232,None,None
4261000827,63786146771242,None,None
4261009159,63786146771253,None,None
4261025822,63786146771264,None,None
4261034153,63786146771276,None,None
4261042485,63786146771287,None,None
4261059148,63786146771298,None,None
4261067480,63786146771309,None,None
4261075811,63786146771320,None,None
4261092474,63786146771332,None,None
4261100806,63786146771343,None,None
4261109137,63786146771355,None,None
4261125800,63786146771366,None,None
4261134132,63786146771379,None,None
4261142463,63786146771387,None,None
4261159126,63786146771397,None,None
4261167458,63786146771408,None,None
4261175789,63786146771420,None,None
4261192452,63786146771431,None,None
4261200784,63786146771442,None,None
4261209115,63786146771453,None,None
4261225779,63786146771464,None,None
4261234110,63786146771476,None,None
4261242442,63786146771487,None,None
4261259105,63786146771498,None,None
4261267436,63786146771509,None,None
4261275768,63786146771520,None,None
4261292431,63786146771532,None,None
4261300762,63786146771543,None,None
4261309094,63786146771554,None,None
4261325757,63786146771565,None,None
4261334088,63786146771576,None,None
4261342420,63786146771587,None,None
4261359083,63786146771599,None,None
4261367414,63786146771609,None,None
4261375746,63786146771621,None,None
4261392409,63786146771632,None,None
4261400741,63786146771643,None,None
4261409072,63786146771654,None,None
4261425735,63786146771666,None,None
4261434067,63786146771676,None,None
4261442398,63786146771688,None,None
4261459061,63786146771699,None,None
4261467393,63786146771710,None,None
4261475724,63786146771721,None,None
4261492387,63786146771732,None,None
4261500719,63786146771743,None,None
4261509050,63786146771755,None,None
4261525713,63786146771766,None,None
4261534045,63786146771777,None,None
4261542376,63786146771789,None,None
4261559040,63786146771801,None,None
4261567371,63786146771812,None,None
4261575703,63786146771823,None,None
4261592366,63786146771835,None,None
4261600697,63786146771845,None,None
4261609029,63786146771857,None,None
4261625692,63786146771868,None,None
4261634023,63786146771879,None,None
4261650686,63786146771891,None,None
4261659018,63786146771902,None,None
4261667349,63786146771913,None,None
4261684012,63786146771924,None,None
4261692344,63786146771935,None,None
4261700675,63786146771946,None,None
4261717338,63786146771957,None,None
4261725670,63786146771969,None,None
4261734002,63786146771979,None,None
4261750665,63786146771991,None,None
4261758996,63786146772002,None,None
4261767328,63786146772014,None,None
4261783991,63786146772024,None,None
4261792322,63786146772036,None,None
4261800654,63786146772047,None,None
4261817317,63786146772058,None,None
4261825648,63786146772069,None,None
4261833980,63786146772080,None,None
4261850643,63786146772091,None,None
4261858974,63786146772102,None,None
4261867306,63786146772113,None,None
4261883969,63786146772125,None,None
4261892301,63786146772136,None,None
4261900632,63786146772147,None,None
