OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
4901111893,63786147411360,None,None
4901120225,63786147411371,None,None
4901128556,63786147411382,None,None
4901145219,63786147411393,None,None
4901153551,63786147411405,None,None
4901161882,63786147411416,None,None
4901178545,63786147411427,None,None
4901186877,63786147411438,None,None
4901195208,63786147411449,None,None
4901211871,63786147411460,None,None
4901220203,63786147411472,None,None
4901228534,63786147411482,None,None
4901245197,63786147411494,None,None
4901253529,63786147411507,None,None
4901261861,63786147411516,None,None
4901278524,63786147411527,None,None
4901286855,63786147411538,None,None
4901295187,63786147411550,None,None
4901311850,63786147411560,None,None
4901320181,63786147411572,None,None
4901336844,63786147411583,None,None
4901345176,63786147411595,None,None
4901353507,63786147411606,None,None
4901370170,63786147411617,None,None
4901378502,63786147411628,None,None
4901386833,63786147411639,99_Bahnsteig_PF,None
4901403496,63786147411651,None,None
4901411828,63786147411662,None,None
4901428491,63786147411673,None,None
4901436823,63786147411684,None,None
4901445154,63786147411696,None,None
4901461817,63786147411707,None,None
4901470149,63786147411717,None,None
4901478480,63786147411729,None,None
4901486812,63786147411740,None,None
4901503475,63786147411752,None,None
4901511806,63786147411762,None,None
4901520138,63786147411773,None,None
4901536801,63786147411784,None,None
4901545132,63786147411795,None,None
4901553464,63786147411807,None,None
4901570127,63786147411818,None,None
4901578458,63786147411830,None,None
4901586790,63786147411840,None,None
4901603453,63786147411852,None,None
4901611785,63786147411862,None,None
4901620116,63786147411875,None,None
4901636779,63786147411886,None,None
4901645111,63786147411896,None,None
4901653442,63786147411907,None,None
4901670105,63786147411918,None,None
4901678437,63786147411930,None,None
4901686768,63786147411940,None,None
4901703431,63786147411952,None,None
4901711763,63786147411963,None,None
4901720094,63786147411974,None,None
4901736757,63786147411985,None,None
4901745089,63786147411996,None,None
4901753421,63786147412007,None,None
4901770084,63786147412019,None,None
4901778415,63786147412030,None,None
4901786747,63786147412041,None,None
4901803410,63786147412052,None,None
4901811741,63786147412064,None,None
4901820073,63786147412075,None,None
4901836736,63786147412086,None,None
4901845067,63786147412098,None,None
4901861730,63786147412108,None,None
4901870062,63786147412120,None,None
4901878393,63786147412131,None,None
4901895056,63786147412141,None,None
4901903388,63786147412153,None,None
4901911719,63786147412165,None,None
4901928383,63786147412175,None,None
4901936714,63786147412186,None,None
4901945046,63786147412198,None,None
4901961709,63786147412208,None,None
4901970040,63786147412220,None,None
4901978372,63786147412231,None,None
4901995035,63786147412242,None,None
4902003366,63786147412253,None,None
4902011698,63786147412264,None,None
4902028361,63786147412276,None,None
4902036692,63786147412287,None,None
4902045024,63786147412299,None,None
4902061687,63786147412309,None,None
4902070018,63786147412321,None,None
4902078350,63786147412332,None,None
4902095013,63786147412343,None,None
4902103345,63786147412355,None,None
4902120008,63786147412366,None,None
4902128339,63786147412376,None,None
4902136671,63786147412388,None,None
4902153334,63786147412399,None,None
4902161665,63786147412410,None,None
4902169997,63786147412421,None,None
4902186660,63786147412432,None,None
4902194991,63786147412444,None,None
4902203323,63786147412454,None,99_Bahnsteig_PF
4902219986,63786147412466,None,None
4902228317,63786147412476,None,None
4902236649,63786147412489,None,None
4902253312,63786147412500,None,None
4902261644,63786147412511,None,None
4902269975,63786147412521,None,None
4902286638,63786147412533,None,None
4902294970,63786147412545,None,None
4902303301,63786147412555,None,None
4902319964,63786147412567,None,None
4902328296,63786147412577,None,None
4902336627,63786147412589,None,None
4902353290,63786147412600,None,None
4902361622,63786147412611,None,None
4902369953,63786147412622,None,None
4902386616,63786147412633,None,None
4902394948,63786147412644,None,None
4902403279,63786147412656,None,None
4902419943,63786147412667,None,None
4902428274,63786147412678,None,None
4902436606,63786147412689,None,None
4902453269,63786147412701,None,None
4902461600,63786147412711,None,None
4902469932,63786147412723,None,None
4902486595,63786147412734,None,None
4902494926,63786147412745,None,None
4902503258,63786147412756,None,None
4902519921,63786147412768,None,None
4902528252,63786147412779,None,None
4902536584,63786147412789,None,None
4902553247,63786147412800,None,None
4902561578,63786147412813,None,None
4902569910,63786147412823,None,None
4902586573,63786147412834,None,None
4902594905,63786147412845,None,None
4902603236,63786147412856,None,None
4902619899,63786147412868,None,None
4902628231,63786147412879,None,None
4902636562,63786147412890,None,None
4902653225,63786147412901,None,None
4902661557,63786147412912,None,None
4902669888,63786147412924,None,None
4902686551,63786147412935,None,None
4902694883,63786147412946,None,None
4902703214,63786147412957,None,None
4902719877,63786147412968,None,None
4902728209,63786147412980,None,None
4902736540,63786147412991,None,None
4902753204,63786147413002,None,None
4902761535,63786147413013,None,None
4902769867,63786147413024,None,None
4902786530,63786147413036,None,None
4902794861,63786147413047,None,None
4902811524,63786147413058,None,None
4902819856,63786147413069,None,None
4902828187,63786147413081,None,None
4902836519,63786147413091,None,None
4902853182,63786147413102,None,None
4902861513,63786147413114,None,None
4902878176,63786147413126,None,None
4902886508,63786147413136,None,None
4902894839,63786147413147,None,None
4902911502,63786147413159,None,None
4902919834,63786147413169,None,None
4902928166,63786147413181,None,None
4902944829,63786147413192,None,None
4902953160,63786147413203,None,None
4902961492,63786147413214,None,None
4902978155,63786147413225,None,None
4902986486,63786147413236,None,None
4902994818,63786147413247,None,None
4903011481,63786147413258,None,None
4903019812,63786147413269,None,None
4903028144,63786147413281,None,None
4903044807,63786147413292,None,None
4903053138,63786147413303,None,None
4903061470,63786147413314,None,None
4903078133,63786147413325,None,None
4903086465,63786147413337,None,None
4903094796,63786147413349,None,None
4903111459,63786147413359,None,None
4903119791,63786147413370,None,None
4903128122,63786147413382,None,None
4903144785,63786147413393,None,None
4903153117,63786147413404,None,None
4903161448,63786147413416,None,None
4903178111,63786147413427,None,None
4903186443,63786147413438,None,None
4903194774,63786147413449,None,None
4903211437,63786147413460,None,None
4903219769,63786147413471,None,None
4903236432,63786147413482,None,99_Bahnsteig_PF
4903244763,63786147413494,None,None
4903261427,63786147413505,None,None
4903269758,63786147413516,None,None
4903278090,63786147413527,None,None
4903286421,63786147413539,None,None
4903303084,63786147413549,None,None
4903311416,63786147413560,99_Bahnsteig_PF,None
4903319747,63786147413571,None,None
4903336410,63786147413583,None,None
4903344742,63786147413594,None,None
4903353073,63786147413606,None,None
4903369736,63786147413617,None,None
4903378068,63786147413627,None,None
4903386399,63786147413639,None,None
4903403062,63786147413650,None,None
4903411394,63786147413661,None,None
4903419726,63786147413672,None,None
4903436389,63786147413683,None,None
4903444720,63786147413694,None,None
4903453052,63786147413706,None,None
4903469715,63786147413717,None,None
4903478046,63786147413728,None,None
4903486378,63786147413740,99_Bahnsteig_PF,99_Bahnsteig_PF
4903503041,63786147413751,99_Bahnsteig_PF,99_Bahnsteig_PF
4903511372,63786147413762,99_Bahnsteig_PF,99_Bahnsteig_PF
4903519704,63786147413773,99_Bahnsteig_PF,99_Bahnsteig_PF
4903536367,63786147413784,99_Bahnsteig_PF,99_Bahnsteig_PF
4903544698,63786147413795,99_Bahnsteig_PF,99_Bahnsteig_PF
4903553030,63786147413806,99_Bahnsteig_PF,99_Bahnsteig_PF
4903569693,63786147413817,99_Bahnsteig_PF,99_Bahnsteig_PF
4903578024,63786147413828,99_Bahnsteig_PF,99_Bahnsteig_PF
4903586356,63786147413839,99_Bahnsteig_PF,99_Bahnsteig_PF
