OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
5186250005,63786147696507,None,None
5186266668,63786147696516,None,None
5186274999,63786147696528,None,None
5186291662,63786147696542,None,None
5186299994,63786147696550,None,None
5186308325,63786147696562,None,None
5186316657,63786147696573,None,None
5186333320,63786147696584,None,None
5186341651,63786147696596,None,None
5186349983,63786147696607,None,None
5186366646,63786147696618,None,None
5186374978,63786147696629,None,None
5186383309,63786147696641,None,None
5186399972,63786147696651,None,None
5186408304,63786147696663,None,None
5186416635,63786147696674,None,None
5186433298,63786147696685,None,None
5186441630,63786147696697,None,None
5186449961,63786147696708,None,None
5186466624,63786147696718,None,None
5186474956,63786147696730,None,None
5186483287,63786147696741,None,None
5186499950,63786147696753,None,None
5186508282,63786147696763,None,None
5186516613,63786147696774,None,None
5186533277,63786147696784,None,None
5186541608,63786147696797,None,None
5186549940,63786147696807,None,None
5186566603,63786147696818,None,None
5186574934,63786147696830,None,None
5186591597,63786147696841,None,None
5186599929,63786147696852,None,None
5186608260,63786147696863,None,None
5186624923,63786147696874,None,None
5186633255,63786147696885,None,None
5186641586,63786147696896,None,None
5186658249,63786147696908,None,None
5186666581,63786147696919,None,None
5186674912,63786147696930,None,None
5186691576,63786147696941,None,None
5186699907,63786147696953,None,None
5186708239,63786147696964,None,None
5186724902,63786147696975,None,None
5186733233,63786147696986,None,None
5186741565,63786147696997,None,None
5186758228,63786147697009,None,None
5186766559,63786147697019,None,None
5186774891,63786147697030,None,None
5186791554,63786147697041,None,None
5186799885,63786147697053,None,None
5186808217,63786147697064,None,None
5186824880,63786147697075,None,None
5186833211,63786147697087,None,None
5186841543,63786147697098,None,None
5186858206,63786147697109,None,None
5186866538,63786147697120,None,None
5186874869,63786147697131,None,None
5186891532,63786147697143,None,None
5186899864,63786147697154,None,None
5186908195,63786147697165,None,None
5186924858,63786147697177,None,None
5186933190,63786147697187,None,None
5186941521,63786147697199,None,None
5186958184,63786147697210,None,None
5186966516,63786147697221,None,None
5186983179,63786147697233,None,None
5186991510,63786147697243,None,None
5186999842,63786147697254,None,None
5187008173,63786147697266,None,None
5187024837,63786147697277,None,None
5187033168,63786147697289,None,None
5187041500,63786147697299,None,None
5187058163,63786147697310,None,None
5187066494,63786147697322,None,None
5187083157,63786147697333,None,None
5187091489,63786147697344,None,None
5187099820,63786147697355,None,None
5187108152,63786147697365,None,None
5187124815,63786147697376,None,None
5187133146,63786147697388,None,None
5187149809,63786147697399,None,None
5187158141,63786147697410,None,None
5187166472,63786147697422,None,None
5187183135,63786147697432,None,None
5187191467,63786147697444,None,None
5187199799,63786147697455,None,None
5187199799,63786147697466,None,None
5187199799,63786147697477,None,None
5187199799,63786147697488,None,None
5187199799,63786147697500,None,None
5187199799,63786147697511,None,None
5187199799,63786147697522,None,None
5187199799,63786147697533,None,None
5187199799,63786147697545,None,None
5187308108,63786147697556,None,None
5187316440,63786147697567,None,None
5187324771,63786147697579,None,None
5187333103,63786147697590,None,None
5187349766,63786147697601,None,None
5187358098,63786147697612,None,None
5187366429,63786147697623,None,None
5187383092,63786147697634,None,None
5187391424,63786147697646,None,None
5187399755,63786147697657,None,None
5187416418,63786147697667,None,None
5187424750,63786147697678,None,None
5187433081,63786147697689,None,None
5187449744,63786147697700,None,None
5187458076,63786147697712,None,None
5187466407,63786147697723,None,None
5187483070,63786147697736,None,None
5187491402,63786147697745,None,None
5187508065,63786147697758,None,None
5187516396,63786147697768,None,None
5187524728,63786147697779,None,None
5187533060,63786147697790,None,None
5187549723,63786147697801,None,None
5187558054,63786147697813,None,None
5187574717,63786147697825,None,None
5187583049,63786147697836,None,None
5187591380,63786147697847,None,None
5187599712,63786147697857,None,None
5187616375,63786147697869,None,None
5187624706,63786147697880,None,None
5187641369,63786147697898,None,None
5187649701,63786147697904,None,None
5187658032,63786147697914,None,None
5187674695,63786147697925,None,None
5187683027,63786147697936,None,None
5187691359,63786147697947,None,None
5187708022,63786147697958,None,None
5187716353,63786147697970,None,None
5187724685,63786147697980,None,None
5187741348,63786147697992,None,None
5187749679,63786147698003,None,None
5187758011,63786147698014,None,None
5187774674,63786147698026,None,None
5187783005,63786147698036,None,None
5187791337,63786147698048,None,None
5187808000,63786147698058,None,None
5187816331,63786147698070,None,None
5187824663,63786147698081,None,None
5187841326,63786147698092,None,None
5187849657,63786147698103,None,None
5187857989,63786147698114,None,None
5187874652,63786147698125,None,None
5187882984,63786147698136,None,None
5187891315,63786147698148,None,None
5187907978,63786147698158,None,None
5187916310,63786147698170,None,None
5187924641,63786147698181,None,None
5187941304,63786147698193,None,None
5187949636,63786147698204,None,None
5187957967,63786147698214,None,None
5187974630,63786147698226,None,None
5187982962,63786147698237,None,None
5187991293,63786147698248,None,None
5188007956,63786147698260,None,None
5188016288,63786147698270,None,None
5188024620,63786147698282,None,None
5188041283,63786147698293,None,None
5188049614,63786147698304,None,None
5188057946,63786147698315,None,None
5188074609,63786147698327,None,None
5188082940,63786147698338,None,None
5188099603,63786147698349,None,None
5188107935,63786147698361,None,None
5188116266,63786147698371,None,None
5188132929,63786147698383,None,None
5188141261,63786147698394,None,None
5188149592,63786147698405,None,None
5188157924,63786147698416,None,None
5188174587,63786147698427,None,None
5188182918,63786147698437,None,None
5188199582,63786147698449,None,None
5188207913,63786147698460,None,None
5188216245,63786147698472,None,None
5188232908,63786147698482,None,None
5188241239,63786147698494,None,None
5188249571,63786147698505,None,None
