OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
982820680,63786143493027,None,None
982829012,63786143493038,None,None
982837343,63786143493050,None,None
982854006,63786143493061,None,None
982862338,63786143493072,None,None
982870669,63786143493082,None,None
982887332,63786143493093,None,None
982895664,63786143493105,None,None
982912327,63786143493118,None,None
982912327,63786143493126,None,None
982928990,63786143493138,None,None
982937322,63786143493150,None,None
982953985,63786143493161,None,None
982962316,63786143493172,None,None
982970648,63786143493183,None,None
982987311,63786143493195,None,None
982995642,63786143493206,None,None
983003974,63786143493217,None,None
983020637,63786143493228,None,None
983028968,63786143493240,None,None
983037300,63786143493250,None,None
983053963,63786143493261,None,None
983062294,63786143493272,None,None
983070626,63786143493284,None,None
983087289,63786143493295,None,None
983095620,63786143493307,None,None
983103952,63786143493317,None,None
983120615,63786143493328,None,None
983128947,63786143493340,None,None
983137278,63786143493351,None,None
983153941,63786143493362,None,None
983162273,63786143493374,None,None
983170604,63786143493384,None,None
983187267,63786143493395,None,None
983195599,63786143493407,None,None
983203930,63786143493418,None,None
983220593,63786143493430,None,None
983228925,63786143493440,None,None
983245588,63786143493452,None,None
983253919,63786143493463,None,None
983262251,63786143493474,None,None
983278914,63786143493485,None,None
983287246,63786143493496,None,None
983295577,63786143493508,None,None
983312240,63786143493518,None,None
983320572,63786143493530,None,None
983328903,63786143493540,None,None
983345566,63786143493552,None,None
983353898,63786143493563,None,None
983362229,63786143493575,None,None
983378892,63786143493585,None,None
983387224,63786143493597,None,None
983395555,63786143493608,None,None
983412218,63786143493620,None,None
983420550,63786143493630,None,None
983428881,63786143493641,None,None
983445545,63786143493653,None,None
983453876,63786143493664,None,None
983462208,63786143493675,None,None
983478871,63786143493686,None,None
983487202,63786143493697,None,None
983495534,63786143493708,None,None
983512197,63786143493721,None,None
983520528,63786143493731,None,None
983528860,63786143493742,None,None
983545523,63786143493752,None,None
983553854,63786143493764,None,None
983562186,63786143493776,None,None
983578849,63786143493786,None,None
983587180,63786143493797,None,None
983595512,63786143493809,None,None
983612175,63786143493820,None,None
983620507,63786143493831,None,None
983628838,63786143493842,None,None
983645501,63786143493853,None,None
983653833,63786143493865,None,None
983662164,63786143493876,None,None
983678827,63786143493887,None,None
983687159,63786143493898,None,None
983695490,63786143493909,None,None
983712153,63786143493920,None,None
983720485,63786143493932,None,None
983728816,63786143493943,None,None
983745479,63786143493954,None,None
983753811,63786143493965,None,None
983762142,63786143493977,None,None
983778806,63786143493988,None,None
983787137,63786143493999,None,None
983795469,63786143494010,None,None
983812132,63786143494021,None,None
983820463,63786143494032,None,None
983837126,63786143494044,None,None
983845458,63786143494055,None,None
983853789,63786143494066,None,None
983870452,63786143494077,None,None
983878784,63786143494088,None,None
983887115,63786143494099,None,None
983903778,63786143494111,None,None
983912110,63786143494122,None,None
983920441,63786143494133,None,None
983937105,63786143494144,None,None
983945436,63786143494155,None,None
983953768,63786143494166,None,None
983970431,63786143494178,None,None
983978762,63786143494189,None,None
983987094,63786143494200,None,None
984003757,63786143494211,None,None
984012088,63786143494222,None,None
984020420,63786143494233,None,None
984037083,63786143494245,None,None
984053746,63786143494261,None,None
984062077,63786143494267,None,None
984062077,63786143494274,None,None
984078740,63786143494286,None,None
984087072,63786143494296,None,None
984095403,63786143494307,None,None
984112067,63786143494318,None,None
984120398,63786143494329,None,None
984128730,63786143494340,None,None
984145393,63786143494351,None,None
984153724,63786143494363,None,None
984162056,63786143494374,None,None
984178719,63786143494385,None,None
984187050,63786143494396,None,None
984195382,63786143494408,None,None
984212045,63786143494418,None,None
984220376,63786143494430,None,None
984228708,63786143494442,None,None
984245371,63786143494453,None,None
984253702,63786143494463,None,None
984262034,63786143494475,None,None
984270366,63786143494486,None,None
984270366,63786143494497,None,None
984270366,63786143494508,None,None
984270366,63786143494520,None,None
984270366,63786143494531,None,None
984270366,63786143494542,None,None
984270366,63786143494553,None,None
984270366,63786143494565,None,None
984270366,63786143494575,None,None
984378675,63786143494587,None,None
984387007,63786143494598,None,None
984395338,63786143494609,None,None
984412001,63786143494620,None,None
984420333,63786143494632,None,None
984428664,63786143494643,None,None
984445328,63786143494654,None,None
984453659,63786143494666,None,None
984470322,63786143494677,None,None
984478654,63786143494688,None,None
984486985,63786143494700,None,None
984503648,63786143494712,None,None
984511980,63786143494723,None,None
984520311,63786143494734,None,None
984536974,63786143494746,None,None
984545306,63786143494757,None,None
984553637,63786143494768,None,None
984570300,63786143494779,None,None
984578632,63786143494790,None,None
984595295,63786143494802,None,None
984603627,63786143494814,None,None
984611958,63786143494825,None,None
984628621,63786143494836,None,None
984636953,63786143494847,None,None
984645284,63786143494859,None,None
984661947,63786143494870,None,None
984670279,63786143494881,None,None
984678610,63786143494892,None,None
984695273,63786143494904,None,None
984703605,63786143494915,None,None
984711936,63786143494926,None,None
984728599,63786143494937,None,None
984736931,63786143494948,None,None
984745262,63786143494959,None,None
984761925,63786143494971,None,None
984770257,63786143494982,None,None
984786920,63786143494994,None,None
984795252,63786143495004,None,None
984803583,63786143495016,None,None
984820246,63786143495027,None,None
984828578,63786143495038,None,None
984836909,63786143495049,None,None
984853572,63786143495060,None,None
984861904,63786143495071,None,None
984870235,63786143495082,None,None
984886898,63786143495094,None,None
984895230,63786143495105,None,None
984903561,63786143495116,None,None
984920224,63786143495127,None,None
984928556,63786143495138,None,None
984936888,63786143495149,None,None
984953551,63786143495160,None,None
984961882,63786143495171,None,None
984970214,63786143495183,None,None
984986877,63786143495194,None,None
984995208,63786143495204,None,None
985003540,63786143495216,None,None
985020203,63786143495227,None,None
985028534,63786143495238,None,None
985036866,63786143495250,None,None
985053529,63786143495261,None,None
985061860,63786143495271,None,None
985070192,63786143495283,None,None
985086855,63786143495294,None,None
985095186,63786143495305,None,None
985111850,63786143495317,None,None
985120181,63786143495328,None,None
985128513,63786143495340,None,None
985136844,63786143495350,None,None
985153507,63786143495362,None,None
985161839,63786143495373,None,None
985170170,63786143495384,None,None
985186833,63786143495395,None,None
985195165,63786143495407,None,None
985203496,63786143495417,None,None
985220159,63786143495428,None,None
985228491,63786143495440,None,None
985236822,63786143495450,None,None
985253485,63786143495462,None,None
985261817,63786143495473,None,None
985278480,63786143495484,None,None
985286812,63786143495496,None,None
985295143,63786143495506,None,None
985303475,63786143495518,None,None
985320138,63786143495529,None,None
985328469,63786143495540,None,None
985345132,63786143495551,None,None
985353464,63786143495563,None,None
985361795,63786143495574,None,None
985378458,63786143495585,None,None
985386790,63786143495597,None,None
985395121,63786143495608,None,None
985411784,63786143495618,None,None
985420116,63786143495630,None,None
985428447,63786143495641,None,None
985445111,63786143495653,None,None
985453442,63786143495663,None,None
985461774,63786143495674,None,None
985478437,63786143495685,None,None
985486768,63786143495696,None,None
985495100,63786143495707,None,None
985511763,63786143495719,None,None
985520094,63786143495730,None,None
985528426,63786143495741,None,None
985545089,63786143495752,None,None
985553420,63786143495764,None,None
985561752,63786143495775,None,None
985578415,63786143495786,None,None
985586746,63786143495797,None,None
985595078,63786143495809,None,None
985611741,63786143495820,None,None
985620073,63786143495830,None,None
985628404,63786143495841,None,None
985645067,63786143495853,None,None
985653399,63786143495864,None,None
985661730,63786143495875,None,None
985678393,63786143495886,None,None
985686725,63786143495897,None,None
985695056,63786143495909,None,None
985711719,63786143495920,None,None
985720051,63786143495931,None,None
985728382,63786143495942,None,None
985745045,63786143495954,None,None
985753377,63786143495965,None,None
985761708,63786143495976,None,None
