UnityTS,LabID,ParticipantID,TrialID,Room,Instruction,Duration,Question,Answer
63786143825502,SGL,21,3,Version9kaltesLicht,sglSit,105,waitEstimation,174
63786143830137,SGL,21,3,Version9kaltesLicht,sglSit,105,timePass,16
63786143835315,SGL,21,3,Version9kaltesLicht,sglSit,105,comfort,65
63786143839642,SGL,21,3,Version9kaltesLicht,sglSit,105,relax,56
63786143843932,SGL,21,3,Version9kaltesLicht,sglSit,105,tired,36
63786143847584,SGL,21,3,Version9kaltesLicht,sglSit,105,valence,3
63786143854577,SGL,21,3,Version9kaltesLicht,sglSit,105,arousal,3
63786143858677,SGL,21,3,Version9kaltesLicht,sglSit,105,thinkPast,1
63786143861833,SGL,21,3,Version9kaltesLicht,sglSit,105,thinkPresent,100
63786143864374,SGL,21,3,Version9kaltesLicht,sglSit,105,thinkFuture,1
63786143868909,SGL,21,3,Version9kaltesLicht,sglSit,105,experienceBody,51
63786143873901,SGL,21,3,Version9kaltesLicht,sglSit,105,experienceSpace,61
63786143877810,SGL,21,3,Version9kaltesLicht,sglSit,105,thinkTime,1
