OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
1200123515,63786143710339,None,None
1200140178,63786143710350,None,None
1200148510,63786143710361,None,None
1200156841,63786143710373,None,None
1200173504,63786143710383,None,None
1200181836,63786143710394,None,None
1200190167,63786143710406,None,None
1200206830,63786143710417,None,None
1200215162,63786143710430,None,None
1200223494,63786143710439,None,None
1200240157,63786143710450,None,None
1200248488,63786143710462,None,None
1200256820,63786143710473,None,None
1200273483,63786143710483,None,None
1200281814,63786143710496,None,None
1200290146,63786143710506,None,None
1200306809,63786143710518,None,None
1200306809,63786143710529,None,None
1200306809,63786143710540,None,None
1200306809,63786143710551,None,None
1200306809,63786143710562,None,None
1200306809,63786143710574,None,None
1200306809,63786143710585,None,None
1200306809,63786143710596,None,None
1200306809,63786143710608,None,None
1200306809,63786143710618,None,None
1200415119,63786143710629,None,None
1200431782,63786143710640,None,None
1200440113,63786143710651,None,None
1200448445,63786143710663,None,None
1200465108,63786143710673,None,None
1200473439,63786143710685,None,None
1200481771,63786143710696,None,None
1200498434,63786143710707,None,None
1200506765,63786143710718,None,None
1200515097,63786143710729,None,None
1200531760,63786143710740,None,None
1200540091,63786143710752,None,None
1200548423,63786143710763,None,None
1200565086,63786143710775,None,None
1200573418,63786143710785,None,None
1200581749,63786143710796,None,None
1200598412,63786143710808,None,None
1200606744,63786143710819,None,99_Bahnsteig_PF
1200623407,63786143710830,None,None
1200631738,63786143710841,None,None
1200640070,63786143710852,None,None
1200656733,63786143710864,None,None
1200665064,63786143710875,None,None
1200673396,63786143710885,None,None
1200690059,63786143710898,None,None
1200698390,63786143710908,None,None
1200706722,63786143710919,None,None
1200723385,63786143710930,None,None
1200731717,63786143710942,None,None
1200740048,63786143710952,99_Bahnsteig_PF,99_Bahnsteig_PF
1200756711,63786143710964,None,99_Bahnsteig_PF
1200765043,63786143710975,None,99_Bahnsteig_PF
1200773374,63786143710987,99_Bahnsteig_PF,99_Bahnsteig_PF
1200790037,63786143710999,99_Bahnsteig_PF,None
1200798369,63786143711008,99_Bahnsteig_PF,None
1200806700,63786143711021,99_Bahnsteig_PF,None
1200823363,63786143711031,99_Bahnsteig_PF,None
1200831695,63786143711042,99_Bahnsteig_PF,None
1200840026,63786143711053,99_Bahnsteig_PF,99_Bahnsteig_PF
1200856689,63786143711065,99_Bahnsteig_PF,None
1200865021,63786143711076,99_Bahnsteig_PF,99_Bahnsteig_PF
1200873352,63786143711088,99_Bahnsteig_PF,99_Bahnsteig_PF
1200890016,63786143711098,99_Bahnsteig_PF,99_Bahnsteig_PF
1200898347,63786143711109,99_Bahnsteig_PF,99_Bahnsteig_PF
1200906679,63786143711120,99_Bahnsteig_PF,99_Bahnsteig_PF
1200923342,63786143711131,99_Bahnsteig_PF,99_Bahnsteig_PF
1200931673,63786143711143,99_Bahnsteig_PF,99_Bahnsteig_PF
1200940005,63786143711154,99_Bahnsteig_PF,99_Bahnsteig_PF
1200956668,63786143711165,99_Bahnsteig_PF,99_Bahnsteig_PF
1200964999,63786143711176,99_Bahnsteig_PF,99_Bahnsteig_PF
1200973331,63786143711187,99_Bahnsteig_PF,99_Bahnsteig_PF
1200989994,63786143711199,99_Bahnsteig_PF,99_Bahnsteig_PF
1200998325,63786143711210,99_Bahnsteig_PF,99_Bahnsteig_PF
1201006657,63786143711221,99_Bahnsteig_PF,99_Bahnsteig_PF
1201023320,63786143711232,99_Bahnsteig_PF,99_Bahnsteig_PF
1201031651,63786143711244,99_Bahnsteig_PF,99_Bahnsteig_PF
1201039983,63786143711255,99_Bahnsteig_PF,99_Bahnsteig_PF
1201056646,63786143711267,99_Bahnsteig_PF,99_Bahnsteig_PF
1201064978,63786143711277,99_Bahnsteig_PF,99_Bahnsteig_PF
1201073309,63786143711288,99_Bahnsteig_PF,99_Bahnsteig_PF
1201089972,63786143711299,99_Bahnsteig_PF,99_Bahnsteig_PF
1201098304,63786143711310,99_Bahnsteig_PF,99_Bahnsteig_PF
1201106635,63786143711322,99_Bahnsteig_PF,99_Bahnsteig_PF
1201123298,63786143711334,99_Bahnsteig_PF,99_Bahnsteig_PF
1201131630,63786143711344,99_Bahnsteig_PF,99_Bahnsteig_PF
1201139961,63786143711355,99_Bahnsteig_PF,99_Bahnsteig_PF
1201156624,63786143711367,99_Bahnsteig_PF,99_Bahnsteig_PF
1201164956,63786143711378,99_Bahnsteig_PF,99_Bahnsteig_PF
1201173287,63786143711389,99_Bahnsteig_PF,99_Bahnsteig_PF
1201189950,63786143711400,99_Bahnsteig_PF,99_Bahnsteig_PF
1201198282,63786143711411,99_Bahnsteig_PF,99_Bahnsteig_PF
1201206613,63786143711422,99_Bahnsteig_PF,99_Bahnsteig_PF
1201223277,63786143711433,99_Bahnsteig_PF,99_Bahnsteig_PF
1201231608,63786143711444,99_Bahnsteig_PF,99_Bahnsteig_PF
1201239940,63786143711455,99_Bahnsteig_PF,99_Bahnsteig_PF
1201256603,63786143711466,None,None
1201264934,63786143711477,None,None
1201273266,63786143711489,None,None
1201289929,63786143711500,None,None
1201298260,63786143711511,None,None
1201306592,63786143711523,None,None
1201323255,63786143711533,None,None
1201331586,63786143711544,None,None
1201339918,63786143711555,None,None
1201356581,63786143711568,None,None
1201364912,63786143711579,None,None
1201381575,63786143711591,None,None
1201389907,63786143711601,None,None
1201398239,63786143711612,None,None
1201414902,63786143711624,None,None
1201423233,63786143711635,None,None
1201431565,63786143711646,None,None
1201448228,63786143711656,None,None
1201456559,63786143711667,None,None
1201464891,63786143711679,None,None
1201481554,63786143711690,None,None
1201489885,63786143711701,None,None
1201498217,63786143711713,None,None
1201514880,63786143711724,None,None
1201523211,63786143711735,None,None
1201531543,63786143711746,None,None
1201548206,63786143711757,None,None
1201556538,63786143711768,None,None
1201564869,63786143711779,None,None
1201581532,63786143711791,None,None
1201589864,63786143711801,None,None
1201598195,63786143711813,None,None
1201614858,63786143711824,99_Bahnsteig_PF,None
1201623190,63786143711835,None,None
1201631521,63786143711846,99_Bahnsteig_PF,99_Bahnsteig_PF
1201648184,63786143711858,99_Bahnsteig_PF,99_Bahnsteig_PF
1201656516,63786143711869,99_Bahnsteig_PF,99_Bahnsteig_PF
1201664847,63786143711880,99_Bahnsteig_PF,99_Bahnsteig_PF
1201681510,63786143711891,99_Bahnsteig_PF,99_Bahnsteig_PF
1201689842,63786143711903,99_Bahnsteig_PF,99_Bahnsteig_PF
1201698173,63786143711914,99_Bahnsteig_PF,99_Bahnsteig_PF
1201714836,63786143711929,99_Bahnsteig_PF,99_Bahnsteig_PF
1201723168,63786143711936,99_Bahnsteig_PF,99_Bahnsteig_PF
1201731500,63786143711942,99_Bahnsteig_PF,99_Bahnsteig_PF
1201739831,63786143711953,99_Bahnsteig_PF,99_Bahnsteig_PF
1201756494,63786143711965,99_Bahnsteig_PF,99_Bahnsteig_PF
1201764826,63786143711976,99_Bahnsteig_PF,99_Bahnsteig_PF
