UnityTS,LabID,ParticipantID,TrialID,Room,Instruction,Duration,Question,Answer
63786143978183,SGL,21,4,Version8warmesLicht,sglStand,75,waitEstimation,125
63786143983702,SGL,21,4,Version8warmesLicht,sglStand,75,timePass,33
63786143987489,SGL,21,4,Version8warmesLicht,sglStand,75,comfort,47
63786143990382,SGL,21,4,Version8warmesLicht,sglStand,75,relax,53
63786143994214,SGL,21,4,Version8warmesLicht,sglStand,75,tired,35
63786143997184,SGL,21,4,Version8warmesLicht,sglStand,75,valence,3
63786144000703,SGL,21,4,Version8warmesLicht,sglStand,75,arousal,2
63786144005840,SGL,21,4,Version8warmesLicht,sglStand,75,thinkPast,1
63786144010920,SGL,21,4,Version8warmesLicht,sglStand,75,thinkPresent,100
63786144013716,SGL,21,4,Version8warmesLicht,sglStand,75,thinkFuture,1
63786144018921,SGL,21,4,Version8warmesLicht,sglStand,75,experienceBody,50
63786144021568,SGL,21,4,Version8warmesLicht,sglStand,75,experienceSpace,50
63786144025444,SGL,21,4,Version8warmesLicht,sglStand,75,thinkTime,1
