OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valL,valR
1879541328,63786144389527,0.5298005,0.4933737,0.4604044,0.4905627,-14.76253,2.087184,-0.03760153,0.01155185,0.9884232,0.07179999,-0.1331581,0,0,0,0,0,0,0,14.76104,-2.084095,0.01284273,-0.8741747,-0.4856077,0.001949908,-0.0289326,0.00313443,-0.02659328,0.02595023,0.003044296,-0.02292432,0.00604248,-0.02207947,0.9997253,-0.03149414,-0.03244019,0.9989624,0.002876694,0.003225983,True,True
1879549825,63786144389733,0.5298524,0.4932441,0.4604104,0.4907084,-14.76251,2.087189,-0.03768665,0.01167147,0.9884306,0.07161756,-0.1331899,0,0,0,0,0,0,0,14.76102,-2.0841,0.01292615,-0.8741834,-0.4855922,0.001909452,-0.02893204,0.00313443,-0.02658809,0.02595274,0.003044296,-0.02293291,0.00617981,-0.02246094,0.9997253,-0.03147888,-0.03201294,0.9989777,0.002886978,0.003225876,True,True
1879558020,63786144389748,0.529478,0.4937523,0.4605201,0.4907085,-14.76211,2.087381,-0.03766948,0.01182911,0.9884296,0.07136938,-0.133317,0,0,0,0,0,0,0,14.76062,-2.084291,0.01290898,-0.8741858,-0.485588,0.001857647,-0.02892917,0.00313443,-0.02658809,0.02595274,0.003044296,-0.02293291,0.005187988,-0.02096558,0.9997559,-0.03118896,-0.03201294,0.9989929,0.002888473,0.0032258,True,True
1879566468,63786144389757,0.5288215,0.492845,0.4604334,0.4905889,-14.76219,2.087332,-0.03770554,0.01161586,0.9883935,0.07149851,-0.1335341,0,0,0,0,0,0,0,14.7607,-2.084237,0.01294245,-0.8741491,-0.4856537,0.001927682,-0.02892917,0.003145645,-0.02659328,0.02595274,0.003044296,-0.02293291,0.003448486,-0.02363586,0.9997101,-0.03141785,-0.03236389,0.9989777,0.002889465,0.00322673,True,True
1879574648,63786144389757,0.528833,0.492902,0.4603,0.4900999,-14.76219,2.087332,-0.03770554,0.01161586,0.9883935,0.07149851,-0.1335341,0,0,0,0,0,0,0,14.7607,-2.084239,0.01295712,-0.8741486,-0.4856548,0.001927629,-0.02892917,0.003145645,-0.02659328,0.02595274,0.003039139,-0.02290357,0.003479004,-0.02346802,0.9997101,-0.0317688,-0.03379822,0.9989166,0.002889511,0.003228149,True,True
1879583146,63786144389767,0.5282801,0.4929539,0.4602419,0.4898451,-14.76223,2.087361,-0.03762835,0.0116626,0.9883891,0.07156928,-0.1335251,0,0,0,0,0,0,0,14.76074,-2.084266,0.01287512,-0.874145,-0.4856613,0.001916855,-0.02892917,0.003153259,-0.0266134,0.02595274,0.003036179,-0.02289305,0.00201416,-0.02331543,0.9997253,-0.03192139,-0.0345459,0.9988861,0.002892258,0.00322377,True,True
1879591467,63786144389779,0.5282917,0.4928139,0.4601146,0.4896837,-14.76222,2.087351,-0.03758526,0.01166204,0.9883758,0.07170754,-0.1335487,0,0,0,0,0,0,0,14.76074,-2.084255,0.01283229,-0.8741322,-0.4856843,0.001922857,-0.02892917,0.003156219,-0.02661821,0.02595274,0.003036179,-0.02288773,0.002044678,-0.02372742,0.9997101,-0.03225708,-0.03501892,0.9988556,0.002892441,0.003196503,True,True
1879599737,63786144389790,0.5284126,0.4931146,0.4601146,0.4897356,-14.7622,2.087353,-0.03758162,0.01168284,0.988356,0.07177712,-0.1336561,0,0,0,0,0,0,0,14.76071,-2.084256,0.01282241,-0.8741146,-0.485716,0.001921937,-0.02893031,0.0031586,-0.02663071,0.02595274,0.003036179,-0.02288773,0.002365112,-0.02284241,0.9997253,-0.03225708,-0.03486633,0.9988556,0.002900009,0.003223618,True,True
1879607999,63786144389790,0.5280267,0.49453,0.4598663,0.4897458,-14.7622,2.087353,-0.03758162,0.01168284,0.988356,0.07177712,-0.1336561,0,0,0,0,0,0,0,14.76071,-2.084232,0.01270678,-0.8741173,-0.4857111,0.001922052,-0.02893204,0.003208954,-0.02686932,0.02595274,0.003033951,-0.02288036,0.001342773,-0.01867676,0.9998169,-0.03291321,-0.03483582,0.9988403,0.002897507,0.003223404,True,True
1879616436,63786144389801,0.5280324,0.4950795,0.460333,0.488758,-14.76226,2.087372,-0.03745139,0.01179421,0.9883518,0.07193655,-0.1335923,0,0,0,0,0,0,0,14.76076,-2.084258,0.01261624,-0.8741131,-0.4857187,0.001895246,-0.02893204,0.003204208,-0.02687358,0.02594209,0.003023224,-0.02279671,0.001358032,-0.01705933,0.9998474,-0.03167725,-0.03773499,0.9987793,0.00290094,0.003226303,True,True
