OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valL,valR
2017670823,63786144527860,0.551605,0.4109564,0.4909022,0.4164584,-14.85239,2.57147,-0.6785704,0.01464056,0.9949659,0.09644463,-0.02295952,0,0,0,0,0,0,0,14.85099,-2.569911,0.6541887,-0.8858035,-0.4640589,-0.001207958,-0.02878645,0.001610825,-0.02653349,0.02598505,0.001506317,-0.02223006,0.06158447,-0.2554932,0.9648438,0.04768372,-0.2426147,0.9689331,0.002595459,0.002810852,True,True
2017679293,63786144527868,0.5523887,0.4090664,0.4909431,0.4169871,-14.85366,2.571681,-0.6786162,0.01423283,0.9949389,0.09710932,-0.02153997,0,0,0,0,0,0,0,14.85226,-2.570127,0.6542199,-0.8859292,-0.4638192,-0.001126497,-0.02878529,0.001603394,-0.02654425,0.02598529,0.001505127,-0.02224832,0.06349182,-0.2604675,0.9633789,0.04780579,-0.2411957,0.9692841,0.002598846,0.002810715,True,True
2017687530,63786144527873,0.5524831,0.408823,0.4911312,0.4144659,-14.85495,2.571765,-0.6788756,0.01370018,0.9949341,0.09754913,-0.02006638,0,0,0,0,0,0,0,14.85355,-2.570218,0.6544674,-0.8860723,-0.4635459,-0.001012405,-0.02878493,0.001590302,-0.02655141,0.02598584,0.00150386,-0.02226489,0.0637207,-0.2611084,0.9631958,0.04820251,-0.2479401,0.9675598,0.002598511,0.00280957,True,True
2017695941,63786144527884,0.5530152,0.4102095,0.4917215,0.4127772,-14.85622,2.571774,-0.6791316,0.01321833,0.994924,0.09803717,-0.01844678,0,0,0,0,0,0,0,14.85482,-2.570239,0.6546972,-0.8862336,-0.4632377,-0.0009156578,-0.02878493,0.001567398,-0.02656009,0.02598712,0.001503174,-0.02230882,0.06513977,-0.2574158,0.9640961,0.0496521,-0.2524261,0.9663391,0.00258017,0.002808334,True,True
2017704213,63786144527884,0.5538289,0.4100063,0.4924074,0.4129061,-14.85622,2.571774,-0.6791316,0.01321833,0.994924,0.09803717,-0.01844678,0,0,0,0,0,0,0,14.85482,-2.570246,0.654692,-0.8862325,-0.4632399,-0.0009160016,-0.02878493,0.001554611,-0.02657045,0.02598891,0.001501617,-0.02230882,0.06719971,-0.2579193,0.9638214,0.05140686,-0.2520599,0.9663391,0.002579498,0.002832764,True,True
2017712791,63786144527896,0.5541103,0.4091253,0.4924195,0.4120737,-14.85758,2.571734,-0.6795599,0.01263256,0.9949306,0.09834735,-0.01677209,0,0,0,0,0,0,0,14.85618,-2.570208,0.6551132,-0.8864088,-0.4629025,-0.0007923006,-0.02878493,0.001552399,-0.0265846,0.0259906,0.001500687,-0.02230882,0.06787109,-0.2602386,0.96315,0.05140686,-0.2542725,0.9657593,0.002578995,0.00281308,True,True
2017720906,63786144527907,0.5544472,0.4073203,0.4935533,0.4115189,-14.85885,2.571715,-0.6798807,0.01220428,0.9949308,0.09866069,-0.01515846,0,0,0,0,0,0,0,14.85746,-2.570193,0.6554305,-0.8865775,-0.4625796,-0.000714392,-0.02878493,0.001545151,-0.0265846,0.02599368,0.001500275,-0.02231575,0.06863403,-0.2649841,0.961792,0.05427551,-0.2557068,0.9652252,0.002578339,0.002833054,True,True
2017729308,63786144527918,0.5560718,0.4067521,0.4942934,0.411687,-14.86007,2.571666,-0.680223,0.01191324,0.9949227,0.09898915,-0.01371614,0,0,0,0,0,0,0,14.85868,-2.570149,0.6557627,-0.8867278,-0.4622914,-0.0006706409,-0.02878481,0.001541748,-0.0265846,0.02599739,0.001493011,-0.02233604,0.07272339,-0.2664032,0.9611053,0.0561676,-0.2552338,0.9652405,0.002577667,0.00283313,True,True
2017737547,63786144527918,0.5555005,0.4072795,0.4939598,0.4119447,-14.86007,2.571666,-0.680223,0.01191324,0.9949227,0.09898915,-0.01371614,0,0,0,0,0,0,0,14.85869,-2.570158,0.6557627,-0.8867295,-0.4622882,-0.0006697502,-0.0287784,0.001531876,-0.0265846,0.02600232,0.001484558,-0.02233604,0.07130432,-0.2650452,0.9615936,0.05532837,-0.2545624,0.9654694,0.002578354,0.002832916,True,True
2017745894,63786144527930,0.5558918,0.4078508,0.49389,0.4106844,-14.86121,2.571694,-0.6804747,0.01155772,0.9949228,0.09923978,-0.01211076,0,0,0,0,0,0,0,14.85983,-2.570199,0.6560144,-0.8869047,-0.4619521,-0.00061205,-0.02877165,0.001522018,-0.0265846,0.02600497,0.001469269,-0.02233604,0.07232666,-0.2635193,0.9619293,0.05509949,-0.2579041,0.9645844,0.002578339,0.002837067,True,True
