OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
2027218997,63786144537441,Notruf_nach-links,Notruf_nach-links
2027235660,63786144537453,None,Notruf_nach-links
2027243991,63786144537464,None,Notruf_nach-links
2027252323,63786144537474,None,None
2027268986,63786144537488,None,Notruf_nach-links
2027277317,63786144537497,None,None
2027285649,63786144537507,None,Notruf_nach-links
2027302312,63786144537520,None,Notruf_nach-links
2027310643,63786144537530,None,Notruf_nach-links
2027318975,63786144537542,None,None
2027335638,63786144537552,None,None
2027343969,63786144537563,None,None
2027352301,63786144537575,None,None
2027368964,63786144537586,None,None
2027377296,63786144537597,None,None
2027385627,63786144537608,None,None
2027402290,63786144537620,None,Notruf_nach-links
2027410622,63786144537631,None,None
2027418953,63786144537642,None,None
2027435616,63786144537653,None,None
2027443948,63786144537665,None,None
2027452279,63786144537676,None,None
2027468942,63786144537692,None,None
2027477274,63786144537699,None,None
2027485605,63786144537704,None,None
2027493937,63786144537716,None,None
2027510600,63786144537727,None,None
2027518931,63786144537738,None,None
2027527263,63786144537749,None,None
2027535594,63786144537760,None,None
2027552258,63786144537771,None,None
2027560589,63786144537782,None,None
2027568921,63786144537793,None,None
2027585584,63786144537805,None,None
2027593915,63786144537816,None,None
2027610578,63786144537827,None,None
2027618910,63786144537838,None,None
2027627241,63786144537850,None,None
2027643904,63786144537861,None,None
2027652236,63786144537872,None,None
2027660567,63786144537883,None,None
2027677230,63786144537894,None,None
2027685562,63786144537906,None,None
2027693893,63786144537917,None,None
2027710557,63786144537928,None,None
2027718888,63786144537939,None,None
2027727220,63786144537950,None,None
2027743883,63786144537961,None,None
2027752214,63786144537973,None,None
2027760546,63786144537984,None,None
2027777209,63786144537995,None,None
2027785540,63786144538007,None,None
2027793872,63786144538018,None,None
2027810535,63786144538028,None,None
2027818866,63786144538039,None,None
2027827198,63786144538050,None,None
2027843861,63786144538062,None,None
2027852192,63786144538073,None,None
2027860524,63786144538085,None,None
2027877187,63786144538096,None,None
2027885519,63786144538108,None,None
2027902182,63786144538119,None,None
2027910513,63786144538130,None,None
2027918845,63786144538142,None,None
2027935508,63786144538153,None,None
2027943839,63786144538165,None,None
2027952171,63786144538176,None,None
2027968834,63786144538187,None,None
2027977165,63786144538199,None,None
2027985497,63786144538210,None,None
2028002160,63786144538222,None,None
2028010491,63786144538233,None,None
2028027154,63786144538245,None,None
2028035486,63786144538256,None,None
2028043818,63786144538267,None,None
2028060481,63786144538278,None,None
2028068812,63786144538290,None,None
2028077144,63786144538302,None,None
2028093807,63786144538312,None,None
2028102138,63786144538323,None,None
2028110470,63786144538334,None,None
2028127133,63786144538346,None,None
2028135464,63786144538357,None,None
2028143796,63786144538369,None,None
2028160459,63786144538379,None,None
2028168790,63786144538390,None,None
2028177122,63786144538401,None,None
2028193785,63786144538412,None,None
2028202116,63786144538424,None,None
2028210448,63786144538434,None,None
2028227111,63786144538446,None,None
2028235443,63786144538457,None,None
2028243774,63786144538468,None,None
2028260437,63786144538480,None,None
2028268769,63786144538491,None,None
2028285432,63786144538502,None,None
2028293763,63786144538513,None,None
2028302095,63786144538524,None,None
2028318758,63786144538536,None,None
2028327089,63786144538547,None,None
2028335421,63786144538558,None,None
2028352084,63786144538570,None,None
2028360415,63786144538580,None,None
2028368747,63786144538591,None,None
2028385410,63786144538602,None,None
2028393742,63786144538613,None,None
2028402073,63786144538626,None,None
2028418736,63786144538635,None,None
2028427068,63786144538647,None,None
