UnityTS,Heart,Breath,GSR
63786164545892,32000,30709,941
63786164545902,32177,30413,864
63786164545926,32314,30436,867
63786164545942,32376,30462,872
63786164545953,32408,30252,936
63786164545953,32388,30468,868
63786164545955,32304,30472,891
63786164545959,32202,30576,943
63786164545984,32044,30604,868
63786164545987,31861,30564,845
63786164545990,31652,30596,895
63786164545999,31455,30688,830
63786164546015,31268,30524,833
63786164546018,31108,30796,863
63786164546032,30968,30848,888
63786164546040,30868,31308,835
63786164546054,30770,31462,856
63786164546060,30673,32042,945
63786164545892,32000,30709,941
63786164545902,32177,30413,864
63786164545926,32314,30436,867
63786164545942,32376,30462,872
63786164545953,32408,30252,936
63786164545953,32388,30468,868
63786164545955,32304,30472,891
63786164545959,32202,30576,943
63786164545984,32044,30604,868
63786164545987,31861,30564,845
63786164545990,31652,30596,895
63786164545999,31455,30688,830
63786164546015,31268,30524,833
63786164546018,31108,30796,863
63786164546032,30968,30848,888
63786164546040,30868,31308,835
63786164546054,30770,31462,856
63786164546060,30673,32042,945
63786164546083,30580,32204,884
63786164546083,30496,32730,912
63786164546087,30480,33250,883
63786164546101,30605,33456,895
63786164546115,31008,33764,851
63786164546118,31765,33984,871
63786164546131,32854,34148,888
63786164546140,34154,34472,943
63786164546153,35490,34656,868
63786164546161,36688,34802,854
63786164546172,37684,34932,912
63786164546181,38424,34954,924
63786164546187,38901,34820,839
63786164546201,39120,35044,939
63786164546213,39068,35044,818
63786164546226,38808,35048,935
63786164546230,38380,35040,929
63786164546244,37816,35068,834
63786164546255,37182,35108,937
63786164546270,36506,35108,868
63786164546270,35816,35186,863
63786164546279,35132,35194,943
63786164546295,34450,34960,871
63786164546299,33812,35194,847
63786164546313,33238,35000,942
63786164546317,32788,34984,828
63786164546332,32480,35214,826
63786164546341,32352,35160,935
63786164546355,32342,35150,950
63786164546370,32432,35140,936
63786164546376,32588,35196,916
63786164546385,32789,35108,868
63786164546391,32996,34922,927
63786164546405,33164,35044,937
63786164546411,33290,35162,816
63786164546425,33348,35057,926
63786164546429,33332,35004,916
63786164546442,33256,35152,924
63786164546459,33106,35132,940
63786164546459,32909,35144,942
63786164546470,32692,34868,814
63786164546484,32444,35144,858
63786164546490,32194,35036,933
63786164546504,31933,34962,929
63786164546507,31666,35180,940
63786164546526,31432,34796,849
63786164546529,31204,34748,930
63786164546543,31020,34988,937
63786164546554,30836,34780,913
63786164546570,30672,34986,880
63786164546573,30512,34947,844
63786164546590,30364,34965,934
63786164546590,30260,34904,918
63786164546599,30184,34957,934
63786164546624,30182,35062,875
63786164546627,30312,35068,932
63786164546630,30686,34904,919
63786164546639,31392,34852,884
63786164546650,32416,34780,852
63786164546664,33616,34800,874
63786164546668,34812,34456,926
63786164546681,35906,34612,891
63786164546692,36792,34314,889
63786164546705,37428,34440,893
63786164546720,37802,34432,848
63786164546720,37930,34354,849
63786164546731,37832,34324,861
63786164546740,37556,34284,885
63786164546753,37128,34234,818
63786164546760,36602,34197,929
63786164546784,36012,34108,826
63786164546784,35400,34124,882
63786164546790,34770,34124,865
63786164546804,34144,33902,903
63786164546807,33504,34098,872
63786164546826,32892,33872,801
63786164546832,32342,34082,860
63786164546846,31908,34168,934
63786164546850,31628,33952,934
63786164546866,31472,34213,871
63786164546869,31424,34184,917
63786164546881,31476,34034,880
63786164546893,31584,34072,923
63786164546910,31714,34129,807
63786164546910,31866,34352,935
63786164546924,32004,34496,882
63786164546928,32116,34576,885
63786164546942,32194,34676,907
63786164546950,32236,34744,883
63786164546959,32216,34908,923
63786164546970,32168,34816,896
63786164546979,32092,35008,934
63786164546989,31992,34962,884
63786164547005,31864,34948,874
63786164547008,31712,34977,915
63786164547022,31556,35030,849
63786164547050,31402,35040,931
63786164547050,31258,35156,901
63786164547052,31124,35040,915
63786164547061,31000,35096,800
63786164547070,30884,35150,903
63786164545892,32000,30709,941
63786164545902,32177,30413,864
63786164545926,32314,30436,867
63786164545942,32376,30462,872
63786164545953,32408,30252,936
63786164545953,32388,30468,868
63786164545955,32304,30472,891
63786164545959,32202,30576,943
63786164545984,32044,30604,868
63786164545987,31861,30564,845
63786164545990,31652,30596,895
63786164545999,31455,30688,830
63786164546015,31268,30524,833
63786164546018,31108,30796,863
63786164546032,30968,30848,888
63786164546040,30868,31308,835
63786164546054,30770,31462,856
63786164546060,30673,32042,945
63786164546083,30580,32204,884
63786164546083,30496,32730,912
63786164546087,30480,33250,883
63786164546101,30605,33456,895
63786164546115,31008,33764,851
63786164546118,31765,33984,871
63786164546131,32854,34148,888
63786164546140,34154,34472,943
63786164546153,35490,34656,868
63786164546161,36688,34802,854
63786164546172,37684,34932,912
63786164546181,38424,34954,924
63786164546187,38901,34820,839
63786164546201,39120,35044,939
63786164546213,39068,35044,818
63786164546226,38808,35048,935
63786164546230,38380,35040,929
63786164546244,37816,35068,834
63786164546255,37182,35108,937
63786164546270,36506,35108,868
63786164546270,35816,35186,863
63786164546279,35132,35194,943
63786164546295,34450,34960,871
63786164546299,33812,35194,847
63786164546313,33238,35000,942
63786164546317,32788,34984,828
63786164546332,32480,35214,826
63786164546341,32352,35160,935
63786164546355,32342,35150,950
63786164546370,32432,35140,936
63786164546376,32588,35196,916
63786164546385,32789,35108,868
63786164546391,32996,34922,927
63786164546405,33164,35044,937
63786164546411,33290,35162,816
63786164546425,33348,35057,926
63786164546429,33332,35004,916
63786164546442,33256,35152,924
63786164546459,33106,35132,940
63786164546459,32909,35144,942
63786164546470,32692,34868,814
63786164546484,32444,35144,858
63786164546490,32194,35036,933
63786164546504,31933,34962,929
63786164546507,31666,35180,940
63786164546526,31432,34796,849
63786164546529,31204,34748,930
63786164546543,31020,34988,937
63786164546554,30836,34780,913
63786164546570,30672,34986,880
63786164546573,30512,34947,844
63786164546590,30364,34965,934
63786164546590,30260,34904,918
63786164546599,30184,34957,934
63786164546624,30182,35062,875
63786164546627,30312,35068,932
63786164546630,30686,34904,919
63786164546639,31392,34852,884
63786164546650,32416,34780,852
63786164546664,33616,34800,874
63786164546668,34812,34456,926
63786164546681,35906,34612,891
63786164546692,36792,34314,889
63786164546705,37428,34440,893
63786164546720,37802,34432,848
63786164546720,37930,34354,849
63786164546731,37832,34324,861
63786164546740,37556,34284,885
63786164546753,37128,34234,818
63786164546760,36602,34197,929
63786164546784,36012,34108,826
63786164546784,35400,34124,882
63786164546790,34770,34124,865
63786164546804,34144,33902,903
63786164546807,33504,34098,872
63786164546826,32892,33872,801
63786164546832,32342,34082,860
63786164546846,31908,34168,934
63786164546850,31628,33952,934
63786164546866,31472,34213,871
63786164546869,31424,34184,917
63786164546881,31476,34034,880
