OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valL,valR
13749688092,63778385195860,0.4431625,0.5142466,0.3350578,0.5189396,-15.15339,2.210089,-1.733679,-0.04635841,-0.7196918,0.0599439,-0.690146,0,0,0,0,0,0,0,15.14979,-2.208045,1.709236,-0.02412074,-0.2494797,-0.9680796,-0.03373772,0.002489578,-0.02586835,0.02651779,0.001599503,-0.02301753,-0.2180176,0.03840637,0.975174,-0.341156,0.04785156,0.9387817,True,True
13749696392,63778385195885,0.4418504,0.5139902,0.3348417,0.5182835,-15.15339,2.210109,-1.733684,-0.04637529,-0.7197011,0.0599701,-0.6901329,0,0,0,0,0,0,0,15.14978,-2.208079,1.709279,-0.02413522,-0.2494874,-0.9680772,-0.03373849,0.002460922,-0.02579126,0.02651617,0.001599503,-0.02301753,-0.2212524,0.03764343,0.9744873,-0.3416595,0.04603577,0.9386902,True,True
13749704711,63778385195885,0.4412376,0.5142879,0.3347139,0.5180748,-15.15339,2.210109,-1.733684,-0.04637529,-0.7197011,0.0599701,-0.6901329,0,0,0,0,0,0,0,15.14978,-2.208087,1.709295,-0.02413759,-0.2494869,-0.9680774,-0.03373883,0.002447159,-0.0257606,0.02651382,0.001597656,-0.02301753,-0.2227478,0.03848267,0.9741058,-0.3419495,0.04545593,0.9386139,True,True
13749713077,63778385195897,0.4408067,0.5143872,0.3348021,0.5185112,-15.15338,2.210069,-1.733656,-0.04649824,-0.7197148,0.05993247,-0.6901135,0,0,0,0,0,0,0,15.14977,-2.208066,1.709307,-0.02415586,-0.2494853,-0.9680772,-0.0337391,0.002415878,-0.0256803,0.0265112,0.001590134,-0.02301753,-0.2238007,0.03875732,0.9738464,-0.3417358,0.04666138,0.9386292,True,True
13749721436,63778385195907,0.4410186,0.5143696,0.3349562,0.5191516,-15.15344,2.210019,-1.7336,-0.04643309,-0.7196843,0.05987824,-0.6901545,0,0,0,0,0,0,0,15.14983,-2.208026,1.709265,-0.0241286,-0.2494695,-0.9680821,-0.03374223,0.002403595,-0.02565178,0.02650891,0.001582245,-0.02301753,-0.2232819,0.03871155,0.9739685,-0.3413696,0.0484314,0.9386749,True,True
13749729741,63778385195915,0.4409014,0.5165559,0.3345653,0.5192074,-15.15345,2.210037,-1.733568,-0.04650769,-0.7196229,0.05982921,-0.6902178,0,0,0,0,0,0,0,15.14983,-2.208064,1.709236,-0.02413451,-0.249431,-0.9680917,-0.03374359,0.002369888,-0.02565178,0.02650746,0.001575714,-0.02301408,-0.2235107,0.04496765,0.9736481,-0.3422241,0.04856873,0.9383545,True,True
13749738130,63778385195922,0.4409009,0.5161079,0.3348077,0.5188769,-15.15341,2.210067,-1.733499,-0.04653467,-0.7195883,0.05976652,-0.6902574,0,0,0,0,0,0,0,15.14979,-2.208098,1.709167,-0.0241251,-0.2494155,-0.968096,-0.03374727,0.002364822,-0.02565178,0.02650404,0.001573135,-0.02301189,-0.223526,0.04368591,0.9737091,-0.3417053,0.04766846,0.9385834,True,True
13749746307,63778385195930,0.4411496,0.5161164,0.334744,0.5186007,-15.15341,2.210071,-1.733422,-0.04661791,-0.7195644,0.05948708,-0.6903008,0,0,0,0,0,0,0,15.14979,-2.208105,1.709097,-0.02407794,-0.2493899,-0.9681038,-0.03374989,0.002360519,-0.02565178,0.02650113,0.00157193,-0.02299924,-0.2229156,0.04371643,0.9738464,-0.3418579,0.04690552,0.9385681,True,True
13749754708,63778385195939,0.4415998,0.5147963,0.3344268,0.5191374,-15.1534,2.21008,-1.733403,-0.04657088,-0.7194709,0.05933325,-0.6904147,0,0,0,0,0,0,0,15.14977,-2.208119,1.709077,-0.02403236,-0.2493473,-0.9681159,-0.03375093,0.002360519,-0.02565178,0.02649904,0.001562088,-0.02299924,-0.2218475,0.03994751,0.9742584,-0.3425293,0.04837036,0.9382477,True,True
13749763025,63778385195950,0.4417841,0.5137511,0.334739,0.5191384,-15.1534,2.210082,-1.733333,-0.04671468,-0.7193977,0.05916394,-0.6904958,0,0,0,0,0,0,0,15.14977,-2.208124,1.709014,-0.02402224,-0.2493082,-0.9681262,-0.03375659,0.002360519,-0.02565178,0.02649588,0.001553925,-0.02298784,-0.2214203,0.03695679,0.974472,-0.3418427,0.04838562,0.9384918,True,True
