UnityTS,Heart,Breath,GSR
63784773551006,32789,35656,85
63784773551020,32800,35552,92
63784773551006,32789,35656,85
63784773551020,32800,35552,92
63784773551022,32820,35836,85
63784773551041,32815,35972,88
63784773551049,32812,36049,93
63784773551051,32824,36332,103
63784773551067,32842,36660,85
63784773551070,32824,36928,92
63784773551086,32828,36940,92
63784773551092,32804,37434,86
63784773551113,32808,37976,92
63784773551117,32800,38232,85
63784773551129,32810,38516,73
63784773551139,32816,38824,68
63784773551169,32820,39090,95
63784773551172,32808,39316,91
63784773551174,32813,39460,85
63784773551177,32802,39504,91
63784773551185,32800,39729,89
63784773551191,32796,39857,90
63784773551205,32800,40062,88
63784773551211,32778,40232,86
63784773551225,32784,40708,90
63784773551235,32760,41008,90
63784773551241,32764,41024,103
63784773551252,32774,41044,88
63784773551261,32768,41564,89
63784773551280,32765,41644,100
63784773551288,32768,42012,89
63784773551292,32762,42248,89
63784773551301,32775,42300,89
63784773551312,32772,42688,89
63784773551321,32768,42828,85
63784773551341,32764,42844,90
63784773551346,32756,43072,102
63784773551350,32760,43208,85
63784773551366,32772,43516,85
63784773551368,32768,43660,90
63784773551382,32778,43728,83
63784773551395,32773,43824,86
63784773551404,32772,43800,82
63784773551417,32757,44288,87
63784773551421,32759,44216,67
63784773551432,32768,44480,82
63784773551446,32772,44588,83
63784773551452,32774,44504,82
63784773551466,32786,44600,88
63784773551482,32772,44791,89
63784773551485,32784,44946,90
63784773551491,32788,44856,81
63784773551520,32788,44962,87
63784773551520,32788,45116,84
63784773551522,32787,45140,90
63784773551531,32792,45308,83
63784773551548,32776,45544,83
63784773551551,32776,45429,71
63784773551574,32769,45612,84
63784773551574,32784,45624,94
63784773551577,32772,45976,85
63784773551593,32762,45896,88
63784773551602,32768,45948,83
63784773551621,32768,46200,81
63784773551624,32769,46229,86
63784773551630,32764,46392,69
63784773551644,32769,46408,86
63784773551654,32772,46695,89
63784773551662,32776,46548,90
63784773551674,32772,46640,79
63784773551685,32764,46832,97
63784773551687,32776,46892,89
63784773551701,32776,46868,88
63784773551712,32768,47088,84
63784773551721,32772,47136,88
63784773551735,32770,47304,83
63784773551741,32770,47568,88
63784773551760,32772,47492,85
63784773551765,32774,47418,86
63784773551768,32771,47572,82
63784773551802,32776,47612,84
63784773551805,32770,47620,87
63784773551807,32770,47352,86
63784773551810,32772,47656,88
63784773551824,32789,47912,91
63784773551835,32788,47673,89
63784773551844,32785,47748,88
63784773551850,32792,47621,88
63784773551864,32780,47686,89
63784773551875,32788,47604,90
63784773551881,32780,47844,86
63784773551895,32793,47884,83
63784773551904,32784,47816,88
63784773551910,32796,47780,83
63784773551924,32794,47852,101
63784773551944,32774,47794,89
63784773551946,32770,47866,72
63784773551955,32761,47726,88
63784773551959,32764,47656,88
63784773551979,32764,47600,90
63784773551981,32764,47504,90
63784773551997,32774,47393,56
63784773552003,32775,47424,87
63784773552024,32766,47344,94
63784773552024,32773,47320,89
