OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valL,valR
22858971201,63784773733954,0.5051419,0.5097468,0.4191511,0.5149096,-14.81275,1.995933,-0.4718317,0.007799671,0.9967135,-0.04225356,0.06867314,0,0,0,0,0,0,0,14.81045,-1.996189,0.4527678,-0.02899627,-0.9995763,0.002521443,-0.03025743,-0.001053314,-0.0192859,0.02566897,0.0005421753,-0.01884193,-0.05918884,0.02607727,0.9978943,-0.139267,0.03871155,0.9894867,0.002854065,0.003113236,True,True
22858979479,63784773733954,0.5052057,0.5097778,0.4184138,0.5149605,-14.81275,1.995933,-0.4718317,0.007799671,0.9967135,-0.04225356,0.06867314,0,0,0,0,0,0,0,14.81045,-1.996191,0.4527712,-0.02900132,-0.9995762,0.002520917,-0.03025992,-0.0010569,-0.01928108,0.02566897,0.0005410309,-0.01883981,-0.059021,0.02616882,0.9979095,-0.1411591,0.03884888,0.989212,0.002860794,0.003110825,True,True
22858988169,63784773733954,0.5052807,0.5099544,0.4183073,0.5148875,-14.81275,1.995933,-0.4718317,0.007799671,0.9967135,-0.04225356,0.06867314,0,0,0,0,0,0,0,14.81045,-1.996195,0.4527815,-0.02900157,-0.9995762,0.002520867,-0.03026396,-0.001064011,-0.01926686,0.02566897,0.0005406037,-0.01883351,-0.05882263,0.02668762,0.9979095,-0.1414337,0.03863525,0.9891815,0.002863464,0.003110306,True,True
22858996136,63784773733954,0.5052295,0.5093207,0.417313,0.5150133,-14.81275,1.995933,-0.4718317,0.007799671,0.9967135,-0.04225356,0.06867314,0,0,0,0,0,0,0,14.81045,-1.996197,0.4527866,-0.02900928,-0.999576,0.002520202,-0.03026518,-0.001064011,-0.01926686,0.02566897,0.0005372619,-0.01882335,-0.05895996,0.02482605,0.9979401,-0.1439819,0.03898621,0.9888,0.002860367,0.003101746,True,True
22859004539,63784773733954,0.5055077,0.5091281,0.4162946,0.5150815,-14.81275,1.995933,-0.4718317,0.007799671,0.9967135,-0.04225356,0.06867314,0,0,0,0,0,0,0,14.81045,-1.996194,0.4527816,-0.02901474,-0.9995758,0.00251967,-0.03026904,-0.0010569,-0.01928108,0.02566754,0.000534317,-0.01881915,-0.05822754,0.02426147,0.9980011,-0.1465912,0.03916931,0.9884186,0.002859894,0.003099503,True,True
22859012714,63784773734013,0.5051956,0.5088739,0.4095688,0.5099874,-14.81279,1.995882,-0.4718919,0.007683588,0.9967052,-0.0424799,0.06866719,0,0,0,0,0,0,0,14.81049,-1.996339,0.4537001,-0.02921104,-0.9995698,0.002602553,-0.03027353,-0.001055328,-0.0192859,0.02566435,0.0001423187,-0.01709763,-0.05905151,0.02351379,0.9979706,-0.1638184,0.02430725,0.9861755,0.00285965,0.003133972,True,True
22859021228,63784773734019,0.5052132,0.5087907,0.4087309,0.5092216,-14.81287,1.995871,-0.4721471,0.006758152,0.996717,-0.04297786,0.06828167,0,0,0,0,0,0,0,14.81056,-1.996327,0.4539733,-0.02949752,-0.9995596,0.003228889,-0.03027713,-0.001054169,-0.0192943,0.02566116,0.0001423187,-0.01705325,-0.05900574,0.02326965,0.9979858,-0.1659546,0.02207947,0.9858704,0.002859405,0.003134125,True,True
22859029325,63784773734029,0.5052132,0.5085935,0.4081421,0.5092497,-14.81275,1.995842,-0.4722317,0.006513637,0.9967154,-0.04303681,0.06829157,0,0,0,0,0,0,0,14.81044,-1.996298,0.4540548,-0.02953029,-0.9995581,0.003394186,-0.03027823,-0.001054169,-0.0193007,0.02566116,0.0001423187,-0.01705325,-0.05900574,0.02268982,0.9979858,-0.16745,0.02215576,0.9856262,0.0028517,0.003133743,True,True
22859037928,63784773734038,0.5045015,0.508402,0.408106,0.5092025,-14.81267,1.99585,-0.4722755,0.006360784,0.9967172,-0.04297344,0.06831955,0,0,0,0,0,0,0,14.81036,-1.996305,0.4540954,-0.02948764,-0.999559,0.00349334,-0.03028012,-0.00105336,-0.01930693,0.02566116,0.0001423187,-0.01705325,-0.06088257,0.02212524,0.9978943,-0.1675415,0.02201843,0.985611,0.002850952,0.00313414,True,True
22859046035,63784773734038,0.5040796,0.507665,0.4080875,0.50925,-14.81267,1.99585,-0.4722755,0.006360784,0.9967172,-0.04297344,0.06831955,0,0,0,0,0,0,0,14.81036,-1.996305,0.454094,-0.02949082,-0.999559,0.00349306,-0.0302825,-0.001053314,-0.01930975,0.02566116,0.0001423187,-0.01705325,-0.06199646,0.0199585,0.9978638,-0.1675873,0.02215576,0.9855957,0.002843521,0.00313208,True,True
22859054745,63784773734050,0.504416,0.5073737,0.4080641,0.5091974,-14.81254,1.99587,-0.4723234,0.006474798,0.9966966,-0.0429283,0.06863837,0,0,0,0,0,0,0,14.81023,-1.996325,0.4541416,-0.02947051,-0.9995598,0.003425398,-0.03029051,-0.001052521,-0.01931038,0.02566116,0.0001423187,-0.01705325,-0.06111145,0.019104,0.9979401,-0.1676483,0.02200317,0.9855957,0.002837219,0.003134033,True,True
22859062795,63784773734061,0.5040857,0.5073897,0.4061295,0.5091987,-14.81243,1.995841,-0.4723823,0.006583052,0.9966921,-0.04282974,0.06875345,0,0,0,0,0,0,0,14.81011,-1.996296,0.4542004,-0.02942931,-0.9995613,0.003350436,-0.030295,-0.001052521,-0.01931061,0.02566116,0.0001423187,-0.01705325,-0.0619812,0.01914978,0.997879,-0.1725464,0.02198792,0.9847412,0.002832962,0.003131912,True,True
