OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valL,valR
1165324640,63784845042510,0.5207198,0.4954472,0.4723136,0.5000232,-14.84447,2.300082,-0.08122402,-0.00625674,0.9998401,-0.01272399,-0.01088932,0,0,0,0,0,0,0,14.84337,-2.298507,0.06017188,-0.003672909,-0.4513894,-0.8923195,-0.02883472,0.001130203,-0.02213318,0.0266326,0.00201915,-0.0199711,-0.01802063,-0.01597595,0.9996948,0,-0.004653931,0.9999847,0.003203049,0.00346875,True,True
1165332802,63784845042510,0.5209561,0.4957947,0.4718237,0.5000491,-14.84447,2.300082,-0.08122402,-0.00625674,0.9998401,-0.01272399,-0.01088932,0,0,0,0,0,0,0,14.84337,-2.298506,0.06017008,-0.003673747,-0.4513883,-0.8923201,-0.0288372,0.00113089,-0.02213324,0.02663181,0.002020828,-0.01997464,-0.01739502,-0.01495361,0.9997253,-0.001296997,-0.004577637,0.9999847,0.003214966,0.003490402,True,True
1165341137,63784845042510,0.5209446,0.4958465,0.4718122,0.5000439,-14.84447,2.300082,-0.08122402,-0.00625674,0.9998401,-0.01272399,-0.01088932,0,0,0,0,0,0,0,14.84336,-2.298507,0.06017008,-0.003673824,-0.4513882,-0.8923202,-0.02883797,0.001130203,-0.02213324,0.0266317,0.002020828,-0.01997464,-0.01742554,-0.01480103,0.9997253,-0.001327515,-0.004592896,0.9999847,0.003216568,0.003493118,True,True
1165349637,63784845042510,0.520985,0.4959968,0.4717949,0.5001218,-14.84447,2.300082,-0.08122402,-0.00625674,0.9998401,-0.01272399,-0.01088932,0,0,0,0,0,0,0,14.84336,-2.298507,0.06016617,-0.003673749,-0.4513875,-0.8923205,-0.02883833,0.00113089,-0.02214107,0.02663167,0.002019913,-0.01997464,-0.01731873,-0.01435852,0.9997406,-0.001373291,-0.004364014,0.9999847,0.003231079,0.003513275,True,True
1165357820,63784845042548,0.5210483,0.4960176,0.4721407,0.5001737,-14.84446,2.300081,-0.08121681,-0.006269215,0.9998403,-0.01270317,-0.01089239,0,0,0,0,0,0,0,14.84336,-2.298505,0.06015896,-0.003666512,-0.4513895,-0.8923196,-0.02883853,0.00113089,-0.02214107,0.02663167,0.002019913,-0.01997464,-0.01715088,-0.01429749,0.9997406,-0.0004577637,-0.004211426,0.9999847,0.003252472,0.003533051,True,True
1165366273,63784845042554,0.5211636,0.4960798,0.4721119,0.5000595,-14.84442,2.300098,-0.08123136,-0.006051577,0.9998476,-0.01247234,-0.01061366,0,0,0,0,0,0,0,14.84331,-2.298523,0.0601735,-0.003599142,-0.4513029,-0.8923635,-0.02883995,0.001130188,-0.02214107,0.02663167,0.002019913,-0.01997464,-0.0168457,-0.01411438,0.9997559,-0.0005340576,-0.004547119,0.9999847,0.003252411,0.003550262,True,True
1165374716,63784845042564,0.5211751,0.4961679,0.4722617,0.5000439,-14.84443,2.300147,-0.08124363,-0.005874933,0.9998522,-0.01240776,-0.01034703,0,0,0,0,0,0,0,14.84332,-2.298573,0.06018786,-0.003579176,-0.4512229,-0.8924041,-0.02883995,0.001128113,-0.0221369,0.02663167,0.002019913,-0.01997464,-0.01681519,-0.01385498,0.9997559,-0.0001373291,-0.004592896,0.9999847,0.003254425,0.003550781,True,True
1165382890,63784845042572,0.5213307,0.4962094,0.4721061,0.499442,-14.84433,2.300069,-0.0811317,-0.00577119,0.9998549,-0.01228723,-0.01028837,0,0,0,0,0,0,0,14.84322,-2.298495,0.06007592,-0.003544312,-0.4512,-0.8924158,-0.02884013,0.001128113,-0.0221369,0.02663167,0.002019913,-0.01997464,-0.0164032,-0.01373291,0.9997559,-0.0005493164,-0.006362915,0.9999695,0.003274368,0.003559876,True,True
1165391110,63784845042572,0.5213422,0.4962198,0.4722444,0.4993642,-14.84433,2.300069,-0.0811317,-0.00577119,0.9998549,-0.01228723,-0.01028837,0,0,0,0,0,0,0,14.84322,-2.298495,0.06007667,-0.003543818,-0.4512002,-0.8924157,-0.02884013,0.001128113,-0.0221369,0.02663167,0.002019913,-0.01997316,-0.01637268,-0.01370239,0.9997711,-0.0001831055,-0.006591797,0.9999695,0.003279129,0.003562302,True,True
1165399771,63784845042583,0.521342,0.4957221,0.4722329,0.4993434,-14.84443,2.30008,-0.08108908,-0.005677535,0.9998583,-0.01215659,-0.0101693,0,0,0,0,0,0,0,14.84332,-2.298507,0.06003579,-0.003506084,-0.4511647,-0.8924338,-0.02884013,0.001127777,-0.0221369,0.02663167,0.002017959,-0.01996968,-0.01637268,-0.01516724,0.9997406,-0.000213623,-0.006652832,0.9999695,0.003281708,0.003573608,True,True
1165407744,63784845042594,0.5213077,0.4964012,0.4722329,0.4991826,-14.84442,2.300109,-0.08107954,-0.005631765,0.9998584,-0.0122705,-0.01004713,0,0,0,0,0,0,0,14.84331,-2.298537,0.06002364,-0.003538397,-0.4511301,-0.8924512,-0.02884013,0.001128113,-0.02214229,0.02663167,0.002017792,-0.01996951,-0.01646423,-0.01316833,0.9997711,-0.000213623,-0.007125854,0.9999695,0.003297348,0.003573456,True,True
1165416252,63784845042605,0.5213826,0.4964116,0.4721868,0.4991047,-14.84443,2.300126,-0.08109361,-0.005561045,0.9998605,-0.01225764,-0.0098913,0,0,0,0,0,0,0,14.84333,-2.298553,0.06003756,-0.003534198,-0.4510872,-0.8924729,-0.02884013,0.001128113,-0.02214243,0.02663209,0.002017792,-0.01996968,-0.01626587,-0.01313782,0.9997711,-0.0003356934,-0.007354736,0.9999695,0.003302124,0.003583511,True,True
1165424507,63784845042605,0.5213825,0.4958051,0.472279,0.4991514,-14.84443,2.300126,-0.08109361,-0.005561045,0.9998605,-0.01225764,-0.0098913,0,0,0,0,0,0,0,14.84333,-2.298553,0.06003692,-0.00353389,-0.4510889,-0.8924721,-0.02884013,0.001129257,-0.02214386,0.0266326,0.002016998,-0.01996951,-0.01626587,-0.0149231,0.9997559,-9.155273E-05,-0.007217407,0.9999695,0.003301483,0.003594452,True,True
1165433025,63784845042616,0.5216762,0.4957792,0.4726479,0.4993331,-14.84432,2.300124,-0.08116955,-0.005290658,0.9998642,-0.01224646,-0.009673631,0,0,0,0,0,0,0,14.84322,-2.298553,0.06011277,-0.003527292,-0.4510089,-0.8925125,-0.02883995,0.001128113,-0.02214561,0.02663483,0.002014374,-0.01996793,-0.01548767,-0.01499939,0.9997559,0.0008850098,-0.00668335,0.9999695,0.003304321,0.003600784,True,True
1165441143,63784845042627,0.5216703,0.4954838,0.4726306,0.4990736,-14.84427,2.300133,-0.0811308,-0.004901481,0.999868,-0.0121877,-0.009558653,0,0,0,0,0,0,0,14.84317,-2.298561,0.06007479,-0.003509077,-0.4509411,-0.8925468,-0.02883986,0.001129257,-0.02214618,0.02663493,0.002014176,-0.01996585,-0.01550293,-0.01586914,0.9997406,0.0008392334,-0.007446289,0.9999695,0.003306702,0.003601807,True,True
1165449498,63784845042639,0.5217684,0.4957845,0.4724692,0.4993175,-14.8443,2.300161,-0.0810917,-0.004795716,0.9998692,-0.01225141,-0.009409538,0,0,0,0,0,0,0,14.84319,-2.298591,0.06003466,-0.003526954,-0.4508938,-0.8925707,-0.02883968,0.001129257,-0.02214867,0.02663658,0.002010422,-0.01996542,-0.01524353,-0.01498413,0.9997711,0.0004119873,-0.006729126,0.9999695,0.003318314,0.003618149,True,True
1165457851,63784845042639,0.5216416,0.4955719,0.4724923,0.4993019,-14.8443,2.300161,-0.0810917,-0.004795716,0.9998692,-0.01225141,-0.009409538,0,0,0,0,0,0,0,14.8432,-2.298592,0.06003586,-0.003527294,-0.4508945,-0.8925703,-0.02883917,0.001128967,-0.02214867,0.0266376,0.002009247,-0.01996301,-0.01557922,-0.01560974,0.9997559,0.0004730225,-0.006774902,0.9999695,0.003318756,0.003619095,True,True
1165466351,63784845042650,0.5216531,0.4955564,0.4724635,0.4994316,-14.84435,2.300161,-0.0810895,-0.004942687,0.9998707,-0.01214828,-0.009309405,0,0,0,0,0,0,0,14.84325,-2.298594,0.06003461,-0.00349836,-0.4508882,-0.8925735,-0.02883826,0.001129257,-0.02214984,0.02663997,0.002005539,-0.01995993,-0.01554871,-0.01565552,0.9997559,0.0003967285,-0.006393433,0.9999695,0.003318726,0.003625366,True,True
1165474501,63784845042661,0.521607,0.4955874,0.4724404,0.4994109,-14.84433,2.300183,-0.08106565,-0.005062055,0.9998723,-0.01207229,-0.009161323,0,0,0,0,0,0,0,14.84323,-2.298616,0.06001198,-0.003477185,-0.4508683,-0.8925837,-0.02883762,0.001128967,-0.02214984,0.02664047,0.002005524,-0.01995751,-0.01567078,-0.01556396,0.9997406,0.0003356934,-0.006454468,0.9999695,0.003321472,0.003634369,True,True
1165482836,63784845042672,0.5213881,0.4955978,0.4724404,0.4994161,-14.84427,2.300153,-0.08108836,-0.005119797,0.9998727,-0.01204077,-0.009131109,0,0,0,0,0,0,0,14.84317,-2.298587,0.06003484,-0.003469085,-0.450868,-0.8925839,-0.02883608,0.001128967,-0.02214984,0.02664087,0.002003723,-0.0199572,-0.01625061,-0.01553345,0.9997406,0.0003356934,-0.006439209,0.9999695,0.003321518,0.003634491,True,True
1165491166,63784845042672,0.5213478,0.4956703,0.4723943,0.4990892,-14.84427,2.300153,-0.08108836,-0.005119797,0.9998727,-0.01204077,-0.009131109,0,0,0,0,0,0,0,14.84317,-2.298587,0.06003662,-0.003469368,-0.4508687,-0.8925835,-0.02883539,0.001128113,-0.02214984,0.02664229,0.002003418,-0.01995364,-0.01635742,-0.01531982,0.9997406,0.000213623,-0.007400513,0.9999695,0.003327255,0.003650955,True,True
1165499598,63784845042684,0.521273,0.4956962,0.4722329,0.4988919,-14.84433,2.300176,-0.08110482,-0.005083757,0.9998748,-0.01194551,-0.009040859,0,0,0,0,0,0,0,14.84324,-2.29861,0.06005405,-0.00344275,-0.450845,-0.8925956,-0.02883452,0.001127777,-0.02214984,0.02664413,0.002002579,-0.01995169,-0.01655579,-0.01524353,0.9997406,-0.000213623,-0.007980347,0.9999542,0.003327179,0.003660263,True,True
