OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide
9944800696,63784853821911,None,None
9944809028,63784853821921,None,None
9944809028,63784853821925,None,None
9944817359,63784853821930,None,None
9944825691,63784853821937,None,None
9944834022,63784853821947,None,None
9944842354,63784853821958,None,None
9944859017,63784853821970,None,None
9944867348,63784853821981,None,None
9944875680,63784853821992,None,None
9944892343,63784853822004,None,None
9944900674,63784853822015,None,None
9944909006,63784853822026,None,None
9944925669,63784853822037,None,None
9944934001,63784853822048,None,None
9944942332,63784853822059,None,None
9944958995,63784853822070,None,None
9944967327,63784853822081,None,None
9944975658,63784853822092,None,None
9944992321,63784853822103,None,None
9945000653,63784853822115,None,None
9945008984,63784853822126,None,None
9945025647,63784853822137,None,None
9945033979,63784853822148,None,None
9945042310,63784853822159,None,None
9945058973,63784853822171,None,None
9945067305,63784853822182,None,None
9945075637,63784853822193,None,None
9945092300,63784853822204,None,None
9945100631,63784853822216,None,None
9945117294,63784853822227,None,None
9945125626,63784853822238,None,None
9945133957,63784853822249,None,None
9945150620,63784853822261,None,None
9945158952,63784853822272,None,None
9945167283,63784853822283,None,None
9945183946,63784853822294,None,None
9945192278,63784853822305,None,None
9945200609,63784853822316,None,None
9945217272,63784853822328,None,None
9945225604,63784853822339,None,None
9945233935,63784853822350,None,None
9945250599,63784853822360,None,None
9945258930,63784853822372,None,None
9945267262,63784853822384,None,None
9945283925,63784853822394,None,None
9945292256,63784853822406,None,None
9945300588,63784853822416,None,None
9945317251,63784853822428,None,None
9945325582,63784853822439,None,None
9945333914,63784853822450,None,None
9945350577,63784853822462,None,None
9945358908,63784853822473,None,None
9945367240,63784853822483,None,None
9945383903,63784853822495,None,None
9945392234,63784853822506,None,None
9945400566,63784853822517,None,None
9945417229,63784853822528,None,None
9945425561,63784853822540,None,None
9945433892,63784853822550,None,None
9945450555,63784853822562,None,None
9945458887,63784853822573,None,None
9945467218,63784853822584,None,None
9945483881,63784853822595,None,None
9945492213,63784853822607,None,None
9945508876,63784853822622,None,None
9945517207,63784853822635,None,None
9945533870,63784853822645,None,None
9945542202,63784853822656,None,None
9945550533,63784853822667,None,None
9945567196,63784853822679,None,None
9945575528,63784853822690,None,None
9945583860,63784853822702,None,None
9945583860,63784853822713,None,None
9945583860,63784853822724,None,None
9945583860,63784853822735,None,None
9945583860,63784853822746,None,None
9945583860,63784853822757,None,None
9945583860,63784853822768,None,None
9945583860,63784853822779,None,None
9945583860,63784853822790,None,None
9945683838,63784853822801,None,None
9945700501,63784853822812,None,None
9945708832,63784853822823,None,None
9945717164,63784853822834,None,None
9945733827,63784853822846,None,None
9945742159,63784853822857,None,None
9945750490,63784853822868,None,None
9945767153,63784853822879,None,None
9945775485,63784853822890,None,None
9945783816,63784853822902,None,None
9945800479,63784853822913,None,None
9945808811,63784853822924,None,None
9945825474,63784853822935,None,None
9945833805,63784853822947,None,None
9945842137,63784853822957,None,None
9945858800,63784853822969,None,None
9945867131,63784853822980,None,None
9945875463,63784853822992,None,None
9945892126,63784853823004,None,None
9945900457,63784853823014,None,None
9945908789,63784853823025,None,None
9945925452,63784853823036,None,None
9945933784,63784853823048,None,None
9945942115,63784853823059,None,None
9945958778,63784853823069,None,None
9945967110,63784853823081,None,None
9945975441,63784853823091,None,None
9945992104,63784853823103,None,None
9946000436,63784853823114,None,None
9946008767,63784853823125,None,None
9946025430,63784853823137,None,None
9946033762,63784853823148,None,None
9946042093,63784853823159,None,None
9946058756,63784853823170,None,None
9946067088,63784853823181,None,None
9946075420,63784853823192,None,None
9946092083,63784853823204,None,None
9946100414,63784853823215,None,None
9946108746,63784853823226,None,None
9946125409,63784853823238,None,None
9946133740,63784853823249,None,None
9946142072,63784853823260,None,None
9946158735,63784853823271,None,None
9946167066,63784853823282,None,None
9946183729,63784853823294,None,None
9946192061,63784853823305,None,None
9946200392,63784853823316,None,None
9946217055,63784853823328,None,None
9946225387,63784853823340,None,None
9946233718,63784853823349,None,None
9946242050,63784853823359,None,None
9946258713,63784853823370,None,None
9946267045,63784853823381,None,None
9946275376,63784853823392,None,None
9946292039,63784853823404,None,None
9946300371,63784853823415,None,None
9946308702,63784853823426,None,None
9946325365,63784853823437,None,None
9946333697,63784853823448,None,None
9946342028,63784853823459,None,None
9946358691,63784853823470,None,None
9946367023,63784853823482,None,None
9946375354,63784853823492,None,None
9946392017,63784853823504,None,None
9946400349,63784853823515,None,None
9946417012,63784853823526,None,None
9946425344,63784853823538,None,None
9946433675,63784853823549,None,None
9946450338,63784853823560,None,None
9946458670,63784853823571,None,None
9946467001,63784853823582,None,None
9946483664,63784853823594,None,None
9946491996,63784853823605,None,None
9946500327,63784853823616,None,None
9946516990,63784853823627,None,None
9946525322,63784853823640,None,None
9946533653,63784853823650,None,None
9946550316,63784853823661,None,None
9946558648,63784853823672,None,None
9946566979,63784853823683,None,None
9946583643,63784853823694,None,None
9946591974,63784853823706,None,None
9946600306,63784853823717,None,None
9946616969,63784853823728,None,None
9946625300,63784853823739,None,None
9946633632,63784853823750,None,None
9946650295,63784853823761,None,None
9946658626,63784853823773,None,None
9946666958,63784853823784,None,None
9946683621,63784853823796,None,None
9946691952,63784853823806,None,None
9946700284,63784853823818,None,None
9946716947,63784853823829,None,None
9946725278,63784853823841,None,None
9946733610,63784853823851,None,None
9946750273,63784853823862,None,None
9946758605,63784853823873,None,None
9946775268,63784853823885,None,None
9946783599,63784853823896,None,None
9946791931,63784853823907,None,None
