OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valL,valR
5912539383,63784921391726,0.5280512,0.5144803,0.4434297,0.5191606,-14.85563,2.783641,-1.35446,-0.0504966,0.9951596,-0.00800443,-0.08392629,0,0,0,0,0,0,0,14.85358,-2.783646,1.3264,-0.003581558,-0.4727089,-0.8812113,-0.03228468,-0.001335373,-0.02962337,0.02818871,0.001326447,-0.02649623,0.001403809,0.04003906,0.9991913,-0.07614136,0.05140686,0.9957581,0.002482758,0.002578308,True,True
5912547872,63784921391726,0.5273425,0.5120454,0.4403458,0.5182311,-14.85563,2.783641,-1.35446,-0.0504966,0.9951596,-0.00800443,-0.08392629,0,0,0,0,0,0,0,14.85358,-2.783642,1.326413,-0.003593988,-0.4727184,-0.8812062,-0.03229192,-0.001299271,-0.02970338,0.02819612,0.001298386,-0.02639122,-0.0004730225,0.03288269,0.9994507,-0.08422852,0.04866028,0.9952545,0.002502731,0.002617569,True,True
5912555907,63784921391726,0.5267607,0.5121752,0.4431021,0.5167907,-14.85563,2.783641,-1.35446,-0.0504966,0.9951596,-0.00800443,-0.08392629,0,0,0,0,0,0,0,14.85357,-2.783642,1.326388,-0.003586896,-0.4727224,-0.8812041,-0.03228708,-0.001373108,-0.02950421,0.02817447,0.00137088,-0.02663934,-0.00201416,0.03326416,0.9994354,-0.07702637,0.04447937,0.9960327,0.002577682,0.002625534,True,True
5912564279,63784921391726,0.5261441,0.5135976,0.4453762,0.5184645,-14.85563,2.783641,-1.35446,-0.0504966,0.9951596,-0.00800443,-0.08392629,0,0,0,0,0,0,0,14.85358,-2.783597,1.326245,-0.003581475,-0.4727134,-0.881209,-0.0322802,-0.001279831,-0.02979648,0.02818222,0.001367142,-0.02663336,-0.003646851,0.03744507,0.9992828,-0.07104492,0.0493927,0.9962463,0.002520096,0.002583344,True,True
5912572723,63784921391726,0.5259773,0.511921,0.4392144,0.519255,-14.85563,2.783641,-1.35446,-0.0504966,0.9951596,-0.00800443,-0.08392629,0,0,0,0,0,0,0,14.85359,-2.783655,1.326417,-0.003602182,-0.4727157,-0.8812076,-0.03227799,-0.001239883,-0.02988046,0.02819437,0.001211166,-0.02620577,-0.004089355,0.03251648,0.9994507,-0.08717346,0.05163574,0.9948425,0.002475983,0.002633423,True,True
5912582278,63784921391726,0.5274692,0.5158518,0.4399977,0.5190166,-14.85563,2.783641,-1.35446,-0.0504966,0.9951596,-0.00800443,-0.08392629,0,0,0,0,0,0,0,14.8536,-2.783688,1.326526,-0.003594719,-0.4727051,-0.8812134,-0.03226288,-0.001284485,-0.02976604,0.02821352,0.001190369,-0.02610295,-0.0001373291,0.04406738,0.9990234,-0.08512878,0.0509491,0.9950562,0.002584778,0.002636581,True,True
5912589341,63784921391726,0.52774,0.5123724,0.4400104,0.5175843,-14.85563,2.783641,-1.35446,-0.0504966,0.9951596,-0.00800443,-0.08392629,0,0,0,0,0,0,0,14.8536,-2.783675,1.326496,-0.00359378,-0.4727194,-0.8812057,-0.03226985,-0.001243164,-0.02986291,0.02821999,0.001174851,-0.02606468,0.000579834,0.03384399,0.9994202,-0.08511353,0.04676819,0.9952698,0.002557388,0.002658386,True,True
5912597808,63784921391726,0.5274404,0.5113137,0.4371882,0.5167012,-14.85563,2.783641,-1.35446,-0.0504966,0.9951596,-0.00800443,-0.08392629,0,0,0,0,0,0,0,14.85361,-2.783701,1.326554,-0.003603993,-0.4727248,-0.8812027,-0.03226288,-0.001284485,-0.02976604,0.02822435,0.001164551,-0.02604633,-0.000213623,0.0307312,0.999527,-0.09249878,0.04415894,0.9947205,0.002568161,0.002733078,True,True
5912605907,63784921391726,0.5277457,0.5111478,0.4418119,0.5200813,-14.85563,2.783641,-1.35446,-0.0504966,0.9951596,-0.00800443,-0.08392629,0,0,0,0,0,0,0,14.85361,-2.783681,1.326505,-0.003587841,-0.4727158,-0.8812076,-0.03226935,-0.001243164,-0.02986291,0.02822778,0.001163467,-0.02604825,0.0005950928,0.03024292,0.999527,-0.08036804,0.05407715,0.995285,0.002570282,0.002669128,True,True
5912614448,63784921391805,0.5275326,0.5114279,0.4413366,0.5195394,-14.85605,2.783686,-1.356013,-0.05016051,0.9953442,-0.00790292,-0.08192405,0,0,0,0,0,0,0,14.85403,-2.783725,1.328059,-0.003525549,-0.4722369,-0.8814647,-0.03226288,-0.001238785,-0.02986362,0.0282279,0.001160629,-0.02604419,3.051758E-05,0.03106689,0.9995117,-0.08161926,0.05249023,0.9952698,0.002566589,0.002649567,True,True
