UnityTS,Heart,Breath,GSR
63784921780824,30092,31060,8278
63784921780838,30042,30962,8405
63784921780842,29980,30964,8404
63784921780844,29948,31170,8310
63784921780847,29906,31129,8310
63784921780862,29852,31256,8340
63784921780864,29784,31212,8311
63784921780877,29722,30962,8265
63784921780891,29656,31164,8303
63784921780893,29580,31240,8261
63784921780923,29498,31090,8362
63784921780932,29418,31124,8363
63784921780936,29334,30932,8362
63784921780941,29256,31065,8329
63784921780951,29192,31184,8380
63784921780964,29100,31116,8330
63784921780980,29016,31178,8263
63784921780982,28936,31101,8289
63784921780985,28840,31092,8320
63784921781026,28768,31092,8368
63784921781036,28676,31072,8297
63784921781041,28597,31036,8258
63784921781051,28504,30986,8302
63784921781056,28408,31066,8353
63784921781060,28328,31040,8287
63784921781065,28232,30854,8366
63784921781077,28143,30836,8260
63784921781082,28073,31032,8342
63784921781089,27994,31152,8255
63784921781099,27928,31172,8293
63784921781104,27864,30840,8292
63784921781136,27816,30848,8347
63784921781146,27773,31024,8255
63784921781156,27733,31008,8347
63784921781159,27708,31036,8250
63784921781165,27678,31080,8283
63784921781175,27660,30968,8284
63784921781203,27650,30920,8341
63784921781217,27640,31091,8268
63784921781236,27624,30904,8281
63784921781244,27619,30956,8319
63784921781253,27612,31004,8283
63784921781256,27620,30850,8260
63784921781258,27617,30970,8276
63784921781263,27608,31098,8276
63784921781268,27574,31096,8356
63784921781272,27552,31188,8282
63784921781309,27521,31198,8283
63784921781316,27472,30986,8259
63784921781323,27416,31131,8309
63784921781343,27338,31233,8293
63784921781343,27254,31139,8328
63784921781347,27172,31160,8273
63784921781352,27108,31020,8360
63784921781358,27065,31200,8289
63784921781364,27032,31212,8350
63784921781368,27035,31168,8286
63784921781387,27056,31342,8281
63784921781389,27157,31124,8266
63784921781402,27444,31340,8336
63784921781413,28136,31256,8318
63784921780824,30092,31060,8278
63784921780838,30042,30962,8405
63784921780842,29980,30964,8404
63784921780844,29948,31170,8310
63784921780847,29906,31129,8310
63784921780862,29852,31256,8340
63784921780864,29784,31212,8311
63784921780877,29722,30962,8265
63784921780891,29656,31164,8303
63784921780893,29580,31240,8261
63784921780923,29498,31090,8362
63784921780932,29418,31124,8363
63784921780936,29334,30932,8362
63784921780941,29256,31065,8329
63784921780951,29192,31184,8380
63784921780964,29100,31116,8330
63784921780980,29016,31178,8263
63784921780982,28936,31101,8289
63784921780985,28840,31092,8320
63784921781026,28768,31092,8368
63784921781036,28676,31072,8297
63784921781041,28597,31036,8258
63784921781051,28504,30986,8302
63784921781056,28408,31066,8353
63784921781060,28328,31040,8287
63784921781065,28232,30854,8366
63784921781077,28143,30836,8260
63784921781082,28073,31032,8342
63784921781089,27994,31152,8255
63784921781099,27928,31172,8293
63784921781104,27864,30840,8292
63784921781136,27816,30848,8347
63784921781146,27773,31024,8255
63784921781156,27733,31008,8347
63784921781159,27708,31036,8250
63784921781165,27678,31080,8283
63784921781175,27660,30968,8284
63784921781203,27650,30920,8341
63784921781217,27640,31091,8268
63784921781236,27624,30904,8281
63784921781244,27619,30956,8319
63784921781253,27612,31004,8283
63784921781256,27620,30850,8260
63784921781258,27617,30970,8276
63784921781263,27608,31098,8276
63784921781268,27574,31096,8356
63784921781272,27552,31188,8282
63784921781309,27521,31198,8283
63784921781316,27472,30986,8259
63784921781323,27416,31131,8309
63784921781343,27338,31233,8293
63784921781343,27254,31139,8328
63784921781347,27172,31160,8273
63784921781352,27108,31020,8360
63784921781358,27065,31200,8289
63784921781364,27032,31212,8350
63784921781368,27035,31168,8286
63784921781387,27056,31342,8281
63784921781389,27157,31124,8266
63784921781402,27444,31340,8336
63784921781413,28136,31256,8318
63784921781423,29298,31496,8237
63784921781436,30882,31512,8283
63784921781438,32764,31330,8281
63784921781447,34810,31504,8245
63784921781467,36870,31424,8328
63784921781472,38868,31466,8226
63784921781479,40724,31541,8252
63784921781497,42334,31448,8327
63784921781502,43632,31380,8278
63784921781502,44608,31442,8260
63784921781522,45184,31400,8332
63784921781526,45416,31305,8315
63784921781544,45360,31328,8305
63784921781547,45050,31352,8338
63784921781559,44564,31280,8212
63784921781564,44016,31196,8317
63784921781588,43464,31264,8237
63784921781599,42972,31232,8250
63784921781609,42560,31240,8249
63784921781612,42272,31157,8248
63784921781621,42112,31310,8254
63784921781639,42058,31178,8215
63784921781639,42028,31134,8236
63784921781648,41992,31098,8332
63784921781658,41889,31016,8258
63784921781666,41682,30888,8298
63784921781684,41336,30884,8304
63784921781695,40884,30848,8242
63784921781696,40372,30790,8263
63784921781715,39852,30739,8240
63784921781747,39325,30768,8224
63784921781749,38852,30692,8213
63784921781752,38456,30642,8239
63784921781757,38122,30700,8318
63784921781762,37842,30681,8240
63784921781786,37616,30672,8196
63784921781786,37456,30588,8304
63784921781801,37304,30704,8233
63784921781808,37160,30692,8236
63784921781810,36990,30718,8284
63784921781853,36800,30653,8210
63784921781862,36592,30720,8233
63784921781867,36334,30721,8236
63784921781870,36040,30784,8236
63784921781875,35716,30744,8294
63784921781877,35352,30826,8232
63784921781890,34964,30862,8256
63784921781892,34572,30880,8211
63784921781896,34160,30830,8218
63784921781925,33754,30892,8225
63784921781930,33362,30849,8326
63784921781939,32978,30812,8238
63784921781942,32638,30824,8228
63784921781956,32336,30684,8202
63784921781956,32064,30659,8292
63784921781969,31822,30824,8286
63784921781982,31620,30842,8272
63784921781988,31452,30896,8264
63784921782003,31308,30932,8188
63784921782012,31178,30739,8230
63784921782023,31065,30937,8228
63784921782031,30964,30690,8208
63784921782038,30874,30732,8265
63784921782069,30768,30736,8224
63784921782072,30672,30868,8318
63784921782077,30576,30880,8189
63784921782088,30476,30708,8220
63784921782092,30376,30944,8200
63784921782094,30280,30744,8200
63784921782121,30196,30905,8194
63784921782123,30100,30928,8280
63784921782127,30012,31020,8232
63784921782143,29936,30840,8226
63784921782143,29833,30988,8222
63784921782166,29728,30752,8225
63784921782171,29612,30960,8196
63784921782189,29514,30928,8271
63784921782201,29404,30878,8211
63784921782212,29288,30802,8189
63784921782223,29182,31090,8220
63784921782227,29064,30825,8213
63784921782233,28952,30920,8298
63784921782236,28858,30776,8287
63784921782257,28748,30784,8270
63784921782265,28624,31068,8201
63784921782268,28504,30768,8189
63784921782287,28400,30950,8218
63784921782290,28302,30874,8278
63784921782293,28188,31018,8296
63784921782313,28104,30944,8204
63784921782317,28000,31016,8300
63784921782339,27914,31076,8184
63784921782343,27848,30881,8200
63784921782346,27778,30944,8199
63784921782366,27708,30704,8208
63784921782368,27644,30912,8214
63784921782388,27588,30920,8241
63784921782397,27534,30812,8262
63784921782409,27468,30732,8231
63784921782411,27436,30751,8209
63784921782425,27412,30713,8210
63784921782430,27376,30621,8232
63784921782439,27338,30384,8170
63784921782453,27304,30586,8204
63784921782456,27250,30509,8298
63784921782482,27192,30536,8273
63784921782486,27136,30464,8222
63784921782489,27080,30540,8249
63784921782514,27001,30368,8218
63784921782524,26944,30308,8278
63784921782534,26853,30365,8239
63784921782538,26786,30488,8211
63784921782544,26720,30362,8186
63784921782550,26664,30242,8212
63784921782559,26584,30296,8216
63784921782571,26509,30256,8172
63784921782577,26464,30258,8169
63784921782589,26434,30338,8213
63784921782594,26420,30022,8183
63784921782614,26456,30348,8192
63784921782623,26616,30044,8230
63784921782626,27088,30370,8208
63784921782637,28053,30260,8224
63784921782664,29548,30242,8212
63784921782671,31445,30124,8208
63784921782683,33636,30074,8178
63784921782691,35958,30136,8220
63784921782703,38300,30056,8219
63784921782705,40504,30088,8276
63784921782726,42506,29880,8170
63784921782726,44196,29924,8174
63784921782735,45496,29852,8170
63784921782739,46377,29813,8273
63784921782759,46850,29741,8296
63784921782761,46924,29752,8186
63784921782771,46676,29706,8253
63784921782782,46190,29720,8208
63784921782792,45552,29724,8246
63784921782794,44816,29600,8262
