OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
3417856,63773178234422,mesh_LOD0,mesh_LOD0,mesh_LOD0
3417873,63773178234433,mesh_LOD0,mesh_LOD0,mesh_LOD0
3417889,63773178234446,mesh_LOD0,mesh_LOD0,mesh_LOD0
3417906,63773178234459,mesh_LOD0,mesh_LOD0,mesh_LOD0
3417906,63773178234470,mesh_LOD0,mesh_LOD0,mesh_LOD0
3417914,63773178234479,mesh_LOD0,mesh_LOD0,mesh_LOD0
3417931,63773178234489,mesh_LOD0,mesh_LOD0,mesh_LOD0
3417931,63773178234501,mesh_LOD0,mesh_LOD0,mesh_LOD0
3417948,63773178234512,mesh_LOD0,mesh_LOD0,mesh_LOD0
3417964,63773178234522,mesh_LOD0,mesh_LOD0,mesh_LOD0
3417964,63773178234534,mesh_LOD0,mesh_LOD0,mesh_LOD0
3417981,63773178234545,mesh_LOD0,mesh_LOD0,mesh_LOD0
3417998,63773178234556,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418014,63773178234567,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418014,63773178234578,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418031,63773178234589,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418048,63773178234601,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418048,63773178234611,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418064,63773178234623,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418081,63773178234635,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418081,63773178234645,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418098,63773178234656,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418106,63773178234667,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418106,63773178234678,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418123,63773178234689,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418139,63773178234701,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418156,63773178234712,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418156,63773178234723,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418173,63773178234734,mesh_LOD0,mesh_LOD0,mesh_LOD0
3418189,63773178234745,None,None,None
3418189,63773178234756,None,None,None
3418206,63773178234767,None,None,None
3418223,63773178234779,None,None,None
3418223,63773178234789,None,None,None
3418239,63773178234800,None,None,None
3418256,63773178234811,None,None,None
3418256,63773178234823,None,None,None
3418272,63773178234834,None,None,None
