OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valB,valL,valR
3559383,63773178375932,-19.41899,2.308999,-0.2500528,-0.1793253,-0.1608106,0.01704774,-0.9704081,0.002795212,0.001602325,-0.02436185,-0.002319336,0.004089355,0.9999847,0.03491208,0.001291657,-0.02378215,0.03491208,0.001291657,-0.02378215,0.05889893,0.007217407,0.99823,0.05889893,0.007217407,0.99823,True,True,True
3559392,63773178375943,-19.41899,2.309003,-0.2499921,-0.1790684,-0.16077,0.01708369,-0.9704617,-0.02466329,0.001879608,-0.02490203,-0.05465698,0.001373291,0.9984894,0.03491374,0.001467896,-0.0244319,0.03491374,0.001467896,-0.0244319,0.06008911,0.0052948,0.9981689,0.06008911,0.0052948,0.9981689,True,True,True
3559408,63773178375965,-19.41945,2.309054,-0.2497443,-0.1789781,-0.1604995,0.01685326,-0.9705271,-0.02902957,0.001909775,-0.02494077,-0.06381226,0.001342773,0.9979553,0.03492066,0.001467896,-0.02445804,0.03492066,0.001467896,-0.02445804,0.06138611,0.004821777,0.9980927,0.06138611,0.004821777,0.9980927,True,True,True
3559425,63773178375976,-19.41884,2.309218,-0.250054,-0.1790128,-0.160235,0.01660559,-0.9705687,-0.02905142,0.001913849,-0.02494952,-0.06587219,0.0005493164,0.997818,0.03492066,0.001467896,-0.02445804,0.03492066,0.001467896,-0.02445804,0.0607605,0.002853394,0.9981384,0.0607605,0.002853394,0.9981384,True,True,True
3559442,63773178375987,-19.41887,2.309236,-0.2500341,-0.179048,-0.1600201,0.01633085,-0.9706023,-0.02903142,0.001914398,-0.02495598,-0.06698608,0.0006713867,0.9977417,0.03492169,0.001459534,-0.02445804,0.03492169,0.001459534,-0.02445804,0.06123352,0.002441406,0.9981079,0.06123352,0.002441406,0.9981079,True,True,True
3559458,63773178376010,-19.41986,2.309041,-0.2495501,-0.1789551,-0.1598339,0.01603221,-0.970655,-0.02424405,0.001876511,-0.02494022,-0.05754089,0.00201416,0.9983368,0.03492357,0.001408692,-0.02444141,0.03492357,0.001408692,-0.02444141,0.06164551,0.01199341,0.9980164,0.06164551,0.01199341,0.9980164,True,True,True
3559475,63773178376021,-19.41991,2.309027,-0.2495171,-0.1789463,-0.159868,0.01597976,-0.970652,0.005172913,0.001633133,-0.02469597,0.001022339,0.005691528,0.9999695,0.03492169,0.001392563,-0.02443468,0.03492169,0.001392563,-0.02443468,0.06132507,0.009735107,0.9980621,0.06132507,0.009735107,0.9980621,True,True,True
3559492,63773178376046,-19.41951,2.309104,-0.2498779,-0.1789532,-0.1599991,0.01619129,-0.9706256,0.004749268,0.001634018,-0.02470209,0.0007019043,-0.000793457,0.9999847,0.03491857,0.001392563,-0.02443468,0.03491857,0.001392563,-0.02443468,0.06158447,0.003555298,0.9980927,0.06158447,0.003555298,0.9980927,True,True,True
3559508,63773178376056,-19.41955,2.309093,-0.2498667,-0.1790418,-0.1599623,0.01622201,-0.9706149,-0.0228909,0.001826477,-0.02489575,-0.05622864,-0.004364014,0.9983978,0.03491525,0.001202042,-0.02381252,0.03491525,0.001202042,-0.02381252,0.05776978,0.007705688,0.998291,0.05776978,0.007705688,0.998291,True,True,True
3559525,63773178376076,-19.41951,2.30903,-0.2498371,-0.1794278,-0.1598105,0.01618362,-0.9705692,-0.02900699,0.001873917,-0.02502426,-0.06806946,-0.003433228,0.9976654,0.03491525,0.001202042,-0.02381252,0.03491525,0.001202042,-0.02381252,0.05685425,0.007217407,0.9983521,0.05685425,0.007217407,0.9983521,True,True,True
