OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
3559367,63773178375932,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559383,63773178375943,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559392,63773178375954,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559392,63773178375965,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559408,63773178375976,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559425,63773178375987,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559442,63773178375998,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559442,63773178376010,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559458,63773178376021,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559475,63773178376032,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559492,63773178376046,None,None,None
3559492,63773178376056,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559508,63773178376065,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559508,63773178376076,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559525,63773178376087,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559542,63773178376098,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559542,63773178376109,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559558,63773178376121,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559575,63773178376132,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559592,63773178376143,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559592,63773178376154,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559600,63773178376165,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559617,63773178376176,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559617,63773178376188,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559633,63773178376198,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559650,63773178376210,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559650,63773178376220,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559667,63773178376232,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559683,63773178376243,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559683,63773178376254,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559700,63773178376265,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559717,63773178376276,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559733,63773178376287,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559733,63773178376298,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559750,63773178376309,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559767,63773178376320,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559767,63773178376332,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559783,63773178376343,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559800,63773178376354,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559800,63773178376365,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559808,63773178376376,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559825,63773178376387,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559842,63773178376398,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559842,63773178376409,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559858,63773178376421,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559875,63773178376432,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559875,63773178376442,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559892,63773178376454,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559908,63773178376465,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559908,63773178376476,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559925,63773178376487,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559942,63773178376498,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559942,63773178376509,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559958,63773178376520,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559975,63773178376532,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559992,63773178376543,mesh_LOD0,mesh_LOD0,mesh_LOD0
3559992,63773178376553,mesh_LOD0,mesh_LOD0,mesh_LOD0
3560008,63773178376565,mesh_LOD0,mesh_LOD0,mesh_LOD0
3560017,63773178376576,mesh_LOD0,mesh_LOD0,mesh_LOD0
3560017,63773178376587,mesh_LOD0,mesh_LOD0,mesh_LOD0
3560033,63773178376598,mesh_LOD0,mesh_LOD0,mesh_LOD0
3560050,63773178376609,mesh_LOD0,mesh_LOD0,mesh_LOD0
3560050,63773178376620,mesh_LOD0,mesh_LOD0,mesh_LOD0
3560067,63773178376631,mesh_LOD0,mesh_LOD0,mesh_LOD0
3560083,63773178376643,mesh_LOD0,mesh_LOD0,mesh_LOD0
