OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valB,valL,valR
923527,63773366132763,-14.9417,2.371925,-0.2067162,-0.02382695,0.9928525,-0.1158953,-0.0156397,-0.03221063,0.001920197,-0.02511916,-0.2464142,0.008621216,0.9691162,0.03514163,0.00182048,-0.02807933,0.03514163,0.00182048,-0.02807933,-0.1246948,-0.009429932,0.9921417,-0.1246948,-0.009429932,0.9921417,True,True,True
923544,63773366132772,-14.94167,2.371904,-0.2066771,-0.02339651,0.9928656,-0.1158961,-0.01544784,-0.03221088,0.0019189,-0.02511168,-0.2464294,0.008499146,0.9691162,0.03514121,0.001812347,-0.02807422,0.03514121,0.001812347,-0.02807422,-0.1247711,-0.008041382,0.9921417,-0.1247711,-0.008041382,0.9921417,True,True,True
923561,63773366132795,-14.94151,2.371899,-0.2066918,-0.02274654,0.9928936,-0.1158377,-0.01504937,-0.03209618,0.001918701,-0.02513295,-0.2460785,0.009231567,0.9691925,0.03513994,0.001808502,-0.02806395,0.03513994,0.001808502,-0.02806395,-0.1250153,-0.0078125,0.9921112,-0.1250153,-0.0078125,0.9921112,True,True,True
923577,63773366132805,-14.94149,2.371921,-0.2066715,-0.02265546,0.9928977,-0.1158533,-0.01480247,0.002408493,0.001863022,-0.02664842,-0.1848297,0.001205444,0.9827576,0.03513927,0.001808502,-0.02806017,0.03513927,0.001808502,-0.02806017,-0.1263885,-0.007888794,0.9919434,-0.1263885,-0.007888794,0.9919434,True,True,True
923594,63773366132828,-14.94145,2.371949,-0.2066509,-0.02266584,0.9929017,-0.115848,-0.01455473,0.002904205,0.001862381,-0.02667281,-0.183197,0.001586914,0.9830627,0.03513927,0.001808609,-0.02806395,0.03513927,0.001808609,-0.02806395,-0.1251526,-0.007125854,0.9921112,-0.1251526,-0.007125854,0.9921112,True,True,True
923611,63773366132839,-14.94139,2.371952,-0.206648,-0.02265081,0.9929098,-0.1158085,-0.01434186,0.004003662,0.001861862,-0.02672028,-0.1808929,0.00100708,0.98349,0.03513927,0.001809753,-0.02806395,0.03513927,0.001809753,-0.02806395,-0.1249695,-0.00743103,0.9921265,-0.1249695,-0.00743103,0.9921265,True,True,True
923627,63773366132851,-14.94138,2.371925,-0.2066071,-0.02257154,0.9929173,-0.1157806,-0.01416467,0.003798859,0.001865204,-0.02671622,-0.1816101,0.001159668,0.9833679,0.03513199,0.001808609,-0.02804622,0.03513199,0.001808609,-0.02804622,-0.125473,-0.008102417,0.9920502,-0.125473,-0.008102417,0.9920502,True,True,True
923636,63773366132872,-14.94142,2.371936,-0.2065879,-0.0223371,0.9929329,-0.1157398,-0.01377964,0.004635437,0.001869599,-0.02677663,-0.1794586,0.001113892,0.9837494,0.03513045,0.001809753,-0.02804201,0.03513045,0.001809753,-0.02804201,-0.1250305,-0.008514404,0.9921112,-0.1250305,-0.008514404,0.9921112,True,True,True
923652,63773366132883,-14.94145,2.371948,-0.2065629,-0.02217975,0.9929442,-0.1156844,-0.01367947,0.007309906,0.001865357,-0.02688048,-0.1750641,0.0001068115,0.9845428,0.03512459,0.001809753,-0.02802902,0.03512459,0.001809753,-0.02802902,-0.1260071,-0.008361816,0.9919891,-0.1260071,-0.008361816,0.9919891,True,True,True
923669,63773366132905,-14.9415,2.371947,-0.206481,-0.02213727,0.9929407,-0.1157244,-0.01366669,0.008197358,0.001864197,-0.02690701,-0.1731262,0,0.9848938,0.03512245,0.001809753,-0.02801206,0.03512245,0.001809753,-0.02801206,-0.1260681,-0.007583618,0.9919891,-0.1260681,-0.007583618,0.9919891,True,True,True
923686,63773366132916,-14.94154,2.371937,-0.2064462,-0.02213596,0.9929382,-0.1157448,-0.01367659,0.005109909,0.001870423,-0.02677841,-0.1781921,0.001434326,0.9839783,0.03511844,0.001809753,-0.02800643,0.03511844,0.001809753,-0.02800643,-0.1258087,-0.006698608,0.9920197,-0.1258087,-0.006698608,0.9920197,True,True,True
923702,63773366132928,-14.94158,2.371871,-0.2064012,-0.02240946,0.9929206,-0.1158328,-0.01376445,0.00064917,0.001881073,-0.02660373,-0.1871033,0.002487183,0.9823303,0.03511362,0.001811859,-0.02799909,0.03511362,0.001811859,-0.02799909,-0.1259155,-0.005218506,0.9920197,-0.1259155,-0.005218506,0.9920197,True,True,True
923719,63773366132950,-14.94167,2.371811,-0.2063833,-0.02284959,0.9928913,-0.115952,-0.01414526,-0.03260813,0.002088928,-0.02559255,-0.1818085,0.01145935,0.9832611,0.03485604,0.002294464,-0.02934712,0.03485604,0.002294464,-0.02934712,-0.05326843,0.007232666,0.9985504,-0.05326843,0.007232666,0.9985504,True,True,True
923736,63773366132961,-14.94174,2.371791,-0.2063565,-0.02301885,0.9928695,-0.1160574,-0.01453139,-0.03309191,0.002167221,-0.02574037,-0.08189392,0.02857971,0.9962158,0.03422304,0.002051834,-0.02813686,0.03422304,0.002051834,-0.02813686,0.0008087158,0.01071167,0.999939,0.0008087158,0.01071167,0.999939,True,True,True
923752,63773366132983,-14.94187,2.371732,-0.206382,-0.02350331,0.9928148,-0.1163262,-0.01531485,-0.0334796,0.001966599,-0.02492346,0.0004425049,0.04502869,0.9989777,0.03386023,0.001751938,-0.02702547,0.03386023,0.001751938,-0.02702547,0.07328796,0.05134583,0.9959869,0.07328796,0.05134583,0.9959869,True,True,True
923769,63773366132994,-14.94195,2.371686,-0.2063676,-0.02365471,0.9928033,-0.1163432,-0.01569511,-0.03368038,0.002024704,-0.02505399,0.04486084,0.05413818,0.9975128,0.03375554,0.001724182,-0.02693283,0.03375554,0.001724182,-0.02693283,0.1028748,0.05123901,0.9933624,0.1028748,0.05123901,0.9933624,True,True,True
923786,63773366133016,-14.94207,2.371635,-0.206428,-0.02394861,0.9927781,-0.1163768,-0.01657489,-0.03372318,0.001980225,-0.02492572,0.05104065,0.05256653,0.9972992,0.03382387,0.001613876,-0.02663855,0.03382387,0.001613876,-0.02663855,0.0977478,0.05490112,0.9936829,0.0977478,0.05490112,0.9936829,True,True,True
923802,63773366133028,-14.94217,2.371687,-0.2064155,-0.023942,0.9927748,-0.1163329,-0.01707902,-0.03315048,0.001953354,-0.02484802,0.05123901,0.04415894,0.9976959,0.03384572,0.001635788,-0.02671361,0.03384572,0.001635788,-0.02671361,0.08638,0.04975891,0.9950104,0.08638,0.04975891,0.9950104,True,True,True
