UnityTS,LabID,ParticipantID,TrialID,Room,Instruction,Duration,Question,Answer
63777771770804,SGL,8,1,Version 8 - warmes Licht,sglStand,60,Howlongdoyouthinkyouhavebeenwaiting?,36s
63777771777708,SGL,8,1,Version 8 - warmes Licht,sglStand,60,Whichofthesepicturesrepresentsyouremotionalstatebest?,3
63777771784219,SGL,8,1,Version 8 - warmes Licht,sglStand,60,Whichofthesepicturesrepresentsyourexcitementbest?,3
63777771789424,SGL,8,1,Version 8 - warmes Licht,sglStand,60,Howmuchdidyouthinkabout
yourPASTwhilewaiting?,1
63777771792629,SGL,8,1,Version 8 - warmes Licht,sglStand,60,Howmuchdidyouthinkabout
yourPRESENTwhilewaiting?,50
63777771800671,SGL,8,1,Version 8 - warmes Licht,sglStand,60,Howmuchdidyouthinkabout
yourFUTUREwhilewaiting?,21
63777771807528,SGL,8,1,Version 8 - warmes Licht,sglStand,60,Howintensivelydidyouexperience
YOURBODYmostofthetime?,32
63777771812970,SGL,8,1,Version 8 - warmes Licht,sglStand,60,Howintensivelydidyouexperience
THESURROUNDINGSPACEmostofthetime?,62
63777771821213,SGL,8,1,Version 8 - warmes Licht,sglStand,60,Howoftendidyouthinkabouttime?,65
63777771826915,SGL,8,1,Version 8 - warmes Licht,sglStand,60,Howfastdidtimepassforyou?,82
