UnityTS,LabID,ParticipantID,TrialID,Room,Instruction,Duration,Question,Answer
63777772039927,SGL,8,2,Version 9 - kaltes Licht,sglStand,180,Howlongdoyouthinkyouhavebeenwaiting?,110s
63777772043771,SGL,8,2,Version 9 - kaltes Licht,sglStand,180,Whichofthesepicturesrepresentsyouremotionalstatebest?,3
63777772050403,SGL,8,2,Version 9 - kaltes Licht,sglStand,180,Whichofthesepicturesrepresentsyourexcitementbest?,4
63777772057626,SGL,8,2,Version 9 - kaltes Licht,sglStand,180,Howmuchdidyouthinkabout
yourPASTwhilewaiting?,1
63777772061103,SGL,8,2,Version 9 - kaltes Licht,sglStand,180,Howmuchdidyouthinkabout
yourPRESENTwhilewaiting?,50
63777772066653,SGL,8,2,Version 9 - kaltes Licht,sglStand,180,Howmuchdidyouthinkabout
yourFUTUREwhilewaiting?,77
63777772091030,SGL,8,2,Version 9 - kaltes Licht,sglStand,180,Howintensivelydidyouexperience
YOURBODYmostofthetime?,33
63777772099678,SGL,8,2,Version 9 - kaltes Licht,sglStand,180,Howintensivelydidyouexperience
THESURROUNDINGSPACEmostofthetime?,68
63777772111494,SGL,8,2,Version 9 - kaltes Licht,sglStand,180,Howoftendidyouthinkabouttime?,88
63777772119846,SGL,8,2,Version 9 - kaltes Licht,sglStand,180,Howfastdidtimepassforyou?,52
