UnityTS,LabID,ParticipantID,TrialID,Room,Instruction,Duration,Question,Answer
63777772323694,SGL,8,3,Version 9 - kaltes Licht,sglSit,150,Howlongdoyouthinkyouhavebeenwaiting?,115s
63777772327246,SGL,8,3,Version 9 - kaltes Licht,sglSit,150,Whichofthesepicturesrepresentsyouremotionalstatebest?,3
63777772336640,SGL,8,3,Version 9 - kaltes Licht,sglSit,150,Whichofthesepicturesrepresentsyourexcitementbest?,4
63777772342680,SGL,8,3,Version 9 - kaltes Licht,sglSit,150,Howmuchdidyouthinkabout
yourPASTwhilewaiting?,1
63777772349509,SGL,8,3,Version 9 - kaltes Licht,sglSit,150,Howmuchdidyouthinkabout
yourPRESENTwhilewaiting?,45
63777772354877,SGL,8,3,Version 9 - kaltes Licht,sglSit,150,Howmuchdidyouthinkabout
yourFUTUREwhilewaiting?,76
63777772362276,SGL,8,3,Version 9 - kaltes Licht,sglSit,150,Howintensivelydidyouexperience
YOURBODYmostofthetime?,24
63777772367550,SGL,8,3,Version 9 - kaltes Licht,sglSit,150,Howintensivelydidyouexperience
THESURROUNDINGSPACEmostofthetime?,79
63777772374127,SGL,8,3,Version 9 - kaltes Licht,sglSit,150,Howoftendidyouthinkabouttime?,78
63777772384995,SGL,8,3,Version 9 - kaltes Licht,sglSit,150,Howfastdidtimepassforyou?,60
